shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
DAND,-1.289898,36.832266,1001,
DAND,-1.289883,36.832305,1002,
DAND,-1.289868,36.832343,1003,
DAND,-1.289861,36.832386,1004,
DAND,-1.28985,36.832423,1005,
DAND,-1.289833,36.832458,1006,
DAND,-1.289815,36.83249,1007,
DAND,-1.289798,36.832521,1008,
DAND,-1.289781,36.832563,1009,
DAND,-1.28977,36.832601,1010,
DAND,-1.289755,36.832641,1011,
DAND,-1.289743,36.832685,1012,
DAND,-1.289726,36.83272,1013,
DAND,-1.28971,36.832751,1014,
DAND,-1.289691,36.832784,1015,
DAND,-1.289671,36.832821,1016,
DAND,-1.289656,36.832856,1017,
DAND,-1.28964,36.832891,1018,
DAND,-1.289621,36.832928,1019,
DAND,-1.289603,36.832961,1020,
DAND,-1.289583,36.832998,1021,
DAND,-1.289563,36.833038,1022,
DAND,-1.289546,36.833071,1023,
DAND,-1.289523,36.833116,1024,
DAND,-1.289515,36.83315,1025,
DAND,-1.289493,36.833189,1026,
DAND,-1.28947,36.83324,1027,
DAND,-1.289446,36.833286,1028,
DAND,-1.289431,36.83332,1029,
DAND,-1.289411,36.833361,1030,
DAND,-1.289391,36.833401,1031,
DAND,-1.289371,36.833446,1032,
DAND,-1.289356,36.833488,1033,
DAND,-1.289345,36.833528,1034,
DAND,-1.28933,36.83357,1035,
DAND,-1.28932,36.833608,1036,
DAND,-1.289305,36.833643,1037,
DAND,-1.289286,36.833683,1038,
DAND,-1.289259,36.833729,1039,
DAND,-1.289241,36.833768,1040,
DAND,-1.289225,36.833808,1041,
DAND,-1.289206,36.833846,1042,
DAND,-1.289191,36.833885,1043,
DAND,-1.289173,36.833923,1044,
DAND,-1.289151,36.833966,1045,
DAND,-1.289131,36.83401,1046,
DAND,-1.289113,36.834053,1047,
DAND,-1.289088,36.8341,1048,
DAND,-1.289065,36.834145,1049,
DAND,-1.289046,36.834186,1050,
DAND,-1.289028,36.834228,1051,
DAND,-1.289011,36.834268,1052,
DAND,-1.288993,36.834309,1053,
DAND,-1.28897,36.834365,1054,
DAND,-1.288956,36.834406,1055,
DAND,-1.288948,36.834444,1056,
DAND,-1.28893,36.834495,1057,
DAND,-1.288923,36.834526,1058,
DAND,-1.288918,36.83456,1059,
DAND,-1.288905,36.8346,1060,
DAND,-1.288896,36.834638,1061,
DAND,-1.288888,36.834675,1062,
DAND,-1.288875,36.834714,1063,
DAND,-1.288866,36.834745,1064,
DAND,-1.288853,36.834785,1065,
DAND,-1.28884,36.834823,1066,
DAND,-1.288826,36.834861,1067,
DAND,-1.288811,36.834905,1068,
DAND,-1.288796,36.834946,1069,
DAND,-1.288783,36.834984,1070,
DAND,-1.28877,36.835025,1071,
DAND,-1.288756,36.835063,1072,
DAND,-1.288743,36.835103,1073,
DAND,-1.288735,36.835138,1074,
DAND,-1.28873,36.835173,1075,
DAND,-1.288723,36.83521,1076,
DAND,-1.291458,36.838326,1077,
DAND,-1.291599,36.838386,1078,
DAND,-1.291715,36.838433,1079,
DAND,-1.291813,36.838485,1080,
DAND,-1.292083,36.838641,1081,
DAND,-1.292233,36.838725,1082,
DAND,-1.292418,36.838851,1083,
DAND,-1.292508,36.83891,1084,
DAND,-1.292573,36.838951,1085,
DAND,-1.292633,36.838991,1086,
DAND,-1.292716,36.839058,1087,
DAND,-1.292796,36.83911,1088,
DAND,-1.29287,36.839153,1089,
DAND,-1.292948,36.839196,1090,
DAND,-1.29303,36.839235,1091,
DAND,-1.293103,36.83928,1092,
DAND,-1.293176,36.839321,1093,
DAND,-1.293245,36.839375,1094,
DAND,-1.293313,36.839423,1095,
DAND,-1.293385,36.83947,1096,
DAND,-1.293461,36.839515,1097,
DAND,-1.293526,36.839551,1098,
DAND,-1.293596,36.839595,1099,
DAND,-1.293675,36.839641,1100,
DAND,-1.29375,36.839688,1101,
DAND,-1.293821,36.839735,1102,
DAND,-1.293896,36.839781,1103,
DAND,-1.293968,36.839825,1104,
DAND,-1.294041,36.83987,1105,
DAND,-1.294113,36.839916,1106,
DAND,-1.294188,36.83996,1107,
DAND,-1.29426,36.840006,1108,
DAND,-1.294326,36.840053,1109,
