shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
EMBA,-1.2912691,36.8296831,1001,
EMBA,-1.2913023,36.8296796,1002,
EMBA,-1.2913422,36.8296734,1003,
EMBA,-1.2913056,36.8297131,1004,
EMBA,-1.2914132,36.829716,1005,
EMBA,-1.2913992,36.8296816,1006,
EMBA,-1.2913568,36.8296665,1007,
EMBA,-1.2912519,36.8296833,1008,
EMBA,-1.2913386,36.8296309,1009,
EMBA,-1.2913406,36.8296266,1010,
EMBA,-1.29134,36.8296875,1011,
EMBA,-1.2913163,36.8297307,1012,
EMBA,-1.2912508,36.8296962,1013,
EMBA,-1.2913096,36.8296615,1014,
EMBA,-1.2912952,36.8296832,1015,
EMBA,-1.2912767,36.8296433,1016,
EMBA,-1.2912808,36.8296577,1017,
EMBA,-1.29122,36.829681,1018,
EMBA,-1.2912656,36.8296683,1019,
EMBA,-1.291293,36.8297289,1020,
EMBA,-1.2912878,36.8297173,1021,
EMBA,-1.2913272,36.8296593,1022,
EMBA,-1.2913045,36.8296769,1023,
EMBA,-1.2912713,36.829638,1024,
EMBA,-1.2912163,36.8296181,1025,
EMBA,-1.2912412,36.8296889,1026,
EMBA,-1.2912934,36.8296287,1027,
EMBA,-1.2912989,36.8296388,1028,
EMBA,-1.2913053,36.8296979,1029,
EMBA,-1.2912831,36.829667,1030,
EMBA,-1.2912701,36.8296786,1031,
EMBA,-1.2913412,36.8296895,1032,
EMBA,-1.2913242,36.8296701,1033,
EMBA,-1.2912856,36.8296776,1034,
EMBA,-1.2912987,36.8296817,1035,
EMBA,-1.2913223,36.829688,1036,
EMBA,-1.2912985,36.8297365,1037,
EMBA,-1.2912983,36.8296691,1038,
EMBA,-1.2913304,36.8296598,1039,
EMBA,-1.2914021,36.8296602,1040,
EMBA,-1.2912909,36.8296513,1041,
EMBA,-1.2913139,36.8296696,1042,
EMBA,-1.2913127,36.8297036,1043,
EMBA,-1.2912449,36.8296225,1044,
EMBA,-1.291364,36.8296961,1045,
EMBA,-1.2912945,36.8296881,1046,
EMBA,-1.2912521,36.8297179,1047,
EMBA,-1.2913271,36.8297108,1048,
EMBA,-1.2912888,36.8297947,1049,
EMBA,-1.2910784,36.8301602,1050,
EMBA,-1.2907817,36.8307698,1051,
EMBA,-1.2903827,36.8316224,1052,
EMBA,-1.2898659,36.8326474,1053,
EMBA,-1.2891742,36.8340073,1054,
EMBA,-1.288952,36.8349929,1055,
EMBA,-1.2891826,36.8361038,1056,
EMBA,-1.2898023,36.8370693,1057,
EMBA,-1.2908299,36.8379065,1058,
EMBA,-1.2929599,36.8392053,1059,
EMBA,-1.2950147,36.8404986,1060,
EMBA,-1.2963536,36.8413849,1061,
EMBA,-1.2981659,36.8424795,1062,
EMBA,-1.2996977,36.843371,1063,
EMBA,-1.3006207,36.8443624,1064,
EMBA,-1.3012069,36.8456462,1065,
EMBA,-1.3013871,36.8470125,1066,
EMBA,-1.3011644,36.8486591,1067,
EMBA,-1.3008326,36.8513706,1068,
EMBA,-1.300507,36.853764,1069,
EMBA,-1.3002074,36.8560306,1070,
EMBA,-1.2999151,36.8580939,1071,
EMBA,-1.2996498,36.8600243,1072,
EMBA,-1.2993921,36.8619097,1073,
EMBA,-1.2991393,36.8637365,1074,
EMBA,-1.2988336,36.8659905,1075,
EMBA,-1.2985082,36.8681743,1076,
EMBA,-1.2984244,36.8686285,1077,
EMBA,-1.2984306,36.8685815,1078,
EMBA,-1.2984351,36.8685326,1079,
EMBA,-1.2984306,36.8687945,1080,
EMBA,-1.2983265,36.8693958,1081,
EMBA,-1.2982041,36.8704053,1082,
EMBA,-1.2980872,36.8715138,1083,
EMBA,-1.2977603,36.8730283,1084,
EMBA,-1.2976288,36.8742638,1085,
EMBA,-1.2973944,36.8758608,1086,
EMBA,-1.2971745,36.8775989,1087,
EMBA,-1.2969394,36.8793199,1088,
EMBA,-1.2967362,36.8807378,1089,
EMBA,-1.2965799,36.8825904,1090,
EMBA,-1.2968702,36.8838069,1091,
EMBA,-1.2974449,36.8849268,1092,
EMBA,-1.2982015,36.8857996,1093,
EMBA,-1.2992375,36.8865001,1094,
EMBA,-1.3000994,36.8868324,1095,
EMBA,-1.3002166,36.8868573,1096,
EMBA,-1.3001898,36.8868598,1097,
EMBA,-1.3002327,36.886867,1098,
EMBA,-1.3002871,36.886875,1099,
EMBA,-1.3007228,36.8869541,1100,
EMBA,-1.3015264,36.8871673,1101,
EMBA,-1.3027444,36.8875018,1102,
EMBA,-1.3040469,36.8878645,1103,
EMBA,-1.3057475,36.8883656,1104,
EMBA,-1.3068788,36.8890443,1105,
EMBA,-1.3086646,36.8901794,1106,
EMBA,-1.3096494,36.8908317,1107,
EMBA,-1.3105982,36.8913997,1108,
EMBA,-1.3117527,36.8921017,1109,
EMBA,-1.3128855,36.8928053,1110,
EMBA,-1.313326,36.8931,1111,
EMBA,-1.3132935,36.8930984,1112,
EMBA,-1.3132829,36.8930666,1113,
EMBA,-1.3132707,36.8930984,1114,
EMBA,-1.3133091,36.893045,1115,
EMBA,-1.3133712,36.8931053,1116,
EMBA,-1.313709,36.893324,1117,
EMBA,-1.3143222,36.8936542,1118,
EMBA,-1.3151627,36.8942126,1119,
EMBA,-1.3162621,36.8948962,1120,
EMBA,-1.3169431,36.8953135,1121,
EMBA,-1.3171258,36.8954628,1122,
EMBA,-1.3171388,36.8954428,1123,
EMBA,-1.3171066,36.8954062,1124,
EMBA,-1.3171559,36.8954203,1125,
EMBA,-1.3172364,36.8955211,1126,
EMBA,-1.3176617,36.8957653,1127,
EMBA,-1.3182439,36.8961142,1128,
EMBA,-1.3189806,36.8965907,1129,
EMBA,-1.3200543,36.8972585,1130,
EMBA,-1.3212023,36.897949,1131,
EMBA,-1.321729,36.8983008,1132,
EMBA,-1.3218517,36.8984158,1133,
EMBA,-1.3218599,36.8984435,1134,
EMBA,-1.322071,36.8986388,1135,
EMBA,-1.3224403,36.8991942,1136,
EMBA,-1.3226961,36.9001681,1137,
EMBA,-1.3226239,36.9010538,1138,
EMBA,-1.3221725,36.9019401,1139,
EMBA,-1.3214065,36.9032002,1140,
EMBA,-1.3205108,36.9045932,1141,
