stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
021RLW,,Railways,Main Terminus,-1.291665,36.828801,,,,
021MKD,,Makadara,Station,-1.298483,36.868608,,,,
020UMJ,,Umoja/Mtindwa,No station,-1.284703,36.883516,,,,
020KST,,Kariobangi South,No station,-1.269176,36.887475,,,,
021DDR,,Dandora,station,-1.258648,36.896783,,,,
020MWK,,Mwiki,No station,-1.23627,36.937058,,,,
020MNG,,Manguo/Mtooni,No station,-1.223473,36.9342885,,,,
020GIK,,Githurai Kimbo,No station,-1.215225,36.927123,,,,
020GIT,,Githurai 45,No station,-1.208543,36.922958,,,,
021KHW,,Kahawa,Station,-1.189142,36.913497,,,,
