stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
011KKY,,Kikuyu,Station,-1.245927,36.66056,,,,
010GTR,,Gitaru,No station,-1.238495,36.674859,,,,
010TGT,,Thogoto,No station,-1.267254,36.680055,,,,
010DGT,,Dagoreti,No station,-1.290441,36.694157,,,,
010MTN,,Mutuini,No station,-1.294922,36.703377,,,,
010LNN,,Lenana,No station,-1.302095,36.720387,,,,
010STL,,Satelite,No station,-1.298524,36.745519,,,,
011KBR,,kibera station,No station,-1.304727,36.767468,,,,
010OPE,,Olympic East,No Station,-1.314661,36.776923,,,,
010KAT,,Katwekera,No Station,-1.313812,36.782202,,,,
010MSN,,Mashimoni,No Station,-1.31007,36.789488,,,,
010MDK,,Madaraka,No Station,-1.30623,36.81322,,,,
021RLW,,Railways,Main Terminus,-1.291665,36.828801,,,,
