shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
KKUY,-1.292395,36.827995,1001,
KKUY,-1.292545,36.828018,1002,
KKUY,-1.292535,36.827995,1003,
KKUY,-1.292535,36.827972,1004,
KKUY,-1.292567,36.827953,1005,
KKUY,-1.292567,36.82793,1006,
KKUY,-1.292567,36.827907,1007,
KKUY,-1.29261,36.827888,1008,
KKUY,-1.292631,36.827865,1009,
KKUY,-1.292674,36.827846,1010,
KKUY,-1.292631,36.827823,1011,
KKUY,-1.29262,36.827781,1012,
KKUY,-1.292599,36.827735,1013,
KKUY,-1.29261,36.827693,1014,
KKUY,-1.29262,36.827651,1015,
KKUY,-1.29261,36.82761,1016,
KKUY,-1.292524,36.827545,1017,
KKUY,-1.292545,36.827522,1018,
KKUY,-1.292567,36.827503,1019,
KKUY,-1.292588,36.82748,1020,
KKUY,-1.292599,36.827457,1021,
KKUY,-1.29262,36.827438,1022,
KKUY,-1.292631,36.827415,1023,
KKUY,-1.292642,36.827373,1024,
KKUY,-1.292653,36.82735,1025,
KKUY,-1.292663,36.827308,1026,
KKUY,-1.292653,36.827285,1027,
KKUY,-1.292663,36.827243,1028,
KKUY,-1.292674,36.82722,1029,
KKUY,-1.292674,36.827178,1030,
KKUY,-1.292695,36.827136,1031,
KKUY,-1.292706,36.827095,1032,
KKUY,-1.292728,36.827072,1033,
KKUY,-1.292749,36.82703,1034,
KKUY,-1.292771,36.826988,1035,
KKUY,-1.292792,36.826942,1036,
KKUY,-1.292803,36.8269,1037,
KKUY,-1.292814,36.826858,1038,
KKUY,-1.292824,36.826816,1039,
KKUY,-1.292835,36.82677,1040,
KKUY,-1.292856,36.826728,1041,
KKUY,-1.292878,36.826686,1042,
KKUY,-1.292899,36.826622,1043,
KKUY,-1.292921,36.82658,1044,
KKUY,-1.292932,36.826534,1045,
KKUY,-1.292942,36.826492,1046,
KKUY,-1.292964,36.82645,1047,
KKUY,-1.292974,36.826408,1048,
KKUY,-1.292996,36.826362,1049,
KKUY,-1.293017,36.82632,1050,
KKUY,-1.293028,36.826278,1051,
KKUY,-1.29305,36.826236,1052,
KKUY,-1.293082,36.82619,1053,
KKUY,-1.293092,36.826148,1054,
KKUY,-1.293114,36.826129,1055,
KKUY,-1.293135,36.826084,1056,
KKUY,-1.293157,36.826042,1057,
KKUY,-1.293178,36.826,1058,
KKUY,-1.2932,36.825958,1059,
KKUY,-1.293221,36.825912,1060,
KKUY,-1.293243,36.825847,1061,
KKUY,-1.293264,36.825805,1062,
KKUY,-1.293286,36.825763,1063,
KKUY,-1.293296,36.825721,1064,
KKUY,-1.293318,36.825675,1065,
KKUY,-1.293339,36.825634,1066,
KKUY,-1.29335,36.825614,1067,
KKUY,-1.293371,36.825569,1068,
KKUY,-1.293393,36.825527,1069,
KKUY,-1.293414,36.825485,1070,
KKUY,-1.293425,36.825462,1071,
KKUY,-1.293457,36.82542,1072,
KKUY,-1.293489,36.825378,1073,
KKUY,-1.293511,36.825355,1074,
KKUY,-1.293543,36.82529,1075,
KKUY,-1.293575,36.825271,1076,
KKUY,-1.293597,36.825225,1077,
KKUY,-1.293629,36.825206,1078,
KKUY,-1.29365,36.82516,1079,
KKUY,-1.293672,36.825119,1080,
KKUY,-1.293693,36.825077,1081,
KKUY,-1.293715,36.825012,1082,
KKUY,-1.293747,36.82497,1083,
KKUY,-1.293768,36.824928,1084,
KKUY,-1.293801,36.824882,1085,
KKUY,-1.293822,36.82484,1086,
KKUY,-1.293833,36.824798,1087,
KKUY,-1.293843,36.824733,1088,
KKUY,-1.293854,36.824691,1089,
KKUY,-1.293876,36.824626,1090,
KKUY,-1.293929,36.824539,1091,
KKUY,-1.29394,36.824474,1092,
KKUY,-1.293962,36.824432,1093,
KKUY,-1.293983,36.824367,1094,
KKUY,-1.294004,36.824302,1095,
KKUY,-1.294015,36.82426,1096,
KKUY,-1.294037,36.824195,1097,
KKUY,-1.294058,36.824131,1098,
KKUY,-1.294144,36.824047,1099,
KKUY,-1.294165,36.823982,1100,
KKUY,-1.294208,36.82394,1101,
KKUY,-1.29424,36.823875,1102,
KKUY,-1.294273,36.823833,1103,
KKUY,-1.294316,36.823768,1104,
KKUY,-1.294348,36.823703,1105,
KKUY,-1.294391,36.823638,1106,
KKUY,-1.294412,36.823574,1107,
KKUY,-1.294444,36.823532,1108,
KKUY,-1.294444,36.82349,1109,
KKUY,-1.294476,36.823425,1110,
KKUY,-1.294498,36.823383,1111,
KKUY,-1.29453,36.823318,1112,
KKUY,-1.294562,36.823253,1113,
KKUY,-1.294584,36.823211,1114,
KKUY,-1.294605,36.823146,1115,
KKUY,-1.294637,36.823081,1116,
KKUY,-1.294659,36.822994,1117,
KKUY,-1.294691,36.822952,1118,
KKUY,-1.294723,36.822887,1119,
KKUY,-1.294755,36.822822,1120,
KKUY,-1.294777,36.822757,1121,
KKUY,-1.294809,36.822696,1122,
KKUY,-1.294841,36.822631,1123,
KKUY,-1.294873,36.822586,1124,
KKUY,-1.294906,36.822525,1125,
KKUY,-1.294938,36.822479,1126,
KKUY,-1.294981,36.822437,1127,
KKUY,-1.295024,36.822414,1128,
KKUY,-1.295067,36.822353,1129,
KKUY,-1.295099,36.822288,1130,
KKUY,-1.295142,36.822242,1131,
KKUY,-1.295185,36.822181,1132,
KKUY,-1.295217,36.822116,1133,
KKUY,-1.29526,36.822052,1134,
KKUY,-1.295292,36.821987,1135,
KKUY,-1.295335,36.821964,1136,
KKUY,-1.295367,36.821899,1137,
KKUY,-1.29541,36.821857,1138,
KKUY,-1.295453,36.821815,1139,
KKUY,-1.295506,36.82175,1140,
KKUY,-1.295549,36.821708,1141,
KKUY,-1.295592,36.821666,1142,
KKUY,-1.295646,36.82162,1143,
KKUY,-1.2957,36.821578,1144,
KKUY,-1.295742,36.821537,1145,
KKUY,-1.295785,36.821495,1146,
KKUY,-1.295839,36.821449,1147,
KKUY,-1.295882,36.82143,1148,
KKUY,-1.295925,36.821407,1149,
KKUY,-1.295968,36.821365,1150,
KKUY,-1.296021,36.821342,1151,
KKUY,-1.296064,36.8213,1152,
KKUY,-1.296118,36.821277,1153,
KKUY,-1.296172,36.821235,1154,
KKUY,-1.296298,36.821169,1155,
KKUY,-1.296491,36.821212,1156,
KKUY,-1.296684,36.821203,1157,
KKUY,-1.296834,36.821203,1158,
KKUY,-1.296834,36.821203,1159,
KKUY,-1.297091,36.821235,1160,
KKUY,-1.297166,36.821235,1161,
KKUY,-1.297274,36.821267,1162,
KKUY,-1.297359,36.82131,1163,
KKUY,-1.297467,36.821353,1164,
KKUY,-1.297563,36.821439,1165,
KKUY,-1.29766,36.821492,1166,
KKUY,-1.297746,36.821546,1167,
KKUY,-1.297864,36.821621,1168,
KKUY,-1.297939,36.821664,1169,
KKUY,-1.298057,36.821739,1170,
KKUY,-1.298153,36.821804,1171,
KKUY,-1.29825,36.821857,1172,
KKUY,-1.298346,36.821911,1173,
KKUY,-1.298421,36.821954,1174,
KKUY,-1.298529,36.822007,1175,
KKUY,-1.298657,36.822093,1176,
KKUY,-1.298743,36.822147,1177,
KKUY,-1.298829,36.82219,1178,
