shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
SYOK,-1.360094,36.906936,1001,
SYOK,-1.360094,36.906936,1002,
SYOK,-1.360094,36.906917,1003,
SYOK,-1.360116,36.906894,1004,
SYOK,-1.360126,36.906894,1005,
SYOK,-1.360158,36.906871,1006,
SYOK,-1.36018,36.906852,1007,
SYOK,-1.360212,36.906829,1008,
SYOK,-1.360223,36.90681,1009,
SYOK,-1.360234,36.906787,1010,
SYOK,-1.360244,36.906764,1011,
SYOK,-1.360255,36.906745,1012,
SYOK,-1.360276,36.906723,1013,
SYOK,-1.360287,36.9067,1014,
SYOK,-1.360298,36.906681,1015,
SYOK,-1.36033,36.906658,1016,
SYOK,-1.360352,36.906639,1017,
SYOK,-1.360362,36.906616,1018,
SYOK,-1.360384,36.906593,1019,
SYOK,-1.360416,36.906574,1020,
SYOK,-1.360437,36.906551,1021,
SYOK,-1.360459,36.906528,1022,
SYOK,-1.36048,36.906509,1023,
SYOK,-1.360502,36.906486,1024,
SYOK,-1.360523,36.906444,1025,
SYOK,-1.360555,36.906444,1026,
SYOK,-1.360577,36.906421,1027,
SYOK,-1.360598,36.906402,1028,
SYOK,-1.36063,36.906379,1029,
SYOK,-1.360652,36.906356,1030,
SYOK,-1.360673,36.906314,1031,
SYOK,-1.360706,36.906295,1032,
SYOK,-1.360727,36.906272,1033,
SYOK,-1.360759,36.90625,1034,
SYOK,-1.36077,36.90623,1035,
SYOK,-1.360706,36.90623,1036,
SYOK,-1.360727,36.906208,1037,
SYOK,-1.360759,36.906166,1038,
SYOK,-1.36077,36.906124,1039,
SYOK,-1.360791,36.906059,1040,
SYOK,-1.360802,36.906013,1041,
SYOK,-1.360824,36.905971,1042,
SYOK,-1.360856,36.905929,1043,
SYOK,-1.360877,36.905906,1044,
SYOK,-1.360888,36.905864,1045,
SYOK,-1.36092,36.905841,1046,
SYOK,-1.360942,36.905822,1047,
SYOK,-1.360974,36.90578,1048,
SYOK,-1.360995,36.905757,1049,
SYOK,-1.361027,36.905715,1050,
SYOK,-1.36106,36.90567,1051,
