0111ODE,,Odeon Terminus,D,-1.282757,36.825048
0101NGR,,Ngara Road,UD,-1.27585,36.82299
0101JHS,,Jamuhuri High School,UD,-1.27335,36.82297
0101STP,,Stima Plaza,UD,-1.27043,36.82048
0111SPS,,Stima Plaza Stage,D,-1.2696,36.8204
0101WBR,,Wambugu Road,UD,-1.26799,36.82127
0101AGA,,Aga Khan Academy,UD,-1.26628,36.82331
0111OLB,,Oilibya,UD,-1.26469,36.82432
0101CPK,,City Park,UD,-1.26057,36.82615
0111RHK,,6th Parklands Avenue/Regal House/Kobil,D,-1.25777,36.82691
0111BEK,,Belgian Embassy/Karura,D,-1.24701,36.8156
0111TUN,,UN,D,-1.23867,36.81054
0111RHR,,Redhill Road,D,-1.23418,36.80341
0111VMA,,Village Market,D,-1.22876,36.80443
0111KRU,,Karura/Runda,D,-1.22082,36.80136
0101REE,,Runda Estate Entrance,UD,-1.2186,36.80168
0101ROR,,Rosslyn Road,UD,-1.21721,36.80043
0101ROK,,Rosslyn Road/Karura Community Chapel,UD,-1.21649,36.79928
0101SHR,,Shakers/Rosslyn Gate,UD,-1.21115,36.79024
0101DPB,,Delta Petrol Station/ Brook Apartmens,UD,-1.20918,36.7882
0111RST,,Ruaka Stage,D,-1.20717,36.78571
0101RCK,,Ruaka ACK Church,UD,-1.20676,36.78382
0101RDC,,Ruaka DC,UD,-1.2065,36.78171
0101RCC,,Ruaka Catholic Church,UD,-1.2062,36.78055
0101SLT,,Slaughter,UD,-1.20523,36.77754
0101PMR,,PM Flats/ Runda View,UD,-1.20429,36.77439
0101PMV,,PM Flats/ Runda View 2,UD,-1.20369,36.77218
0111MCM,,Mirai Court/Mifereji,D,-1.20322,36.77046
0101KTO,,Komototho,UD,-1.20202,36.7662
0101GRJ,,Gacharage Junction,UD,-1.20041,36.76058
0101RMY,,Rumenya,UD,-1.19961,36.75794
0111AMB,,Ambassadors Stage,D,-1.19859,36.75619
0101AME,,Ambassadors Entrance,UD,-1.19804,36.75538
0101CHC,,Christco Church,UD,-1.19628,36.75294
0101FRK,,Furaha/ KAG Ndenderu,UD,-1.1954,36.75175
0111NDS,,Ndenderu Stage,D,-1.19303,36.74802
0101REN,,Redeemed Ndenderu,UD,-1.19238,36.74504
0101NDJ,,Ndenderu Junction,UD,-1.19254,36.74372
0101NSA,,Ndenderu SDA,UD,-1.19253,36.74373
0101SAN,,St.Annes,UD,-1.19438,36.7385
0111KAR,,Karura Mwisho,D,-1.19435,36.73204
0110KRS,,Karura Stage,D,-1.19437,36.73198
0100STJ,,St. Annes (Kwa Daraja),UD,-1.19437,36.73506
0100STN,,St. AnnesUD,,-1.19452,36.73834
0100VDA,,Victory Gospel/SDA,UD,-1.19432,36.7429
0100NDT,,Ndenderu Junction,,-1.19233,36.7437
0110NGP,,Ndenderu Redeemed Gospel,D,-1.19222,36.74442
0110NSG,,Ndenderu Stage,D,-1.1926,36.74685
0100NKD,,Ndenderu Kwa Maduka,UD,-1.19449,36.75061
0100CTC,,Christco,UD,-1.19626,36.75305
0100ASD,,Ambassadors,UD,-1.19794,36.75537
0110AST,,Ambassadors Stage,D,-1.19864,36.75634
0100RYA,,Rumenya,UD,-1.20037,36.76065
0100MFB,,Mifereji/God's Ability,UD,-1.20213,36.76693
0110PMT,,PM Flats,D,-1.20375,36.77257
0100JYL,,Joyland,UD,-1.20469,36.77598
0100SLG,,Slaughter,UD,-1.20578,36.78005
0100RCN,,Ruaka Catholic Church Entrance,UD,-1.20614,36.78059
0100RRD,,Ruaka Redeemed Gospel Church,UD,-1.20651,36.78206
0100CBR,,Cooperative Bank Ruaka,UD,-1.20678,36.78464
0100RBJ,,Ruaka/Banana Junction,UD,-1.20722,36.78602
0100DPA,,Delta Petrol Station Ruaka,UD,-1.20934,36.78847
0100MRC,,Movers/Rosslyn Centre,UD,-1.21102,36.79019
0100RRP,,Rosslyn Road/Karura Community Chapel,UD,-1.21641,36.79927
0100RES,,Runda Estate Entrance,UD,-1.21873,36.80177
0100RKH,,Runda/Karura Carwash,UD,-1.22091,36.80144
0110VMT,,Village Market,D,-1.23006,36.80399
0100RRJ,,Redhill Road Junction,UD,-1.23398,36.80339
0110UNA,,UN,D,-1.23781,36.80961
0110MTS,,Muthaiga Shopping Centre,D,-1.25044,36.82058
0100TCP,,Total/City Park,UD,-1.25943,36.82673
0110TPA,,3rd Parklands Avenue/ Aga Kan Hospital Junction,D,-1.26325,36.82498
0110AGK,,Aga Khan Academy,D,-1.26646,36.82324
0110ODE,,Odeon,D,-1.28303,36.82475
