stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
0111POL,,,"Poland Embassy",-1.234835,36.803782,,,,
0101MTH,,,"Muthaiga Junction",-1.228633,36.798518,,,,
0101NYR,,,Nyari,-1.226487,36.795583,,,,
0101NYG,,,"Nyari Gate 2",-1.225544,36.791386,,,,
0101NYP,,,"Nyari Police",-1.225594,36.787764,,,,
0101NGG,,,"Nyari Gate 3",-1.225371,36.785596,,,,
0101RSH,,,"Roslyn Heights",-1.223669,36.782832,,,,
0101SDA,,,"SDA church",-1.223143,36.781961,,,,
0101KKB,,,Kamukabi,-1.222324,36.780623,,,,
0111KNA,,,Kona,-1.220945,36.778584,,,,
0101CHF,,,"Sub Chief",-1.219799,36.778197,,,,
0101POW,,,Power,-1.217477,36.778214,,,,
0101JAK,,,Jakai,-1.219745,36.772222,,,,
0111GCH,,,"Gasolina/Gichagi mwisho",-1.219641,36.766688,,,,
0110GCH,,,"Gasolina/Gichagi stage",-1.219545,36.76669,,,,
0100JAK,,,Jakai,-1.219687,36.77222,,,,
0100POW,,,Power,-1.21731,36.778253,,,,
0100KNA,,,Kona,-1.221391,36.779214,,,,
0110KKB,,,Kamukabi,-1.222414,36.780964,,,,
0100CHE,,,"Commission of Higher Education",-1.227579,36.797994,,,,
0100NMT,,,"New Muthaiga",-1.228621,36.798616,,,,
0100POL,,,"Poland Embassy",-1.234536,36.803751,,,,
