stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
0411MTW,,Muthurwa,D,-1.288449,36.834243,,,,
0411CST,,City Stadium Stage,D,-1.29237,36.84373,,,,
0411SMY,,Shauri Moyo,D,-1.29288,36.846,,,,
0411MZW,,Maziwa,D,-1.2936,36.8492,,,,
0401RKN,,Rikana,ND,-1.294013,36.851153,,,,
0411CAR,,Church Army,D,-1.29454,36.85315,,,,
0411PST,,Posta,D,-1.29528,36.85678,,,,
0401UJR,,Uchumi Jogoo Road,ND,-1.29642,36.86237,,,,
0401KOT,,Kotini,ND,-1.296355,36.861928,,,,
0401PS1,,Maringo Phase1,ND,-1.293303,36.862738,,,,
0401FDS,,Friends Centre,ND,-1.293403,36.864591,,,,
0401HDH,,Hodihodi,ND,-1.293019,36.866085,,,,
0401N10,,No 10,ND,-1.293061,36.867141,,,,
0401JUC,,Junction,ND,-1.292078,36.868654,,,,
0401LUM,,Lumumba madukani,ND,-1.292253,36.869728,,,,
0401LHS,,Lumumba Hosptial,ND,-1.291841,36.87144,,,,
0401LMS,,Mwisho,ND,-1.290631,36.873744,,,,
0400LMS,,Mwisho,ND,-1.290631,36.873744,,,,
0400N10,,Number 10,ND,-1.293105,36.867184,,,,
0400HDH,,Hodihodi,ND,-1.293053,36.866065,,,,
0400FDS,,Friends Centre,ND,-1.29346,36.864653,,,,
0400PS1,,Maringo Phase1,ND,-1.293352,36.862728,,,,
0400KOT,,Kotini,ND,-1.29508,36.862289,,,,
0410MKD,,Makadara,D,-1.29657,36.86223,,,,
0410DCJ,,DC Jogoo Road,D,-1.29827,36.86113,,,,
0400UJR,,Uchumi Jogoo Road,ND,-1.29618,36.86031,,,,
0410PST,,Posta,D,-1.29565,36.85747,,,,
0410CAR,,Church Army,D,-1.29475,36.85326,,,,
0400MKG,,Makongeni,ND,-1.29314,36.84594,,,,
0400MZW,,Maziwa,ND,-1.29368,36.84869,,,,
0410KLL,,Kaloleni,D,-1.29304,36.84563,,,,
0410CST,,City Stadium Stage,D,-1.29239,36.84268,,,,
0410MTW,,Muthurwa,D,-1.288383,36.833833,,,,
