shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
40001011,-1.288484,36.834244,1001,
40001011,-1.288468,36.833927,1002,
40001011,-1.288468,36.833927,1003,
40001011,-1.288666,36.834171,1004,
40001011,-1.288663,36.834846,1005,
40001011,-1.288843,36.835907,1006,
40001011,-1.289003,36.836361,1007,
40001011,-1.289228,36.836796,1008,
40001011,-1.290381,36.838093,1009,
40001011,-1.290918,36.838863,1010,
40001011,-1.291386,36.839375,1011,
40001011,-1.291736,36.840755,1012,
40001011,-1.291736,36.840755,1013,
40001011,-1.291548,36.840862,1014,
40001011,-1.291495,36.841095,1015,
40001011,-1.291564,36.841232,1016,
40001011,-1.291714,36.841328,1017,
40001011,-1.291892,36.841541,1018,
40001011,-1.291999,36.841782,1019,
40001011,-1.293454,36.848656,1020,
40001011,-1.294088,36.851238,1021,
40001011,-1.2941,36.852112,1022,
40001011,-1.294497,36.852978,1023,
40001011,-1.294927,36.854965,1024,
40001011,-1.294982,36.855766,1025,
40001011,-1.295235,36.856407,1026,
40001011,-1.296394,36.862068,1027,
40001011,-1.296394,36.862068,1028,
40001011,-1.293894,36.862564,1029,
40001011,-1.29334,36.86261,1030,
40001011,-1.29334,36.86261,1031,
40001011,-1.293323,36.863529,1032,
40001011,-1.293429,36.864777,1033,
40001011,-1.293226,36.86528,1034,
40001011,-1.293065,36.865936,1035,
40001011,-1.293167,36.868019,1036,
40001011,-1.293167,36.868019,1037,
40001011,-1.292187,36.868084,1038,
40001011,-1.292187,36.868084,1039,
40001011,-1.292311,36.870125,1040,
40001011,-1.292189,36.870831,1041,
40001011,-1.290621,36.873753,1042,
40001011,-1.290621,36.873753,2001,
40001011,-1.292189,36.870831,2002,
40001011,-1.292311,36.870125,2003,
40001011,-1.292187,36.868084,2004,
40001011,-1.292187,36.868084,2005,
40001011,-1.293167,36.868019,2006,
40001011,-1.293167,36.868019,2007,
40001011,-1.293065,36.865936,2008,
40001011,-1.293226,36.86528,2009,
40001011,-1.293429,36.864777,2010,
40001011,-1.293323,36.863529,2011,
40001011,-1.29334,36.86261,2012,
40001011,-1.29334,36.86261,2013,
40001011,-1.293894,36.862564,2014,
40001011,-1.296394,36.862068,2015,
40001011,-1.296394,36.862068,2016,
40001011,-1.296591,36.863041,2017,
40001011,-1.296729,36.862934,2018,
40001011,-1.295384,36.856445,2019,
40001011,-1.295309,36.855488,2020,
40001011,-1.295162,36.855198,2021,
40001011,-1.294322,36.851715,2022,
40001011,-1.294295,36.851349,2023,
40001011,-1.292142,36.841774,2024,
40001011,-1.292119,36.841454,2025,
40001011,-1.292194,36.841251,2026,
40001011,-1.292194,36.841251,2027,
40001011,-1.292304,36.841057,2028,
40001011,-1.292255,36.840885,2029,
40001011,-1.292022,36.840733,2030,
40001011,-1.291736,36.840755,2031,
40001011,-1.291386,36.839375,2032,
40001011,-1.290918,36.838863,2033,
40001011,-1.290381,36.838093,2034,
40001011,-1.289228,36.836796,2035,
40001011,-1.289122,36.836601,2036,
40001011,-1.288843,36.835907,2037,
40001011,-1.288663,36.834846,2038,
40001011,-1.288666,36.834171,2039,
40001011,-1.288468,36.833927,2040,
40001011,-1.288468,36.833927,2041,
40001011,-1.288378,36.833698,2042,
