stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
0501DVK,,Devki,ND,-1.444158,36.989459,,,,
0501SKN,,Sokoni/pauline,ND,-1.44856,36.980494,,,,
0501KMC,,KMC,ND,-1.45239,36.979922,,,,
0501STS,,Starsheik,ND,-1.456219,36.979792,,,,
0501SLM,,Sulami/Nyambura,ND,-1.457796,36.978468,,,,
0511MDK,,Makadara,ND,-1.456905,36.974657,,,,
0501VNL,,Vanillas,ND,-1.451993,36.968145,,,,,,,,,
0501VLG,,Village,ND,-1.453628,36.967694,,,,
0511EPZ,,EPZ,D,-1.469175,36.960858,,,,
0511TSH,,Tosha,D,-1.470376,36.960409,,,,
0511KIT,,Kitengela,D,-1.477218,36.958032,,,,
0510KIT,,Kitengela,ND,-1.47715,36.957852,,,,
0500EPZ,,Epz,ND,-1.468748,36.96082,,,,
0510EPZ,,EPZ,D,-1.467201,36.961268,,,,
0510VNL,,Vanillas,ND,-1.451799,36.968381,,,,
0500SLM,,Sulami,ND,-1.45773,36.978475,,,,
0500STS,,Starsheik Academy,ND,-1.456165,36.979733,,,,
0500KMC,,KMC,ND,-1.452147,36.979849,,,,
0501SKN,,Sokoni,ND,-1.448606,36.980339,,,,
0500DVK,,Devki,ND,-1.443505,36.989586,,,,
