shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
5011012,-1.444109,36.989403,1001,
5011012,-1.444737,36.988739,1002,
5011012,-1.446582,36.986534,1003,
5011012,-1.446893,36.98608,1004,
5011012,-1.447177,36.985329,1005,
5011012,-1.447338,36.984627,1006,
5011012,-1.447788,36.98175,1007,
5011012,-1.448083,36.980968,1008,
5011012,-1.448338,36.980625,1009,
5011012,-1.448671,36.980305,1010,
5011012,-1.449029,36.980076,1011,
5011012,-1.44939,36.979923,1012,
5011012,-1.449638,36.979885,1013,
5011012,-1.452312,36.979889,1014,
5011012,-1.453544,36.980019,1015,
5011012,-1.455024,36.979912,1016,
5011012,-1.456618,36.979725,1017,
5011012,-1.456998,36.979591,1018,
5011012,-1.457264,36.979382,1019,
5011012,-1.457592,36.979015,1020,
5011012,-1.45769,36.978748,1021,
5011012,-1.457846,36.977531,1022,
5011012,-1.457874,36.97673,1023,
5011012,-1.457833,36.976131,1024,
5011012,-1.457584,36.975422,1025,
5011012,-1.457363,36.975079,1026,
5011012,-1.457021,36.974766,1027,
5011012,-1.45341,36.972839,1028,
5011012,-1.453186,36.972683,1029,
5011012,-1.452974,36.972427,1030,
5011012,-1.452662,36.971951,1031,
5011012,-1.452499,36.971405,1032,
5011012,-1.452023,36.969337,1033,
5011012,-1.451812,36.968094,1034,
5011012,-1.451812,36.968094,1035,
5011012,-1.453808,36.967564,1036,
5011012,-1.454976,36.967079,1037,
5011012,-1.463596,36.962749,1038,
5011012,-1.465338,36.962017,1039,
5011012,-1.466682,36.96151,1040,
5011012,-1.468622,36.960888,1041,
5011012,-1.477181,36.958229,1042,
5011012,-1.477181,36.958229,1043,
5011012,-1.477189,36.958031,1044,
5011012,-1.477189,36.958031,2001,
5011012,-1.477181,36.958229,2002,
5011012,-1.477181,36.958229,2003,
5011012,-1.468622,36.960888,2004,
5011012,-1.466682,36.96151,2005,
5011012,-1.465338,36.962017,2006,
5011012,-1.463596,36.962749,2007,
5011012,-1.454976,36.967079,2008,
5011012,-1.453808,36.967564,2009,
5011012,-1.451812,36.968094,2010,
5011012,-1.451812,36.968094,2011,
5011012,-1.452023,36.969337,2012,
5011012,-1.452499,36.971405,2013,
5011012,-1.452662,36.971951,2014,
5011012,-1.452974,36.972427,2015,
5011012,-1.453186,36.972683,2016,
5011012,-1.45341,36.972839,2017,
5011012,-1.457021,36.974766,2018,
5011012,-1.457363,36.975079,2019,
5011012,-1.457584,36.975422,2020,
5011012,-1.457833,36.976131,2021,
5011012,-1.457874,36.97673,2022,
5011012,-1.457827,36.977722,2023,
5011012,-1.45769,36.978748,2024,
5011012,-1.457592,36.979015,2025,
5011012,-1.457131,36.9795,2026,
5011012,-1.456835,36.979668,2027,
5011012,-1.456618,36.979725,2028,
5011012,-1.455024,36.979912,2029,
5011012,-1.453544,36.980019,2030,
5011012,-1.452312,36.979889,2031,
5011012,-1.449638,36.979885,2032,
5011012,-1.44939,36.979923,2033,
5011012,-1.449029,36.980076,2034,
5011012,-1.448671,36.980305,2035,
5011012,-1.448338,36.980625,2036,
5011012,-1.448083,36.980968,2037,
5011012,-1.447788,36.98175,2038,
5011012,-1.447338,36.984627,2039,
5011012,-1.447177,36.985329,2040,
5011012,-1.446893,36.98608,2041,
5011012,-1.446582,36.986534,2042,
5011012,-1.444737,36.988739,2043,
5011012,-1.44415,36.989368,2044,
5011012,-1.443947,36.989548,2045,
5011012,-1.443405,36.989681,2046,
5011012,-1.443405,36.989681,2047,
5011012,-1.443435,36.990005,2048,
