stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
0811KNJ,,Koja,D,-1.280852,36.822802,,,,
0811CHR,,Chiromo,D,-1.272689,36.808988,,,,
0801CHR,,Chiromo,ND,-1.27036,36.80234,,,,
0811WST,,Westlands,D,-1.2628,36.80031,,,,
0801STM,,St. Marks,ND,-1.26132,36.79749,,,,
0801LIO,,Lions Place,ND,-1.26109,36.79608,,,,
0801BRK,,Brookside,ND,-1.260987,36.792201,,,,
0801SAF,,AACC/Safaricom/Church Road,ND,-1.25982,36.78687,,,,
0801AGA,,Aga Khan High School,ND,-1.25934,36.78281,,,,
0811ABC,,ABC Place Stage,D,-1.25897,36.7786,,,,
0801ABE,,ABC Place Entrance,ND,-1.25919,36.77746,,,,
0801JGJ,,James Gichuru Junction,ND,-1.25946,36.77551,,,,
0801KAR,,KARI,ND,-1.25974,36.77392,,,,
0801NSH,,Nairobi School,ND,-1.26035,36.77108,,,,
0801DEL,,Deloitte,ND,-1.26309,36.76439,,,,
0801AFL,,AFRALTI,ND,-1.26366,36.7613,,,,
0811KND,,Kianda School,D,-1.26395,36.75863,,,,
0801SDM,,Sodom,ND,-1.26425,36.75426,,,,
0811KNM,,Kangemi Market,D,-1.26429,36.74858,,,,
0801PKN,,Posta Kangemi,ND,-1.26437,36.75044,,,,
0801TKN,,Total Petrol Station Kangemi,ND,-1.26447,36.74961,,,,
0811KGT,,Kangemi terminus,D,-1.264462,36.749417,,,,
0811DAG,,Dagoreti PP,D,-1.26162,36.725514,,,,
0811KIN,,Kinoo,D,-1.257887,36.701007,,,,
0811MTG,,Mutiga,D,-1.249737,36.684609,,,,
0811RNR,,Rungiri,D,-1.242925,36.677091,,,,
0811GIT,,Gitaru,D,-1.233226,36.66923,,,,
0811SIG,,Sigona,D,-1.223703,36.663543,,,,
0811ZOP,,Zopen,D,-1.201284,36.654722,,,,
0811GCN,,Gicini,D,-1.191999,36.650001,,,,
0811MUG,,Muguga,D,-1.186133,36.646986,,,,
0811IKA,,Ika ithano,D,-1.178246,36.643085,,,,
0801IKA,,Ika ithano,ND,-1.176551,36.642386,,,,
0811JOR,,Ha Joram,D,-1.168968,36.641115,,,,
0801CNG,,Chunga mali,ND,-1.160813,36.639781,,,,
0811CNG,,Chunga mali,D,-1.159398,36.63953,,,,
0811RRN,,Rironi,D,-1.154499,36.638699,,,,
0801RRN,,Rironi,ND,-1.146119,36.637349,,,,
0801KPL,,Kampala,ND,-1.135621,36.635547,,,,
0811KDR,,Kamandura,D,-1.129363,36.633967,,,,
0801KRH,,Kamirithu,ND,-1.117688,36.631237,,,,
0801MBR,,Kwa Mbira,ND,-1.110411,36.631226,,,,
0811MBR,,Kwa Mbira,D,-1.108834,36.631387,,,,
0801DOS,,Kwa DO,ND,-1.10794,36.639396,,,,
0811LRM,,Limuru Town,D,-1.108564,36.643235,,,,
0811LMT,,Limuru Town,Terminal D,-1.108561,36.643231,,,,
0810LMT,,Limuru Terminal,Terminal D,-1.107515,36.643194,,,,
0800KMR,,kamirithu,ND,-1.117782,36.631331,,,,
0800KMD,,kamandura,ND,-1.128719,36.633928,,,,
0810JUN,,Junction,D,-1.131017,36.634524,,,,
0810KBB,,Kambembe,D,-1.145791,36.637495,,,,
0810ARM,,Arimis,D,-1.148981,36.63797,,,,
0810RIR,,Rironi,D,-1.154283,36.63886,,,,
0810CNG,,Chunga mali,D,-1.159339,36.63971,,,,
0810BEL,,Bell,D,-1.167929,36.641045,,,,
0810IKA,,Ika Ithano,D,-1.178277,36.643331,,,,
0810SIT,,Site,D,-1.180555,36.644643,,,,
0810MUG,,Muguga,D,-1.185962,36.647084,,,,
0810GIC,,Kwa Gicini,D,-1.192524,36.650483,,,,
0810KBA,,Kiambaa ,D,-1.198661,36.653775,,,,
0800KBA,,Kiambaa ,Road Block ND,-1.205796,36.656692,,,,
0810ZAB,,Zambezi,D,-1.212741,36.659981,,,,
0801WID,,Wida Hotel,ND,-1.220669,36.663259,,,,
0810SIG,,Sigona Golf,D,-1.222852,36.663602,,,,
0810GCR,,Ha Gicuru,D,-1.228431,36.665231,,,,
0810GIT,,Gitaro,D,-1.232893,36.669092,,,,
0800GIT,,Gitaro,ND,-1.239081,36.674939,,,,
0810KPL,,Kampapla,D,-1.240285,36.675546,,,,
0810RUG,,Rungiri,D,-1.242892,36.677207,,,,
0800REG,,Regen,ND,-1.247038,36.681033,,,,
0810MTG,,Muthiga,D,-1.249498,36.68443,,,,
