stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
0811JYA,,,"Town Jamia RoundAbout BusStation",-1.281373,36.822393,,,,
0801NGR,,,Ngara,-1.275566,36.822958,,,,
0801PSC,,,"Parklands Sports Club",-1.269615,36.812425,,,,
0801MPS,,,Mp-shah,-1.264528,36.81076,,,,
0811MAY,,,Mayfair,-1.263575,36.807414,,,,
0811WST,,,Westlands,-1.262281,36.803707,,,,
0801PEP,,,"Peponi Rd",-1.259216,36.801806,,,,
0801BSD,,,"Brookside Drive Junction",-1.255481,36.797472,,,,
0801TOT,,,"Total-Kabete lane",-1.253922,36.792235,,,,
0811SPV,,,"Spring valley",-1.251415,36.787043,,,,
0801SVR,,,"Spring Valley Round-about",-1.251209,36.785281,,,,
0801SVP,,,"Spring Valley Police Station",-1.250185,36.784925,,,,
0801HVW,,,"Hill View",-1.246299,36.774265,,,,
0801ZEN,,,"Zen Gardens",-1.245281,36.769897,,,,
0811ZEN,,,"Zen Gardens",-1.24524,36.769321,,,,
0801PEP,,,"Peponi House",-1.243697,36.76081,,,,
0801KBT,,,"Kabete Springs",-1.240831,36.751169,,,,
0801PST,,,"Lower Kabete Posta",-1.240176,36.745579,,,,
0811KSA,,,"Kenya School of Administration",-1.239977,36.744484,,,,
0801UON,,,"University of Nairobi School of Business",-1.23969,36.739878,,,,
0801RHY,,,"Rhythm College",-1.23877,36.728965,,,,
0801GAC,,,"Gacio Junior Academy",-1.23856,36.72642,,,,
0811KAM,,,"Kamutii Car Wash",-1.234571,36.714712,,,,
0801KAM,,,Kamutii-ini,-1.229795,36.70979,,,,
0801MOS,,,"Modern Oil Service Station",-1.229024,36.709134,,,,
0801KIG,,,Kigeero-Mwisho,-1.224947,36.705573,,,,
0811WAG,,,Wangige,-1.220044,36.712365,,,,
0811WBS,,,"Wangige Bus Station",-1.219244,36.712429,,,,
0810WBS,,,"Wangige Bus Station",-1.218598,36.712463,,,,
0800TOT,,,"Total Wangige",-1.220756,36.712077,,,,
0800ACC,,,"Accacia Junction(Kingeero -Mwisho)",-1.224559,36.706424,,,,
0800RGR,,,Rungiri,-1.229827,36.70987,,,,
0810KAM,,,Kamutii-ini,-1.23116,36.711048,,,,
0810NDG,,,Ndongoro,-1.234791,36.715071,,,,
0800KAS,,,Kasio,-1.238508,36.726314,,,,
0810KRC,,,"Kabete Rehabilitation Center",-1.238917,36.731366,,,,
0810UON,,,"University of Nairobi School of Business",-1.239652,36.740087,,,,
0810POS,,,"Lower Kabete Posta",-1.240106,36.745337,,,,
0800KSP,,,"Kabete Springs",-1.240795,36.751152,,,,
0800PEP,,,"Peponi House Preparatory",-1.243591,36.760732,,,,
0810NGH,,,"Ngecha Rd Junction",-1.245192,36.769282,,,,
0810STM,,,Storm,-1.246066,36.773764,,,,
0800SVP,,,"Spring Valley Kenya Police",-1.250146,36.784927,,,,
0800SVR,,,"Spring Valley Round-about",-1.251288,36.785899,,,,
0800TOT,,,"Total Spring Valley",-1.253993,36.792489,,,,
0800PRD,,,"Peponi Road Junction",-1.258987,36.8017,,,,
0800SRT,,,"Sarit Center",-1.260787,36.802791,,,,
0800WST,,,Westlands,-1.26176,36.803678,,,,
0800LUN,,,LunaPark,-1.263331,36.806535,,,,
0800MAY,,,Mayfair,-1.263458,36.808186,,,,
0800TTM,,,"Total Mayfair",-1.263498,36.809221,,,,
0800IMP,,,"Impala Hotel",-1.264075,36.810185,,,,
0800MPS,,,Mp-shah,-1.26482,36.811256,,,,
0800PPT,,,"Police Post Parklands",-1.265185,36.811861,,,,
0800KLH,,,K1,-1.268386,36.812178,,,,
0800PSC,,,"Parklands Sports Club",-1.269484,36.812382,,,,
0810MSM,,,Museum,-1.272516,36.815132,,,,
0800SHK,,,"Shirika House",-1.273255,36.816427,,,,
0800NGR,,,"Ngara Flyover Bottom",-1.277281,36.821147,,,,
0810JYA,,,"Town Jamia RoundAbout BusStation",-1.281317,36.822622,,,,
