stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
0111ODE,,Odeon Terminus,D,-1.282757,36.825048,,,,
0101NGR,,Ngara Road,UD,-1.27585,36.82299,,,,
0101JHS,,Jamuhuri High School,UD,-1.27335,36.82297,,,,
0101STP,,Stima Plaza,UD,-1.27043,36.82048,,,,
0111SPS,,Stima Plaza Stage,D,-1.2696,36.8204,,,,
0101WBR,,Wambugu Road,UD,-1.26799,36.82127,,,,
0101AGA,,Aga Khan Academy,UD,-1.26628,36.82331,,,,
0111OLB,,Oilibya,UD,-1.26469,36.82432,,,,
0101AKH,,Aga Khan Hospital Junction,UD,-1.26288,36.8249,,,,
0111AKS,,Aga Khan Hospital Stage,D,-1.26237,36.82369,,,,
0101AKE,,Aga Khan Hospital Entrance,UD,-1.26178,36.82224,,,,
0101ARY,,Arya Girls' Secondary School,UD,-1.26085,36.82007,,,,
0111NKM,,Nakumatt/Post Office,D,-1.26012,36.81825,,,,
0101ALM,,Amani Plaza/Almond Court,UD,-1.25962,36.81717,,,,
0101NRE,,Nish Raaj Estate,UD,-1.25862,36.81484,,,,
0101MSQ,,Kwa Mosque/Highridge Mwisho,UD,-1.25687,36.81077,,,,
0100KSQ,,Kwa Mosque/Highridge Mwisho,UD,-1.25687,36.81076,,,,
0110KSL,,Nish Raaj Estate/Kusi Lane,UD,-1.25864,36.81485,,,,
0100CCD,,Coca Cola Depot,UD,-1.25983,36.8176,,,,
0110NKT,,Nakumatt Stage,D,-1.26018,36.81855,,,,
0100ARG,,Arya Girls' Secondary School,UD,-1.26081,36.81997,,,,
0100AAE,,Aga Khan Hospital Entrance,UD,-1.26177,36.82218,,,,
0110APS,,Aga Khan Hospital Stage,D,-1.26198,36.8227,,,,
0110APT,,Aga Khan Hospital Stage 2,D,-1.26277,36.82467,,,,
0110TPA,,3rd Parklands Avenue/ Aga Kan Hospital Junction,D,-1.26325,36.82498,,,,
0110AGK,,Aga Khan Academy,D,-1.26646,36.82324,,,,
0110ODE,,Odeon,D,-1.28303,36.82475,,,,
