shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
1011A11,-1.282764,36.825069,1001,
1011A11,-1.283306,36.82465,1002,
1011A11,-1.283306,36.82465,1003,
1011A11,-1.2819,36.822906,1004,
1011A11,-1.281648,36.822674,1005,
1011A11,-1.281648,36.822674,1006,
1011A11,-1.281392,36.822384,1007,
1011A11,-1.281093,36.822308,1008,
1011A11,-1.280954,36.822201,1009,
1011A11,-1.280369,36.821541,1010,
1011A11,-1.280192,36.821381,1011,
1011A11,-1.27993,36.821255,1012,
1011A11,-1.279516,36.821159,1013,
1011A11,-1.27801,36.821224,1014,
1011A11,-1.277696,36.821304,1015,
1011A11,-1.277454,36.821423,1016,
1011A11,-1.277327,36.821545,1017,
1011A11,-1.276722,36.822529,1018,
1011A11,-1.276513,36.822735,1019,
1011A11,-1.275368,36.823215,1020,
1011A11,-1.275368,36.823215,1021,
1011A11,-1.274368,36.823322,1022,
1011A11,-1.273988,36.823406,1023,
1011A11,-1.273988,36.823406,1024,
1011A11,-1.271641,36.821972,1025,
1011A11,-1.270562,36.820671,1026,
1011A11,-1.270312,36.820465,1027,
1011A11,-1.269804,36.820412,1028,
1011A11,-1.269016,36.820438,1029,
1011A11,-1.268654,36.820595,1030,
1011A11,-1.268265,36.820934,1031,
1011A11,-1.267112,36.822647,1032,
1011A11,-1.266643,36.823093,1033,
1011A11,-1.265142,36.824142,1034,
1011A11,-1.262944,36.825115,1035,
1011A11,-1.262944,36.825115,1036,
1011A11,-1.259866,36.818012,1037,
1011A11,-1.256822,36.810791,1038,
1011A11,-1.256818,36.81078,2001,
1011A11,-1.259866,36.818012,2002,
1011A11,-1.262944,36.825115,2003,
1011A11,-1.262944,36.825115,2004,
1011A11,-1.264876,36.82428,2005,
1011A11,-1.265589,36.823841,2006,
1011A11,-1.267004,36.82283,2007,
1011A11,-1.26716,36.822674,2008,
1011A11,-1.268104,36.821323,2009,
1011A11,-1.26856,36.820869,2010,
1011A11,-1.269002,36.820614,2011,
1011A11,-1.26959,36.820534,2012,
1011A11,-1.270123,36.820534,2013,
1011A11,-1.270423,36.820679,2014,
1011A11,-1.270576,36.820793,2015,
1011A11,-1.271496,36.82193,2016,
1011A11,-1.273403,36.823135,2017,
1011A11,-1.27359,36.82333,2018,
1011A11,-1.274231,36.824306,2019,
1011A11,-1.274273,36.824577,2020,
1011A11,-1.274273,36.824577,2021,
1011A11,-1.271894,36.827785,2022,
1011A11,-1.269016,36.832413,2023,
1011A11,-1.268624,36.832882,2024,
1011A11,-1.267015,36.834183,2025,
1011A11,-1.267015,36.834183,2026,
1011A11,-1.266994,36.834351,2027,
1011A11,-1.268938,36.832718,2028,
1011A11,-1.269442,36.832008,2029,
1011A11,-1.272132,36.827644,2030,
1011A11,-1.274102,36.824978,2031,
1011A11,-1.275466,36.82338,2032,
1011A11,-1.276723,36.822781,2033,
1011A11,-1.277186,36.822029,2034,
1011A11,-1.277186,36.822029,2035,
1011A11,-1.277304,36.821709,2036,
1011A11,-1.277492,36.82151,2037,
1011A11,-1.277822,36.821342,2038,
1011A11,-1.279468,36.821247,2039,
1011A11,-1.27993,36.821365,2040,
1011A11,-1.280391,36.82164,2041,
1011A11,-1.281037,36.822353,2042,
1011A11,-1.281037,36.822353,2043,
1011A11,-1.281019,36.822552,2044,
1011A11,-1.281116,36.82275,2045,
1011A11,-1.281378,36.822975,2046,
1011A11,-1.281587,36.822884,2047,
1011A11,-1.2818,36.822948,2048,
1011A11,-1.283236,36.824707,2049,
1011A11,-1.283236,36.824707,2050,
1011A11,-1.283081,36.824821,2051,
