stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
0810KNJ,,Khoja,D,-1.280852,36.822802,,,,
0801NGR,,Ngara,ND,-1.275566,36.822958,,,,
0801PSC,,Parklands Sports Club,ND,-1.269615,36.812425,,,,
0801MPS,,MP Shah,ND,-1.264528,36.81076,,,,
0811MAY,,Mayfair,D,-1.263575,36.807414,,,,
0800KOC,,K1,UD,-1.26824,36.81216,,,,
0811WSA,,Westlands,D,-1.262281,36.803707,,,,
0800WST,,Westlands,ND,-1.26176,36.803678,,,,
0800LUN,,LunaPark,ND,-1.263331,36.806535,,,,
0800MAY,,Mayfair,ND,-1.263458,36.808186,,,,
0800TTM,,Total Mayfair,ND,-1.263498,36.809221,,,,
0800IMP,,Impala Hotel,ND,-1.264075,36.810185,,,,
0800MPS,,MP Shah,ND,-1.26482,36.811256,,,,
0800PPT,,Police Post Parklands,ND,-1.265185,36.811861,,,,
0800KLH,,K1,ND,-1.268386,36.812178,,,,
0800PSC,,Parklands Sports Club,ND,-1.269484,36.812382,,,,
0810MSM,,Museum,D,-1.272516,36.815132,,,,
0800SHK,,Shirika House,ND,-1.273255,36.816427,,,,
0800NGR,,Ngara Flyover Bottom,ND,-1.277281,36.821147,,,,
0810KNJ,,Khoja,D,-1.280852,36.822802,,,,
