shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
8011B11,-1.281372,36.822372,1001,
8011B11,-1.281093,36.822308,1002,
8011B11,-1.281093,36.822308,1003,
8011B11,-1.280331,36.821404,1004,
8011B11,-1.280098,36.821224,1005,
8011B11,-1.280098,36.821224,1006,
8011B11,-1.279546,36.821064,1007,
8011B11,-1.279096,36.820644,1008,
8011B11,-1.27889,36.820541,1009,
8011B11,-1.278579,36.820492,1010,
8011B11,-1.278187,36.82056,1011,
8011B11,-1.277924,36.820732,1012,
8011B11,-1.277715,36.821117,1013,
8011B11,-1.277469,36.821304,1014,
8011B11,-1.277218,36.821594,1015,
8011B11,-1.276709,36.822426,1016,
8011B11,-1.27646,36.822697,1017,
8011B11,-1.276205,36.82283,1018,
8011B11,-1.275728,36.822987,1019,
8011B11,-1.275594,36.822987,1020,
8011B11,-1.275491,36.822868,1021,
8011B11,-1.275491,36.822868,1022,
8011B11,-1.275076,36.821407,1023,
8011B11,-1.274622,36.820442,1024,
8011B11,-1.274354,36.819702,1025,
8011B11,-1.273285,36.818089,1026,
8011B11,-1.273102,36.817715,1027,
8011B11,-1.27292,36.817089,1028,
8011B11,-1.27292,36.817089,1029,
8011B11,-1.272146,36.81765,1030,
8011B11,-1.272146,36.81765,1031,
8011B11,-1.271305,36.816582,1032,
8011B11,-1.271305,36.816582,1033,
8011B11,-1.269994,36.817795,1034,
8011B11,-1.269994,36.817795,1035,
8011B11,-1.26939,36.817066,1036,
8011B11,-1.26939,36.817066,1037,
8011B11,-1.269424,36.81673,1038,
8011B11,-1.269645,36.816296,1039,
8011B11,-1.270613,36.815182,1040,
8011B11,-1.271356,36.814842,1041,
8011B11,-1.272358,36.814625,1042,
8011B11,-1.272358,36.814625,1043,
8011B11,-1.272266,36.814411,1044,
8011B11,-1.272266,36.814411,1045,
8011B11,-1.272016,36.814354,1046,
8011B11,-1.271633,36.814159,1047,
8011B11,-1.269481,36.812408,1048,
8011B11,-1.269312,36.812317,1049,
8011B11,-1.267409,36.812099,1050,
8011B11,-1.265108,36.811764,1051,
8011B11,-1.265108,36.811764,1052,
8011B11,-1.264951,36.811577,1053,
8011B11,-1.263463,36.809109,1054,
8011B11,-1.263385,36.808846,1055,
8011B11,-1.26359,36.807476,1056,
8011B11,-1.263507,36.806973,1057,
8011B11,-1.262205,36.803566,1058,
8011B11,-1.262205,36.803566,2001,
8011B11,-1.262117,36.803413,2002,
8011B11,-1.262117,36.803413,2003,
8011B11,-1.262241,36.803268,2004,
8011B11,-1.26217,36.803192,2005,
8011B11,-1.26149,36.803307,2006,
8011B11,-1.261414,36.803413,2007,
8011B11,-1.261516,36.803547,2008,
8011B11,-1.261673,36.803543,2009,
8011B11,-1.262506,36.80444,2010,
8011B11,-1.262606,36.80463,2011,
8011B11,-1.263319,36.806454,2012,
8011B11,-1.263557,36.807198,2013,
8011B11,-1.26359,36.807476,2014,
8011B11,-1.263385,36.808846,2015,
8011B11,-1.263463,36.809109,2016,
8011B11,-1.264951,36.811577,2017,
8011B11,-1.264951,36.811577,2018,
8011B11,-1.264842,36.811615,2019,
8011B11,-1.264804,36.811798,2020,
8011B11,-1.264846,36.811905,2021,
8011B11,-1.264968,36.811985,2022,
8011B11,-1.265071,36.811932,2023,
8011B11,-1.265108,36.811764,2024,
8011B11,-1.269405,36.812355,2025,
8011B11,-1.271633,36.814159,2026,
8011B11,-1.271863,36.814423,2027,
8011B11,-1.271931,36.81472,2028,
8011B11,-1.271931,36.81472,2029,
8011B11,-1.272204,36.814808,2030,
8011B11,-1.272413,36.814991,2031,
8011B11,-1.272622,36.815262,2032,
8011B11,-1.272877,36.815868,2033,
8011B11,-1.273076,36.816189,2034,
8011B11,-1.27347,36.816654,2035,
8011B11,-1.276503,36.819828,2036,
8011B11,-1.276871,36.820297,2037,
8011B11,-1.277376,36.821178,2038,
8011B11,-1.277825,36.8218,2039,
8011B11,-1.277825,36.8218,2040,
8011B11,-1.278028,36.821857,2041,
8011B11,-1.278028,36.821857,2042,
8011B11,-1.27833,36.822002,2043,
8011B11,-1.278686,36.822044,2044,
8011B11,-1.279166,36.821861,2045,
8011B11,-1.279502,36.821541,2046,
8011B11,-1.279783,36.821423,2047,
8011B11,-1.28003,36.821487,2048,
8011B11,-1.280256,36.821629,2049,
8011B11,-1.280906,36.822269,2050,
8011B11,-1.28101,36.822449,2051,
8011B11,-1.28101,36.822449,2052,
8011B11,-1.281116,36.82275,2053,
8011B11,-1.280939,36.822895,2054,
