shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
3011C11,-1.282459,36.825275,1001,
3011C11,-1.281553,36.825909,1002,
3011C11,-1.281553,36.825909,1003,
3011C11,-1.281393,36.825615,1004,
3011C11,-1.281378,36.822975,1005,
3011C11,-1.281378,36.822975,1006,
3011C11,-1.281539,36.822926,1007,
3011C11,-1.281658,36.822796,1008,
3011C11,-1.281648,36.822674,1009,
3011C11,-1.281553,36.822525,1010,
3011C11,-1.281392,36.822384,1011,
3011C11,-1.281093,36.822308,1012,
3011C11,-1.280954,36.822201,1013,
3011C11,-1.280192,36.821381,1014,
3011C11,-1.279736,36.82119,1015,
3011C11,-1.279077,36.821167,1016,
3011C11,-1.27801,36.821224,1017,
3011C11,-1.277516,36.821388,1018,
3011C11,-1.277327,36.821545,1019,
3011C11,-1.276722,36.822529,1020,
3011C11,-1.276513,36.822735,1021,
3011C11,-1.275368,36.823215,1022,
3011C11,-1.275368,36.823215,1023,
3011C11,-1.274631,36.824097,1024,
3011C11,-1.271894,36.827785,1025,
3011C11,-1.269016,36.832413,1026,
3011C11,-1.268624,36.832882,1027,
3011C11,-1.267015,36.834183,1028,
3011C11,-1.267015,36.834183,1029,
3011C11,-1.266994,36.834351,1030,
3011C11,-1.266994,36.834351,1031,
3011C11,-1.267053,36.834377,1032,
3011C11,-1.267211,36.834282,1033,
3011C11,-1.267211,36.834282,1034,
3011C11,-1.268785,36.833,1035,
3011C11,-1.269154,36.832592,1036,
3011C11,-1.269154,36.832592,1037,
3011C11,-1.269407,36.832722,1038,
3011C11,-1.269482,36.832848,1039,
3011C11,-1.27034,36.835999,1040,
3011C11,-1.270246,36.836643,1041,
3011C11,-1.270086,36.837494,1042,
3011C11,-1.270053,36.837639,1043,
3011C11,-1.268959,36.841930,1044,
3011C11,-1.267367,36.843693,1045,
3011C11,-1.267367,36.843693,1046,
3011C11,-1.267264,36.843590,1047,
3011C11,-1.267103,36.843273,1048,
3011C11,-1.265061,36.838593,1049,
3011C11,-1.265061,36.838593,2001,
3011C11,-1.26663,36.836571,2002,
3011C11,-1.267367,36.836288,2003,
3011C11,-1.267639,36.836113,2004,
3011C11,-1.268082,36.835491,2005,
3011C11,-1.268082,36.835491,2006,
3011C11,-1.268386,36.835701,2007,
3011C11,-1.268524,36.835728,2008,
3011C11,-1.269943,36.8368,2009,
3011C11,-1.270184,36.836914,2010,
3011C11,-1.270184,36.836914,2011,
3011C11,-1.27033,36.836273,2012,
3011C11,-1.27034,36.835999,2013,
3011C11,-1.269482,36.832848,2014,
3011C11,-1.269482,36.832848,2015,
3011C11,-1.26967,36.832802,2016,
3011C11,-1.26967,36.832802,2017,
3011C11,-1.269398,36.83263,2018,
3011C11,-1.269268,36.832428,2019,
3011C11,-1.269268,36.832428,2020,
3011C11,-1.269997,36.831249,2021,
3011C11,-1.269997,36.831249,2022,
3011C11,-1.27224,36.827644,2023,
3011C11,-1.27224,36.827644,2024,
3011C11,-1.274102,36.825138,2025,
3011C11,-1.274401,36.824615,2026,
3011C11,-1.275311,36.823521,2027,
3011C11,-1.275676,36.823257,2028,
3011C11,-1.276723,36.822781,2029,
3011C11,-1.277186,36.822029,2030,
3011C11,-1.277186,36.822029,2031,
3011C11,-1.277304,36.821709,2032,
3011C11,-1.277492,36.82151,2033,
3011C11,-1.277822,36.821342,2034,
3011C11,-1.279468,36.821247,2035,
3011C11,-1.27993,36.821365,2036,
3011C11,-1.280391,36.82164,2037,
3011C11,-1.281037,36.822353,2038,
3011C11,-1.281037,36.822353,2039,
3011C11,-1.281019,36.822552,2040,
3011C11,-1.281116,36.82275,2041,
3011C11,-1.281378,36.822975,2042,
3011C11,-1.281587,36.822884,2043,
3011C11,-1.2818,36.822948,2044,
3011C11,-1.283236,36.824707,2045,
3011C11,-1.283236,36.824707,2046,
3011C11,-1.282459,36.825275,2047,
