stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
0111ODE,,Odeon Terminus,D,-1.282757,36.825048,,,,
0101NGR,,Ngara Road,UD,-1.27585,36.82299,,,,
0101JHS,,Jamuhuri High School,UD,-1.27335,36.82297,,,,
0101STP,,Stima Plaza,UD,-1.27043,36.82048,,,,
0111SPS,,Stima Plaza Stage,D,-1.2696,36.8204,,,,
0101WBR,,Wambugu Road,UD,-1.26799,36.82127,,,,
0101AGA,,Aga Khan Academy,UD,-1.26628,36.82331,,,,
0111OLB,,Oilibya,UD,-1.26469,36.82432,,,,
0101CPK,,City Park,UD,-1.26057,36.82615,,,,
0111RHK,,6th Parklands Avenue/Regal House/Kobil,D,-1.25777,36.82691,,,,
0111BEK,,Belgian Embassy/Karura,D,-1.24701,36.8156,,,,
0111TUN,,UN,D,-1.23867,36.81054,,,,
0111RHR,,Redhill Road,D,-1.23418,36.80341,,,,
0111VMA,,Village Market,D,-1.22876,36.80443,,,,
0111KRU,,Karura/Runda,D,-1.22082,36.80136,,,,
0101REE,,Runda Estate Entrance,UD,-1.2186,36.80168,,,,
0101ROR,,Rosslyn Road,UD,-1.21721,36.80043,,,,
0101ROK,,Rosslyn Road/Karura Community Chapel,UD,-1.21649,36.79928,,,,
0101SHR,,Shakers/Rosslyn Gate,UD,-1.21115,36.79024,,,,
0101DPB,,Delta Petrol Station/ Brook Apartmens,UD,-1.20918,36.7882,,,,
0111RST,,Ruaka Stage,D,-1.20717,36.78571,,,,
0100CBR,,Cooperative Bank Ruaka,UD,-1.20678,36.78464,,,,
0100RBJ,,Ruaka/Banana Junction,UD,-1.20722,36.78602,,,,
0100DPA,,Delta Petrol Station Ruaka,UD,-1.20934,36.78847,,,,
0100MRC,,Movers/Rosslyn Centre,UD,-1.21102,36.79019,,,,
0100RRP,,Rosslyn Road/Karura Community Chapel,UD,-1.21641,36.79927,,,,
0100RES,,Runda Estate Entrance,UD,-1.21873,36.80177,,,,
0100RKH,,Runda/Karura Carwash,UD,-1.22091,36.80144,,,,
0110VMT,,Village Market,D,-1.23006,36.80399,,,,
0100RRJ,,Redhill Road Junction,UD,-1.23398,36.80339,,,,
0110UNA,,UN,D,-1.23781,36.80961,,,,
0110MTS,,Muthaiga Shopping Centre,D,-1.25044,36.82058,,,,
0100TCP,,Total/City Park,UD,-1.25943,36.82673,,,,
0110TPA,,3rd Parklands Avenue/ Aga Kan Hospital Junction,D,-1.26325,36.82498,,,,
0110AGK,,Aga Khan Academy,D,-1.26646,36.82324,,,,
0110ODE,,Odeon,D,-1.28303,36.82475,,,,
