stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
0511BST,,,"Bus Station",-1.287281,36.828863,,,,
0501KOB,,,"Kobil Roundabout",-1.292894,36.82079,,,,
0501KAB,,,Kaburini,-1.29955,36.824716,,,,
0511IND,,,"Industrial Area",-1.298461,36.828025,,,,
0501INR,,,"Industrial Area Round About",-1.297876,36.829255,,,,
0511MCH,,,"Dunga rd/ Machakos",-1.299774,36.830073,,,,
0511CNG,,,"Car & General",-1.303313,36.831886,,,,
0501BAN,,,Bandari,-1.304526,36.832493,,,,
0501DAR,,,Dar-es-Salaam,-1.305716,36.833025,,,,
0511MAT,,,"Mater Hospital",-1.307218,36.833505,,,,
0511MAK,,,Makueni,-1.308527,36.833775,,,,
0511MER,,,Meridian,-1.310739,36.834026,,,,
0501MKN,,,Mariakani,-1.310703,36.835427,,,,
0501SGC,,,"South Gate Centre",-1.310699,36.836801,,,,
0501KPT,,,"Kapiti Junction",-1.310729,36.837755,,,,
0501MCU,,,"Mchumbi Rd.",-1.311592,36.838334,,,,
0511MCU,,,"Mchumbi Rd.",-1.311857,36.838319,,,,
0511KRU,,,Karuku,-1.313484,36.838284,,,,
0511PLV,,,"Plains View Primary",-1.315158,36.838304,,,,
0501GTH,,,"Githeri Rise",-1.316523,36.838543,,,,
0501SRI,,,Sori,-1.317606,36.83873,,,,
0501MSA,,,"Mombasa Rd",-1.318342,36.83873,,,,
0501SNA,,,"Sana Sana",-1.318786,36.84101,,,,
0501BAL,,,Balozi,-1.318073,36.846677,,,,
0501OLS,,,"Our Lady Secondary",-1.317707,36.847369,,,,
0501HAZ,,,"Hazina Estate",-1.31603,36.848409,,,,
0501HZM,,,"South B Mwisho",-1.315186,36.848477,,,,
0500HZS,,,"South B stage",-1.315634,36.848468,,,,
0500HAZ,,,"Hazina Estate",-1.316141,36.848465,,,,
0500OLS,,,"Our Lady Secondary",-1.31782,36.847343,,,,
0500BAL,,,Balozi,-1.318126,36.846641,,,,
0500PLV,,,"Plains View Phase 5",-1.318531,36.845042,,,,
0500PVE,,,"Plains View Education Point",-1.319592,36.841317,,,,
0500SNA,,,"Sana Sana",-1.31882,36.840906,,,,
0510MSA,,,"Mombasa Rd",-1.318227,36.838593,,,,
0510KPT,,,"Kapiti Crescent",-1.313471,36.83826,,,,
0510MCU,,,"Mchumbi Rd.",-1.311661,36.838182,,,,
0510SMC,,,"South B Mchumbi Rd.",-1.311709,36.836589,,,,
0500VUM,,,"Vumira House",-1.311478,36.8353,,,,
0500KAN,,,"Kanisa Mabati",-1.310757,36.835206,,,,
0500MAR,,,"Marmanet House",-1.310343,36.833681,,,,
0510ARK,,,"Ark Junction",-1.309252,36.833673,,,,
0500KOB,,,Kobil,-1.307247,36.833344,,,,
0510VCT,,,"Mary immaculate VCT centre",-1.306512,36.833055,,,,
0510CNG,,,"Car & General",-1.303541,36.831838,,,,
0500MCH,,,"Machakos Rd",-1.300146,36.830092,,,,
0510NWT,,,"Nairobi Water",-1.298922,36.829458,,,,
0500MAT,,,"Mater Hospital",-1.299133,36.826856,,,,
0510KAB,,,Kaburini,-1.298798,36.823808,,,,
0510AGP,,,Agip,-1.291151,36.823288,,,,
0510BST,,,"Bus Station",-1.286492,36.829665,,,,
