stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
0211GRD,,Githunguri Terminal,D,-1.285092,36.831509,,,,
0201KRK,,Kariokor,ND,-1.279431,36.833293,,,,
0201PNG,,Pangani,ND,-1.266785,36.834315,,,,
0211MBS,,Muthaiga,D,-1.25919,36.84238,,,,
0201KFS,,Kenya Forestry Service Station/KFS Karura Gate,UD,-1.25025,36.84633,,,,
0211CID,,CID,D,-1.2503,36.84658,,,,
0211SHP,,Shark's Palace,D,-1.2406,36.84422,,,,
0201ROC,,Rock City,UD,-1.2382,36.84398,,,,
0201WJY,,Wanderjoy,UD,-1.23113,36.84225,,,,
0201RDS,,Ridgeway Springs,UD,-1.22924,36.84025,,,,
0201NTR,,Nakumatt Ridgeways,UD,-1.22525,36.83883,,,,
0201RND,,Runda Junction,UD,-1.22181,36.8361,,,,
0201GTO,,Githogoro,UD,-1.2186,36.83579,,,,
0201KWH,,Kwaheri Flyover,UD,-1.21506,36.83495,,,,
0201EVR,,Evergreen,UD,-1.2106,36.83313,,,,
0201KSR,,Kasarini,UD,-1.20585,36.83201,,,,
0201KSS,,Kasarini Stage,UD,-1.20461,36.83264,,,,
0211TND,,Thindigwa,D,-1.2003,36.83501,,,,
0201MSH,,Mushroom,UD,-1.19582,36.83822,,,,
0201BRA,,Barua,UD,-1.19333,36.83991,,,,
0211KST,,KIST,D,-1.18468,36.83867,,,,
0201KS2,,KIST,UD,-1.18345,36.83848,,,,
0201KJN,,Kirigiti Junction,UD,-1.17902,36.83742,,,,
0211KDO,,Kwa DO,D,-1.17441,36.83343,,,,
0211KPO,,Kiambuu Posta,D,-1.1669,36.825087,,,,
0211DBR,,Ndumberi,D,-1.15155,36.805526,,,,
0201DBR,,Ndumberi factory,ND,-1.140974,36.805712,,,,
0211TGA,,Ting'ang'a,D,-1.128688,36.811402,,,,
0201POS,,Police post,ND,-1.121249,36.819359,,,,
0201AIP,,AIPCEA,ND,-1.11975,36.819057,,,,
0201IKN,,ikinu,ND,-1.099779,36.795763,,,,
0201GTJ,,Gathanji,ND,-1.089753,36.782261,,,,
0201JAM,,Jamaica,ND,-1.074147,36.781376,,,,
0201KGM,,Kiangima,ND,-1.075928,36.786734,,,,
0201MNO,,Makutano,ND,-1.064754,36.783189,,,,
0201BHC,,Beta Health Care,ND,-1.059903,36.782865,,,,
0211GGD,,Githunguri Terminal,D,-1.056368,36.77893,,,,
0210GGD,,Githunguri Terminal,D,-1.056368,36.77893,,,,
0200MNO,,Makutano,ND,-1.064306,36.783481,,,,
0200JAM,,Jamaica,ND,-1.089601,36.782309,,,,
0200JIN,,Njino,ND,-1.100941,36.797296,,,,
0200GPS,,Ngemwa Police post,ND,-1.121695,36.818793,,,,
0210TGA,,Ting'ang'a,D,-1.128432,36.811953,,,,
0200DBR,,Nduberi factory,ND,-1.140917,36.805701,,,,
0210DBR,,Ndumberi,D,-1.15149,36.805479,,,,
0210KPO,,Kiambuu Posta,D,-1.166765,36.825138,,,,
0210KAD,,Kwa Ahindi,D,-1.174055,36.828014,,,,
0210KDO,,Kwa DO/Kiambu-Limuru Road Junction/Red Nova,D,-1.17498,36.83448,,,,
0200KJN,,Kirigiti,UD,-1.17895,36.83748,,,,
0200KS2,,KIST,UD,-1.1835,36.83854,,,,
0200STR,,5 Star estate,UD,-1.18981,36.83959,,,,
0200MSH,,Mushroom,UD,-1.19579,36.83836,,,,
0200TND,,Thindigwa,UD,-1.19987,36.83525,,,,
0200DMD,,Diamond Flats,UD,-1.20399,36.83301,,,,
0200BWD,,Brentwood Hotel,UD,-1.20509,36.83242,,,,
0200BLN,,Balkan Sec School,UD,-1.21242,36.83392,,,,
0200KWH,,Kwaheri Flyover,UD,-1.21568,36.8353,,,,
0200GTO,,Githogoro,UD,-1.21866,36.83586,,,,
0200RND,,Runda Junction,UD,-1.22171,36.83606,,,,
0210NTR,,Nakumatt Ridgeways,D,-1.22544,36.839,,,,
0200RDS,,Ridgeway Springs,UD,-1.2292,36.84029,,,,
0200WJY,,Wonderjoy,UD,-1.23132,36.84252,,,,
0200ROC,,Rock City,UD,-1.23795,36.84398,,,,
0200SHP,,Shark's Palace,UD,-1.24067,36.84427,,,,
0210CID,,CID,D,-1.25032,36.84657,,,,
0200MTE,,Muthaiga Golf Club Entrance,UD,-1.25774,36.84292,,,,
0210MGC,,Muthaiga Golf Club Stage,D,-1.25818,36.84283,,,,
0210SMB,,Supermambo,D,-1.27024,36.8327,,,,
0200TSS,,TSS Petrol Station/Blue Hut Hotel,UD,-1.277,36.83091,,,,
0210GRD,,Githunguri Terminals,D,-1.285092,36.831509,,,,
