stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
0501RLW,,Railways,D,-1.290352,36.828268,,,,
0501KBL,,Kobil Haile Selassie,ND,-1.29335,36.820878,,,,
0511NYS,,Nyayo Stadium/Nairobi West Stage,D,-1.305554,36.825028,,,,
0511MAD,,Madaraka Stage,D,-1.307844,36.819385,,,,
0501TML,,Shell/T-Mall,ND,-1.311067,36.817232,,,,
0501WIL,,Wilson Airport/Shell,ND,-1.316647,36.813418,,,,
0501AMR,,Amref,ND,-1.319163,36.810873,,,,
0501DME,,Dam Estate,ND,-1.322802,36.804624,,,,
0501UCH,,Carnivore/Uchumi Hyper,ND,-1.323222,36.802134,,,,
0511LGT,,Lang'ata,D,-1.328457,36.789744,,,,
0511BRK,,Barracks,D,-1.331919,36.78354,,,,
0500LGS,,Lang'ata Road Stage/St. Mary's H,ND,-1.332642,36.78224,,,,
0511OPR,,Nairobi National Park/Orphanage,ND,-1.334299,36.779501,,,,
0501LGC,,Lan'gata Cemetery,ND,-1.334967,36.778186,,,,
0501WCK,,WCK,ND,-1.338157,36.773563,,,,
0501BMS,,Bomas/Ongatas Junction,ND,-1.343149,36.766709,,,,
0501NNP,,Nairobi National Park Gate,ND,-1.348156,36.764887,,,,
0511CUE,,CUEA,D,-1.352203,36.762892,,,,
0511TOL,,ACACIA/Total,D,-1.355979,36.762093,,,,
0501MRG,,Maro Gardens,ND,-1.358862,36.762636,,,,
0501BDS,,Banda School,ND,-1.365629,36.766651,,,,
0501MKR,,Mukoma Road,ND,-1.372141,36.76862,,,,
0511MMU,,Multimedia University,D,-1.381962,36.770612,,,,
0501HCC,,Hashi/Visions of Glory Church,ND,-1.390667,36.766832,,,,
0501NIB,,NIBS/Ongata Rongai,ND,-1.391825,36.76594,,,,
0511MSL,,Uchumi/Masai Mall/Ongata Rongai,D,-1.394366,36.764355,,,,
0501RNG,,Tumaini/Ongata Rongai,ND,-1.395227,36.763723,,,,
0511KOB,,Kobil,ND,-1.395939,36.762455,,,,
0501STM,,St.Mary's catholic Church,ND,-1.3963,36.761664,,,,
0501ONM,,Tyme Arcade/Ongata Mall,ND,-1.397174,36.759599,,,,
0501RNP,,Ongata Police Station/Nyotu,ND,-1.397304,36.756748,,,,
0501KNL,,Kenol,ND,-1.3972,36.755415,,,,
0511TUS,,Legend/Tuskys,D,-1.397014,36.753156,,,,
0511KWR,,Kware,D,-1.396812,36.75024,,,,
0510KWR,,Kware,D,-1.396708,36.74965,,,,
0510TKY,,Tuskys,D,-1.396979,36.753322,,,,
0500NYT,,Nyotu,ND,-1.397259,36.756804,,,,
0510NST,,Naston,D,-1.397324,36.758091,,,,
0500BAR,,Barclays,ND,-1.397279,36.759171,,,,
0500MGT,,Mbagathi,ND,-1.396507,36.761035,,,,
0510KOB,,Kobil,D,-1.395972,36.762187,,,,
0500RNG,,Rongai,ND,-1.395231,36.763465,,,,
0510MSL,,Masai Lodge ,D,-1.390278,36.766859,,,,
0500MMU,,MMU/Posta,ND,-1.382143,36.770575,,,,
0510BKM,,Mukoma rd,D,-1.371589,36.768246,,,,
0510SBR,,Sembe rd,D,-1.36835,36.767615,,,,
0500BDS,,Banda school,ND,-1.365823,36.766645,,,,
0500CAM,,Cambridge,ND,-1.363635,36.765271,,,,
0500SWR,,Swara,ND,-1.35927,36.762587,,,,
0510PKP,,Park place,D,-1.356103,36.76206,,,,
0500CUE,,CUEA/Bogani,ND,-1.352263,36.76287,,,,
0500CON,,Consolata,ND,-1.346721,36.765356,,,,
0500BMS,,Bomas,ND,-1.343352,36.766513,,,,
0500HST,,Hostel,ND,-1.338413,36.773181,,,,
0500ORP,,Orphanage,ND,-1.33317,36.781317,,,,
0510BRK,,Barracks,D,-1.331629,36.783604,,,,
0510LGT,,Langata/Mobil,D,-1.328715,36.788743,,,,
0510HQS,,HQ/Headquaters,D,-1.324143,36.797008,,,,
0510KAS,,Kanisani,D,-1.323677,36.798897,,,,
0510CAN,,Canivore/Rafikiz,D,-1.323061,36.802046,,,,
0510AMR,,Amref,D,-1.319403,36.81053,,,,
0510LGP,,Langata rd Primary,D,-1.317562,36.812316,,,,
0510WIL,,Wilson,D,-1.315626,36.814272,,,,
0510TML,,Tmall,D,-1.311276,36.816904,,,,
0510MFL,,Madaraka Flyover ,D,-1.307801,36.819229,,,,
0510NYS,,Nyayo stadium,D,-1.305411,36.824418,,,,
0510AGP,,Agip,D,-1.291131,36.823334,,,,
0500RLW,,Railways,D,-1.290613,36.828443,,,,
