stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
0711NGG,,Ngong town,D,-1.360832,36.655943,,,,
0701PTR,,Petro/Mwisho,ND,-1.36294,36.656181,,,,
0701N44,,44,ND,-1.372973,36.671897,,,,
0701KON,,Kona,ND,-1.37657,36.67648,,,,
0701NGR,,Ngong Resort,ND,-1.380401,36.676708,,,,
0701TSK,,Tuskys,ND,-1.382853,36.676901,,,,
0701MTS,,Matasia ,ND,-1.391168,36.682261,,,,
0711MTS,,Matasia ,D,-1.397253,36.686142,,,,
0701RMN,,Ole Roimen,ND,-1.405869,36.688167,,,,
0701KNK,,Kwa Nicholas,ND,-1.411734,36.687934,,,,
0701KIS,,Kiserain,D,-1.428211,36.686707,,,,
0710KIS,,Kiserian,D,-1.428202,36.686547,,,,
0700OST,,Oloosuruutia,ND,-1.41134,36.687828,,,,
0700RMN,,Roimen,ND,-1.405917,36.68811,,,,
0700MTS,,Matasia,ND,-1.391542,36.682485,,,,
0710MTS,,Matasia ,D,-1.390979,36.681973,,,,
0700TSK,,Tuskys,ND,-1.383012,36.67689,,,,
0700KON,,kona ,ND,-1.376506,36.676179,,,,
0700N44,,44,ND,-1.373202,36.671995,,,,
0700NPC,,NPC Ngong,ND,-1.368541,36.658177,,,,
0700PTR,,Ngong/petroh,ND,-1.363019,36.656141,,,,
0710NGG,,Matatu Terminus,D,-1.360518,36.656115,,,,
