stop_id	stop_code	stop_name	stop_desc	stop_lat	stop_lon	zone_id	stop_url	location_type	parent_station
0810KYU		Kikuyu terminusD		-1.24558	36.66505				
0800PCR		Pine Crib Apartments	UD	-1.24022	36.66573				
0800KRY		Kikuyu Country Resort		UD-1.23801	36.66636				
0701KIJ		Kwa Ngwacii Junction	UD	-1.235343	36.668001				
0701GTR		Gitaru Junction	UD	-1.232439	36.669958				
0701KNR		Kwa Njeru/Gitaru/Pank View	UD	-1.230569	36.674916				
0711NJG		Kwa Njeru Stage	D	-1.230536	36.675502				
0711MGU		Magu	D	-1.230145	36.680691				
0701RNR		Matta	UD	-1.230007	36.682717				
0711MUT		Muthure	D	-1.229684	36.687599				
0701ACI		ACK St. Phillips	UD	-1.229171	36.691852				
0711KNY		Kanyariri	D	-1.227579	36.698624				
0701ACC		Acacia Junction/King'eero	UD	-1.224886	36.705526				
0711PFE		PEFA King'eero	D	-1.224241	36.706924				
0701TTW		TOTAL Wangige	UD	-1.22071	36.712074				
0711WNG		Wangige Stage	D	-1.219195	36.71239				
0710WNG		Wangige Stage	D	-1.219195	36.71239				
0700KAK		Kenya Assemblies of God King'eero	UD	-1.222091	36.710964				
0700ACI		Acacia Petrol Station Junction/King'eero	UD	-1.225118	36.705298				
0710KNA		King'eero Stage	D	-1.22554	36.704265				
0700GBK		Green Belt/Kanyariri	UD	-1.2278	36.698182				
0710MTE		Muthure	D	-1.229762	36.687326				
0700MAA		Matta	UD	-1.229908	36.685421				
0710MAU		Magu	D	-1.230283	36.680541				
0700GRU		Gitaru	UD	-1.231977	36.670458				
0801NGA		Kwa Ngwacii	UD	-1.23538	36.66808				
0801KKR		Kikuyu Country Resort	UD	-1.23798	36.66641				
0801STZ		Starehe Maize	UD	-1.241	36.66568				
0801KOL		Kobil	UD	-1.24471	36.66527				
0811KKS		Kikuyu Terminus	D	-1.24558	36.66505				
