stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
0510BST,,Bus station,D,-1.28724,36.829359,,,,
0501NYY,,Nyayo,UD,-1.305844,36.827054,,,,
0511IFC,,Ifice,D,-1.309533,36.828803,,,,
0511CPC,,Capital Centre,D,-1.316765,36.833987,,,,
0511BLV,,Belleview,D,-1.319354,36.838339,,,,
0501MRT,,Mombasa Road Turnoff,UD,-1.321916,36.842236,,,,
0501OIN,,Oilibya/NEMA,UD,-1.319809,36.837822,,,,
0501NEK,,NEMA/Mavuno,UD,-1.320611,36.837315,,,,
0501RCK,,Redcross/KIPI,UD,-1.322266,36.833311,,,,
0501KRD,,KIRDI/Southend Estate,UD,-1.322499,36.831532,,,,
0501AKL,,Akila/Akila Police Post,UD,-1.322649,36.830285,,,,
0501CNA,,Container/New Apostolic Church,UD,-1.322103,36.82881,,,,
0500MGY,,Mugoya,UD,-1.321518,36.828972,,,,
0500KME,,KMA Estate,UD,-1.320531,36.829166,,,,
0500MGA,,Mugoya Phase 1,UD,-1.319535,36.829339,,,,
0500MOW,,MOW,UD,-1.318489,36.829564,,,,
0500CIT,,CID Training School,UD,-1.317071,36.829826,,,,
0500RRN,,Rumi Road/Ngara Sports Club,UD,-1.316231,36.827854,,,,
0500SAT,,Shee Ambaji Temple,UD,-1.315905,36.826178,,,,
0500WAT,,South C Turnoff/Water,UD,-1.315526,36.824171,,,,
0500MAS,,Madina shops,UD,-1.31467,36.823189,,,,
0500SFA,,Southern First Assemblies of God,UD,-1.31353,36.823518,,,,
0500MSQ,,Mosque,UD,-1.312593,36.823773,,,,
0500PCH,,Milele Nairobi PCEA Headquarters,UD,-1.312743,36.824658,,,,
0500MGH,,Mama Ngina Children's Home,UD,-1.312983,36.825767,,,,
0500KSG,,Kenol/South C Gardens,UD,-1.313202,36.826786,,,,
0500SCS,,South C Shopping Centre,UD,-1.313348,36.827699,,,,
0500KPS,,Kongoni Primary School,UD,-1.312282,36.828122,,,,
0510MBR,,Makaburini,D,-1.299251,36.823938,,,,
0510BSN,,Bus Station,D,-1.287635,36.829215,,,,
