shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
5012C11,-1.28719,36.828884,1001,
5012C11,-1.286982,36.829281,1002,
5012C11,-1.286806,36.829468,1003,
5012C11,-1.28572,36.829819,1004,
5012C11,-1.285268,36.830696,1005,
5012C11,-1.285327,36.830875,1006,
5012C11,-1.285327,36.830875,1007,
5012C11,-1.287623,36.830215,1008,
5012C11,-1.287623,36.830215,1009,
5012C11,-1.28763,36.830303,1010,
5012C11,-1.287693,36.830357,1011,
5012C11,-1.287796,36.830353,1012,
5012C11,-1.287861,36.830292,1013,
5012C11,-1.28916,36.827785,1014,
5012C11,-1.289316,36.82777,1015,
5012C11,-1.289415,36.827679,1016,
5012C11,-1.289451,36.827541,1017,
5012C11,-1.289384,36.827415,1018,
5012C11,-1.292658,36.821053,1019,
5012C11,-1.292658,36.821053,1020,
5012C11,-1.2929,36.820774,1021,
5012C11,-1.293391,36.820885,1022,
5012C11,-1.298268,36.823799,1023,
5012C11,-1.298751,36.823997,1024,
5012C11,-1.299475,36.824184,1025,
5012C11,-1.299824,36.824444,1026,
5012C11,-1.300055,36.824409,1027,
5012C11,-1.300322,36.824448,1028,
5012C11,-1.30445,36.826389,1029,
5012C11,-1.304667,36.826561,1030,
5012C11,-1.304667,36.826561,1031,
5012C11,-1.304696,36.826679,1032,
5012C11,-1.3048,36.826763,1033,
5012C11,-1.305153,36.82674,1034,
5012C11,-1.305253,36.826778,1035,
5012C11,-1.313525,36.830681,1036,
5012C11,-1.314626,36.831375,1037,
5012C11,-1.315205,36.831856,1038,
5012C11,-1.315742,36.83247,1039,
5012C11,-1.317064,36.834412,1040,
5012C11,-1.319836,36.838982,1041,
5012C11,-1.321719,36.84222,1042,
5012C11,-1.321719,36.84222,1043,
5012C11,-1.321842,36.842262,1044,
5012C11,-1.321934,36.842232,1045,
5012C11,-1.321973,36.842155,1046,
5012C11,-1.321945,36.841965,1047,
5012C11,-1.321945,36.841965,1048,
5012C11,-1.319492,36.837944,1049,
5012C11,-1.319492,36.837944,1050,
5012C11,-1.320732,36.8372,1051,
5012C11,-1.321047,36.836918,1052,
5012C11,-1.321339,36.836617,1053,
5012C11,-1.321611,36.836205,1054,
5012C11,-1.321797,36.835754,1055,
5012C11,-1.322162,36.833618,1056,
5012C11,-1.322607,36.830444,1057,
5012C11,-1.322528,36.829742,1058,
5012C11,-1.322348,36.828857,1059,
5012C11,-1.322348,36.828857,1060,
5012C11,-1.322116,36.828861,1061,
5012C11,-1.321517,36.829002,1062,
5012C11,-1.321517,36.829002,1063,
5012C11,-1.321511,36.828972,1064,
5012C11,-1.321511,36.828972,2001,
5012C11,-1.321517,36.829002,2002,
5012C11,-1.321517,36.829002,2003,
5012C11,-1.316597,36.82996,2004,
5012C11,-1.316597,36.82996,2005,
5012C11,-1.315629,36.824867,2006,
5012C11,-1.315498,36.824261,2007,
5012C11,-1.315183,36.823311,2008,
5012C11,-1.314975,36.823185,2009,
5012C11,-1.314474,36.823242,2010,
5012C11,-1.312574,36.823833,2011,
5012C11,-1.312574,36.823833,2012,
5012C11,-1.312976,36.825546,2013,
5012C11,-1.313414,36.82782,2014,
5012C11,-1.313414,36.82782,2015,
5012C11,-1.312403,36.828049,2016,
5012C11,-1.312152,36.828285,2017,
5012C11,-1.311981,36.828571,2018,
5012C11,-1.311981,36.828571,2019,
5012C11,-1.311611,36.828983,2020,
5012C11,-1.311364,36.829105,2021,
5012C11,-1.311101,36.829121,2022,
5012C11,-1.310428,36.828976,2023,
5012C11,-1.309307,36.828411,2024,
5012C11,-1.305414,36.826649,2025,
5012C11,-1.30527,36.826569,2026,
5012C11,-1.305072,36.826248,2027,
5012C11,-1.304921,36.826218,2028,
5012C11,-1.30477,36.826267,2029,
5012C11,-1.302622,36.825325,2030,
5012C11,-1.300546,36.824326,2031,
5012C11,-1.300184,36.824131,2032,
5012C11,-1.300123,36.824001,2033,
5012C11,-1.300013,36.823921,2034,
5012C11,-1.299841,36.82391,2035,
5012C11,-1.299698,36.823997,2036,
5012C11,-1.299514,36.824013,2037,
5012C11,-1.299011,36.823898,2038,
5012C11,-1.298395,36.823658,2039,
5012C11,-1.292938,36.820431,2040,
5012C11,-1.292938,36.820431,2041,
5012C11,-1.292904,36.820305,2042,
5012C11,-1.292785,36.82021,2043,
5012C11,-1.292633,36.820217,2044,
5012C11,-1.292515,36.820328,2045,
5012C11,-1.2925,36.82048,2046,
5012C11,-1.29261,36.820618,2047,
5012C11,-1.292572,36.820938,2048,
5012C11,-1.289558,36.8269,2049,
5012C11,-1.289283,36.827343,2050,
5012C11,-1.289117,36.827339,2051,
5012C11,-1.28899,36.827442,2052,
5012C11,-1.288953,36.827564,2053,
5012C11,-1.288996,36.827679,2054,
5012C11,-1.288774,36.82806,2055,
5012C11,-1.288774,36.82806,2056,
5012C11,-1.287907,36.827644,2057,
5012C11,-1.287907,36.827644,2058,
5012C11,-1.287824,36.827579,2059,
5012C11,-1.287728,36.827629,2060,
5012C11,-1.28772,36.827705,2061,
5012C11,-1.287778,36.827766,2062,
5012C11,-1.287486,36.8284,2063,
5012C11,-1.28719,36.828884,2064,
