shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
5012D11,-1.287061,36.829144,1001,
5012D11,-1.286806,36.829468,1002,
5012D11,-1.28572,36.829819,1003,
5012D11,-1.285268,36.830696,1004,
5012D11,-1.285327,36.830875,1005,
5012D11,-1.285327,36.830875,1006,
5012D11,-1.287623,36.830215,1007,
5012D11,-1.287623,36.830215,1008,
5012D11,-1.28763,36.830303,1009,
5012D11,-1.287693,36.830357,1010,
5012D11,-1.287796,36.830353,1011,
5012D11,-1.287861,36.830292,1012,
5012D11,-1.28916,36.827785,1013,
5012D11,-1.289316,36.82777,1014,
5012D11,-1.289415,36.827679,1015,
5012D11,-1.289451,36.827541,1016,
5012D11,-1.289384,36.827415,1017,
5012D11,-1.292658,36.821053,1018,
5012D11,-1.292658,36.821053,1019,
5012D11,-1.2929,36.820774,1020,
5012D11,-1.293391,36.820885,1021,
5012D11,-1.298268,36.823799,1022,
5012D11,-1.298751,36.823997,1023,
5012D11,-1.299475,36.824184,1024,
5012D11,-1.299824,36.824444,1025,
5012D11,-1.300055,36.824409,1026,
5012D11,-1.300322,36.824448,1027,
5012D11,-1.30445,36.826389,1028,
5012D11,-1.304667,36.826561,1029,
5012D11,-1.304667,36.826561,1030,
5012D11,-1.304696,36.826679,1031,
5012D11,-1.3048,36.826763,1032,
5012D11,-1.305153,36.82674,1033,
5012D11,-1.305253,36.826778,1034,
5012D11,-1.313525,36.830681,1035,
5012D11,-1.314626,36.831375,1036,
5012D11,-1.315205,36.831856,1037,
5012D11,-1.315742,36.83247,1038,
5012D11,-1.317064,36.834412,1039,
5012D11,-1.319836,36.838982,1040,
5012D11,-1.321719,36.84222,1041,
5012D11,-1.321719,36.84222,1042,
5012D11,-1.321842,36.842262,1043,
5012D11,-1.321934,36.842232,1044,
5012D11,-1.321973,36.842155,1045,
5012D11,-1.321945,36.841965,1046,
5012D11,-1.321945,36.841965,1047,
5012D11,-1.319492,36.837944,1048,
5012D11,-1.319492,36.837944,1049,
5012D11,-1.320732,36.8372,1050,
5012D11,-1.321339,36.836617,1051,
5012D11,-1.321611,36.836205,1052,
5012D11,-1.321797,36.835754,1053,
5012D11,-1.322174,36.83353,1054,
5012D11,-1.322174,36.83353,1055,
5012D11,-1.325702,36.83403,1056,
5012D11,-1.325702,36.83403,1057,
5012D11,-1.32542,36.836178,1058,
5012D11,-1.325365,36.836411,1059,
5012D11,-1.325173,36.836807,1060,
5012D11,-1.325173,36.836807,1061,
5012D11,-1.32643,36.837414,1062,
5012D11,-1.326544,36.837555,1063,
5012D11,-1.327451,36.83794,1064,
5012D11,-1.328037,36.838032,1065,
5012D11,-1.328037,36.838032,1066,
5012D11,-1.327878,36.838924,1067,
5012D11,-1.327878,36.838924,1068,
5012D11,-1.326702,36.839214,1069,
5012D11,-1.326557,36.839302,1070,
5012D11,-1.325983,36.840202,1071,
5012D11,-1.325983,36.840202,2001,
5012D11,-1.326557,36.839302,2002,
5012D11,-1.326702,36.839214,2003,
5012D11,-1.327878,36.838924,2004,
5012D11,-1.327878,36.838924,2005,
5012D11,-1.328037,36.838032,2006,
5012D11,-1.328037,36.838032,2007,
5012D11,-1.327451,36.83794,2008,
5012D11,-1.326544,36.837555,2009,
5012D11,-1.32643,36.837414,2010,
5012D11,-1.325173,36.836807,2011,
5012D11,-1.325173,36.836807,2012,
5012D11,-1.325365,36.836411,2013,
5012D11,-1.32542,36.836178,2014,
5012D11,-1.326155,36.830925,2015,
5012D11,-1.326155,36.830925,2016,
5012D11,-1.322606,36.830456,2017,
5012D11,-1.322606,36.830456,2018,
5012D11,-1.322528,36.829742,2019,
5012D11,-1.322348,36.828857,2020,
5012D11,-1.322348,36.828857,2021,
5012D11,-1.322116,36.828861,2022,
5012D11,-1.321044,36.829109,2023,
5012D11,-1.316597,36.82996,2024,
5012D11,-1.316597,36.82996,2025,
5012D11,-1.315629,36.824867,2026,
5012D11,-1.315498,36.824261,2027,
5012D11,-1.315183,36.823311,2028,
5012D11,-1.314975,36.823185,2029,
5012D11,-1.314474,36.823242,2030,
5012D11,-1.312574,36.823833,2031,
5012D11,-1.312574,36.823833,2032,
5012D11,-1.312976,36.825546,2033,
5012D11,-1.313414,36.82782,2034,
5012D11,-1.313414,36.82782,2035,
5012D11,-1.312403,36.828049,2036,
5012D11,-1.312152,36.828285,2037,
5012D11,-1.311981,36.828571,2038,
5012D11,-1.311981,36.828571,2039,
5012D11,-1.311611,36.828983,2040,
5012D11,-1.311364,36.829105,2041,
5012D11,-1.311101,36.829121,2042,
5012D11,-1.310428,36.828976,2043,
5012D11,-1.309307,36.828411,2044,
5012D11,-1.305414,36.826649,2045,
5012D11,-1.30527,36.826569,2046,
5012D11,-1.305072,36.826248,2047,
5012D11,-1.304921,36.826218,2048,
5012D11,-1.30477,36.826267,2049,
5012D11,-1.302622,36.825325,2050,
5012D11,-1.300546,36.824326,2051,
5012D11,-1.300184,36.824131,2052,
5012D11,-1.300123,36.824001,2053,
5012D11,-1.300013,36.823921,2054,
5012D11,-1.299841,36.82391,2055,
5012D11,-1.299698,36.823997,2056,
5012D11,-1.299514,36.824013,2057,
5012D11,-1.299011,36.823898,2058,
5012D11,-1.298395,36.823658,2059,
5012D11,-1.292938,36.820431,2060,
5012D11,-1.292938,36.820431,2061,
5012D11,-1.292904,36.820305,2062,
5012D11,-1.292785,36.82021,2063,
5012D11,-1.292633,36.820217,2064,
5012D11,-1.292515,36.820328,2065,
5012D11,-1.2925,36.82048,2066,
5012D11,-1.29261,36.820618,2067,
5012D11,-1.292572,36.820938,2068,
5012D11,-1.289558,36.8269,2069,
