stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
0211RUS,,Main stage,stage munyu road nissan num45 D,-1.285301,36.828644,,,,
0201KRK,,Kariokor,ND,-1.279431,36.833293,,,,
0201PNG,,Pangani,ND,-1.266785,36.834315,,,,
0211MTG,,Muthaiga,D,-1.259818,36.843621,,,,
0211NYS,,NYS stage,D,-1.256155,36.855219,,,,
0211KCA,,KCA,D,-1.252175,36.859441,,,,
0211DRV,,Drive in,D,-1.248373,36.863078,,,,
0201ALS,,Allsops,ND,-1.244367,36.86667,,,,
0211ALS,,Allsops,D,-1.244064,36.867212,,,,
0201HML,,Homeland in,ND,-1.232262,36.87565,,,,
0211STD,,Stadium,D,-1.224904,36.885542,,,,
0201RSB,,Roysabu,ND,-1.218471,36.89246,,,,
0201GIT,,Githurai,ND,-1.203684,36.916758,,,,
0211GIT,,Gihurai,D,-1.203038,36.917428,,,,
0201GIG,,Githurai,ND,-1.202923,36.91753,,,,
0211KAH,,Kahawa,D,-1.198452,36.92146,,,,
0211KRE,,Kware,D,-1.189211,36.930236,,,,
0201KRE,,Kware,ND,-1.188445,36.931008,,,,
0211MKU,,KU,D,-1.181746,36.937403,,,,
0201CLY,,Clay Works,Main stage ND,-1.172752,36.9454,,,,
0211BYP,,By Pass,Mainstage D,-1.164406,36.956953,,,,
0201KIH,,Kihunguro,ND,-1.161939,36.957872,,,,
0211KIH,,Kihunguro,Main Stage D,-1.159751,36.958519,,,,
0210MRY,,Ruiru,Main Stage D,-1.147565,36.959228,,,,
0200MRY,,Ruiru,"Main Stage, The stage is not a prefered option because of Delays and high charges D",-1.147565,36.959228,,,,
0210FLY,,Fly Over,Flover Stage D,-1.152055,36.961376,,,,
0210BYP,,By Pass,Main Stage D,-1.167324,36.955388,,,,
0210CLM,,CLAY,Mainstage D,-1.171357,36.948865,,,,
0210CLY,,Clay works,Mainstage D,-1.172108,36.947546,,,,
0200KUF,,KU fly over,Minor Stage on fly over ND,-1.180681,36.939082,,,,
0210KUM,,KU,mainstage D,-1.181132,36.938669,,,,
0200KRE,,Kware,ND,-1.188737,36.931451,,,,
0210KRE,,Kware,D,-1.191558,36.928653,,,,
0210KAH,,Kahawa,D,-1.200083,36.920391,,,,
0200GIT,,Githurai,ND,-1.203692,36.917342,,,,
0210GIT,,Gihurai,D,-1.204336,36.916825,,,,
0210RSB,,Roysabu,D,-1.218422,36.892991,,,,
0210STD,,Stadium,D,-1.221149,36.890238,,,,
0200STD,,Stadium,ND,-1.221498,36.88989,,,,
0200HML,,Homeland in,ND,-1.234187,36.874215,,,,
0210ALS,,All sops,D,-1.245918,36.8666807,,,,
0210DRV,,Drive in,D,-1.248201,36.863979,,,,
0210KCA,,KCA,D,-1.251848,36.860455,,,,
0210SUR,,survey,D,-1.256648,36.855305,,,,
0210MTG,,Muthaiga,D,-1.259936,36.844346,,,,
0210PNG,,Pangani,D,-1.266179,36.835124,,,,
0210KAR,,Kariokor,D,-1.27927,36.833639,,,,
0210RUS,,Main stage,At munyu road D,-1.285301,36.828644,,,,
