stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
0510BSN,,Bus Station,D,-1.287635,36.829215,,,,
0501KPU,,Kenya Polytechnic Bus Stop,ND,-1.292001,36.822352,,,,
0511NYS,,Nyayo Stadium/Nairobi West Stage,D,-1.305514,36.825092,,,,
0501WEB,,West End Bar/Barclays,ND,-1.30734,36.82366,,,,
0511NWT,,Nairobi West Stage,D,-1.307386,36.822896,,,,
0501DSC,,Discount,ND,-1.307496,36.822293,,,,
0501KDO,,Kodi I,ND,-1.307651,36.821316,,,,
0501KDT,,Kodi II,ND,-1.307474,36.820249,,,,
0501MKS,,Madaraka Shopping Centre,ND,-1.30682,36.81779,,,,
0501NMD,,NHC Flats/Madaraka Primary School,ND,-1.30685,36.81659,,,,
0511SUP,,7UP,D,-1.30738,36.81491,,,,
0501STS,,Strathmore/Siwaka,ND,-1.30875,36.81233,,,,
0500STS,,Strathmore University/Siwaka,ND,-1.30874,36.81251,,,,
0500SUP,,7UP,ND,-1.30742,36.81474,,,,
0500MPS,,Madaraka Primary School,ND,-1.30691,36.81627,,,,
0500MSC,,Madaraka Shopping Centre,ND,-1.30683,36.81867,,,,
0510NYS,,Nyayo stadium,D,-1.305411,36.824418,,,,
0510MBR,,Makaburini,D,-1.299251,36.823938,,,,
0510AGP,,Agip,D,-1.291131,36.823334,,,,
0500BST,,Bus station,D,-1.287229,36.829477,,,,
