shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
5014A11,-1.287163,36.828938,1001,
5014A11,-1.287486,36.8284,1002,
5014A11,-1.287486,36.8284,1003,
5014A11,-1.288394,36.82888,1004,
5014A11,-1.288384,36.828957,1005,
5014A11,-1.287799,36.830124,1006,
5014A11,-1.287799,36.830124,1007,
5014A11,-1.28763,36.830193,1008,
5014A11,-1.28767,36.830349,1009,
5014A11,-1.287796,36.830353,1010,
5014A11,-1.287861,36.830292,1011,
5014A11,-1.28916,36.827785,1012,
5014A11,-1.289316,36.82777,1013,
5014A11,-1.289415,36.827679,1014,
5014A11,-1.289451,36.827541,1015,
5014A11,-1.289384,36.827415,1016,
5014A11,-1.292658,36.821053,1017,
5014A11,-1.292658,36.821053,1018,
5014A11,-1.2929,36.820774,1019,
5014A11,-1.293391,36.820885,1020,
5014A11,-1.298268,36.823799,1021,
5014A11,-1.298751,36.823997,1022,
5014A11,-1.299475,36.824184,1023,
5014A11,-1.299824,36.824444,1024,
5014A11,-1.300055,36.824409,1025,
5014A11,-1.300322,36.824448,1026,
5014A11,-1.30445,36.826389,1027,
5014A11,-1.304667,36.826561,1028,
5014A11,-1.304667,36.826561,1029,
5014A11,-1.304719,36.826706,1030,
5014A11,-1.304885,36.826782,1031,
5014A11,-1.305107,36.826725,1032,
5014A11,-1.305199,36.826611,1033,
5014A11,-1.305178,36.826389,1034,
5014A11,-1.305438,36.825676,1035,
5014A11,-1.305672,36.82399,1036,
5014A11,-1.305672,36.82399,1037,
5014A11,-1.305721,36.823956,1038,
5014A11,-1.305772,36.823689,1039,
5014A11,-1.305905,36.823627,1040,
5014A11,-1.307238,36.823784,1041,
5014A11,-1.307238,36.823784,1042,
5014A11,-1.307698,36.820606,1043,
5014A11,-1.307205,36.819897,1044,
5014A11,-1.307205,36.819897,1045,
5014A11,-1.307276,36.819767,1046,
5014A11,-1.307268,36.819622,1047,
5014A11,-1.307141,36.819473,1048,
5014A11,-1.306972,36.819443,1049,
5014A11,-1.306813,36.818882,1050,
5014A11,-1.306733,36.817509,1051,
5014A11,-1.306793,36.81628,1052,
5014A11,-1.307107,36.815273,1053,
5014A11,-1.308694,36.812302,1054,
5014A11,-1.308617,36.812447,2001,
5014A11,-1.307107,36.815273,2002,
5014A11,-1.306839,36.816078,2003,
5014A11,-1.30676,36.816708,2004,
5014A11,-1.306737,36.817894,2005,
5014A11,-1.306813,36.818882,2006,
5014A11,-1.306972,36.819443,2007,
5014A11,-1.306972,36.819443,2008,
5014A11,-1.306797,36.81955,2009,
5014A11,-1.306749,36.819668,2010,
5014A11,-1.306764,36.819805,2011,
5014A11,-1.306305,36.820419,2012,
5014A11,-1.306305,36.820419,2013,
5014A11,-1.305493,36.823498,2014,
5014A11,-1.305172,36.825775,2015,
5014A11,-1.304921,36.826218,2016,
5014A11,-1.304921,36.826218,2017,
5014A11,-1.30477,36.826267,2018,
5014A11,-1.302622,36.825325,2019,
5014A11,-1.300383,36.824245,2020,
5014A11,-1.300184,36.824131,2021,
5014A11,-1.300123,36.824001,2022,
5014A11,-1.300013,36.823921,2023,
5014A11,-1.299841,36.82391,2024,
5014A11,-1.299698,36.823997,2025,
5014A11,-1.299514,36.824013,2026,
5014A11,-1.299011,36.823898,2027,
5014A11,-1.298395,36.823658,2028,
5014A11,-1.292938,36.820431,2029,
5014A11,-1.292938,36.820431,2030,
5014A11,-1.292904,36.820305,2031,
5014A11,-1.292785,36.82021,2032,
5014A11,-1.292633,36.820217,2033,
5014A11,-1.292515,36.820328,2034,
5014A11,-1.2925,36.82048,2035,
5014A11,-1.29261,36.820618,2036,
5014A11,-1.292572,36.820938,2037,
5014A11,-1.289558,36.8269,2038,
5014A11,-1.289283,36.827343,2039,
5014A11,-1.289117,36.827339,2040,
5014A11,-1.28898,36.827457,2041,
5014A11,-1.288953,36.827564,2042,
5014A11,-1.288996,36.827679,2043,
5014A11,-1.288712,36.828175,2044,
5014A11,-1.288673,36.828384,2045,
5014A11,-1.287799,36.830124,2046,
5014A11,-1.287799,36.830124,2047,
5014A11,-1.287636,36.830189,2048,
5014A11,-1.287511,36.830242,2049,
5014A11,-1.286744,36.830441,2050,
5014A11,-1.286651,36.830444,2051,
5014A11,-1.286371,36.829605,2052,
5014A11,-1.286399,36.829597,2053,
5014A11,-1.286868,36.829426,2054,
5014A11,-1.287179,36.828907,2055,
