stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
0510BSN,,Bus Station,D,-1.287635,36.829215,,,,
0501KPU,,Kenya Polytechnic Bus Stop,ND,-1.292001,36.822352,,,,
0511NYS,,Nyayo Stadium/Nairobi West Stage,D,-1.305514,36.825092,,,,
0501WEB,,West End Bar/Barclays,ND,-1.30734,36.82366,,,,
0511NWT,,Nairobi West Stage,D,-1.307386,36.822896,,,,
0501DSC,,Discount,ND,-1.307496,36.822293,,,,
0501WEM,,West Mall,ND,-1.30939,36.82225,,,,
0501MIL,,Miller Estate,ND,-1.31174,36.82004,,,,
0501CIV,,Civil Servants,ND,-1.31213,36.81927,,,,
0501MOE,,Moi Educational Centre,ND,-1.31337,36.81898,,,,
0501KSB,,Kenya Society for the Blind,ND,-1.31425,36.81831,,,,
0501SPR,,Space Apartments,ND,-1.31397,36.81782,,,,
0501MAG,,Magharibi/Kogo Star,ND,-1.3137,36.81747,,,,
0501TMO,,T-Mall,ND,-1.31297,36.81666,,,,
0510TML,,T-Mall,D,-1.311276,36.816904,,,,
0510MFL,,Madaraka Flyover ,D,-1.308042,36.819257,,,,
0510NYS,,Nyayo stadium,D,-1.305411,36.824418,,,,
0510MBR,,Makaburini,D,-1.299251,36.823938,,,,
0510AGP,,Agip,D,-1.291131,36.823334,,,,
0500BST,,Bus station,D,-1.287229,36.829477,,,,
