stop_id,stop_code ,stop_name,Description,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
0501BSL,,Bus station,DD,-1.287229,36.829477,,,,
0511NYA,,Stadium,D,-1.30548,36.82516,,,,
0511LRB,,Lang'ata Rongai BS,D,-1.30779,36.81932,,,,
0511WLF,,Wilson Flyover,D,-1.31667,36.81343,,,,
0501CAR,,Carnivore ,ND,-1.323263,36.802351,,,,
0511CAR,,Carnivore ,D,-1.323821,36.799497,,,,
0501EST,,Estate,ND,-1.3284,36.78977,,,,
0511BAR,,Barracks,ND,-1.33253,36.78235,,,,
0501PCA,,Pcea junction,ND,-1.33044,36.7804,,,,
0501CHF,,Chiefs,ND,-1.32656,36.78027,,,,
0511OTD,,Otiende,D,-1.32339,36.77992,,,,
0501KND,,Kanga rd,ND,-1.32344,36.77866,,,,
0501MSQ,,Mosque,ND,-1.32325,36.77734,,,,
0511LNT,,Terminal,D,-1.32191,36.77438,,,,
0510LNT,,Terminal,D,-1.32191,36.77438,,,,
0510OTD,,Otiende,D,-1.32347,36.77994,,,,
0500LNP,,Langata Primary,ND,-1.32497,36.77997,,,,
0500PCA,,Pcea junction,ND,-1.33063,36.7805,,,,
0500MBK,,Maboko rd,ND,-1.3299,36.78175,,,,
0500SPM,,St Peters Methodist,ND,-1.32759,36.7851,,,,
0500MUG,,Mugumoini Market,ND,-1.32541,36.78534,,,,
0500TAC,,Talent academy,ND,-1.32455,36.78566,,,,
0510CIV,,Civil Servant stage,D,-1.324073,36.785992,,,,
0500SLE,,Southland Estate,ND,-1.32307,36.78683,,,,
0500MAS,,Malezi School,ND,-1.32254,36.78869,,,,
0500PHG,,Phase 4 gate,ND,-1.32384,36.79001,,,,
0500EQT,,Equity bank,ND,-1.32677,36.78961,,,,
0500OIL,,Oilibya Petrol station,ND,-1.32719,36.78908,,,,
0500LHP,,lang'ata hospital,ND,-1.32774,36.78908,,,,
0500HQS,,HQ,ND,-1.32394,36.7975,,,,
0500DEL,,Deliverance church,ND,-1.32358,36.79916,,,,
0500CAR,,Carnivore ,ND,-1.323,36.802079,,,,
0510CAR,,Carnivore ,D,-1.322903,36.802605,,,,
0500CRS,,Carnivore estate,ND,-1.32263,36.804756,,,,
0510LGP,,Lang'ata rd Primary,D,-1.31742,36.81235,,,,
0510WES,,Weston,D,-1.31586,36.81397,,,,
0510STA,,Stadium ,D,-1.30537,36.8244,,,,
0510AGI,,Agip,D,-1.291079,36.82351,,,,
0510BSL,,Bust station,D,-1.287132,36.82902,,,,
