stop_id,stop_code ,stop_name,Description,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
0501BST,,Bus station,DD,-1.287229,36.829477,,,,
0501NYA,,Nyayo stadium,D,-1.3057,36.8248,,,,
0511FLY,,Madaraka FlyovNDer,D,-1.307736,36.819463,,,,
0501TML,,T-mall/shell,ND,-1.310921,36.817428,,,,
0601BLU,,bluesky,ND,-1.312813,36.815245,,,,
0601APV,,airportview,ND,-1.313913,36.812483,,,,
0601HRS,,highrise,ND,-1.314683,36.808175,,,,
0500HIG,,highrise,ND,-1.314623,36.808016,,,,
0500MEM,,memorial hosp,ND,-1.310274,36.805254,,,,
0500KEF,,kenyatta market flyover,ND,-1.306232,36.803278,,,,
0500KNH,,KNH/Nairobi Hospital,ND,-1.297602,36.804361,,,,
0500NHS,,Nairobi Hosi,ND,-1.297019,36.806851,,,,
0510AGP,,Agip,D,-1.263902,36.860826,,,,
0500BST,,Bus station,DD,-1.287229,36.829477,,,,
