stop_id,stop_code ,stop_name,Description,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
0401RAU,,Rounda,N/D,-1.26271,36.87912,,,,
0401MYK,,Mayaka,N/D,-1.26679,36.88013,,,,
0401TTL,,Total,N/D,-1.26973,36.88086,,,,
0401BRG,,Bridge,N/D,-1.27171,36.88135,,,,
0401CLX,,Caltex,N/D,-1.278406,36.883011,,,,
0401UJJ,,Umoja junction,N/D,-1.27597,36.88731,,,,
0411CRN,,Charina,D,-1.27765,36.88861,,,,
0401JNT,,Junction,N/D,-1.27847,36.8892,,,,
0401PCK,,Peacock,N/D,-1.27831,36.89034,,,,
0401OLJ,,Olomboni junction,N/D,-1.27791,36.89185,,,,
0401KCF,,kwa chief,N/D,-1.28018,36.89622,,,,
0401UM2,,Umoja 2,N/D,-1.27922,36.89821,,,,
0401KSR,,Kayole spine Junction,N/D,-1.27825,36.90006,,,,
0411NSE,,Nasra estate,D,-1.28108,36.9017,,,,
0401BEN,,Bee centre,N/D,-1.28275,36.902849,,,,
0401MSB,,Masimba,N/D,-1.27834,36.90773,,,,
0411MAS,,Masimba,D,-1.27724,36.90837,,,,
0401NYV,,Nyama villa,N/D,-1.27614,36.90885,,,,
0401KDO,,Kwa D.o,N/D,-1.27465,36.91046,,,,
0411RCK,,Rocks,D,-1.27369,36.91086,,,,
0401ROK,,Rocks,N/D,-1.27285,36.91115,,,,
0401PCE,,PCEA,N/D,-1.2706,36.91307,,,,
0411KNS,,Kanisani,D,-1.26985,36.91335,,,,
0401KNS,,Kanisani,N/D,-1.26892,36.91361,,,,
0411TSH,,Tushauriane,D,-1.26644,36.916,,,,
0411SP1,,Step 1,D,-1.26541,36.91643,,,,
0401CLV,,Calvary ,N/D,-1.2646,36.91685,,,,
0401KY1,,Kayole 1,D,-1.26202,36.91967,,,,
0400JNC,,Junction,N/D,-1.26347,36.92213,,,,
0410JNC,,Junction,D,-1.2636,36.92242,,,,
0400KPS,,Kayole police,N/D,-1.26433,36.92351,,,,
0400POS,,Post/Mihang'o,N/D,-1.26531,36.92328,,,,
0410K1M,,kayole 1 market,D,-1.2663,36.92266,,,,
0400KON,,Kona,N/D,-1.26865,36.92063,,,,
0400DSL,,Diesel,N/D,-1.26988,36.92002,,,,
0410KCF,,kwa chief,D,-1.27186,36.91872,,,,
0400SBA,,Sabasaba,N/D,-1.27306,36.91822,,,,
0400MRA,,Maria,N/D,-1.27431,36.91784,,,,
0400RST,,Raster,N/D,-1.27537,36.91743,,,,
0410RST,,Raster,D,-1.27588,36.91713,,,,
0400PMR,,Prime rose,N/D,-1.27635,36.91676,,,,
0400NYD,,Nyando,N/D,-1.27736,36.91589,,,,
0400KOI,,Kioi,D,-1.2792,36.91541,,,,
0400SWT,,Soweto,N/D,-1.28144,36.91476,,,,
0400PST,,Post,N/D,-1.28105,36.91374,,,,
0400MSB,,Masimba,N/D,-1.27818,36.90797,,,,
0410MSB,,Masimba,D,-1.27893,36.90723,,,,
0400BER,,Bee centre/Roundabt,N/D,-1.28305,36.90249,,,,
0410NSE,,Nasra estate,D,-1.27978,36.90098,,,,
0400UM2,,Umoja 2,D,-1.27932,36.89808,,,,
0400KWC,,kwa chief,N/D,-1.28017,36.89628,,,,
0410KWC,,kwa chief,D,-1.27935,36.89591,,,,
0400VSP,,Visa place,N/D,-1.27804,36.89521,,,,
0400OOJ,,Olomboni junction,N/D,-1.2778,36.8925,,,,
0400OPCK,,Peacock,N/D,-1.27814,36.89111,,,,
0400JNT,,Junction,N/D,-1.2785,36.88914,,,,
0410CRN,,Charina,D,-1.27692,36.88785,,,,
0400UJJ,,Umoja junction,N/D,-1.27602,36.88728,,,,
0400CLT,,Caltex,N/D,-1.27838,36.88269,,,,
0400TTL,,Total,N/D,-1.27034,36.88097,,,,
0400MYK,,Mayaka,N/D,-1.26805,36.88041,,,,
0400RAU,,Rounda,N/D,-1.26264,36.87907,,,,
