stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
0211BST,,Bus station,D,-1.286861,36.830393,,,,
0201BST,,Bust station,ND,-1.287159,36.830318,,,,
0211KMJ,,19/60 stage,D,-1.285344,36.832273,,,,
0201KRK,,Kariokor,ND,-1.279431,36.833293,,,,
0201PNG,,Pangani,ND,-1.266785,36.834315,,,,
0211MTG,,Muthaiga,D,-1.259818,36.843621,,,,
0211NYS,,NYS stage,D,-1.256155,36.855219,,,,
0211KCA,,KCA,D,-1.252175,36.859441,,,,
0211DRV,,Drive in,D,-1.248373,36.863078,,,,
0201ALS,,Allsops,ND,-1.244367,36.86667,,,,
0211ALS,,Allsops,D,-1.244064,36.867212,,,,
0201HML,,Homeland in,ND,-1.232262,36.87565,,,,
0211STD,,Stadium,D,-1.224904,36.885542,,,,
0211RSB,,Roysabu,D,-1.219841,36.890909,,,,
0201RGC,,Regional Centre,ND,-1.22072,36.892773,,,,
0201PPS,,Police Post,ND,-1.219841,36.894039,,,,
0201NVS,,Naivas ,ND,-1.218629,36.895807,,,,
0211NVS,,Naivas ,D,-1.218956,36.895318,,,,
0201MET,,Metro,ND,-1.217449,36.897625,,,,
0201EQT,,Equity,ND,-1.217701,36.898982,,,,
0201GRD,,Grand point,ND,-1.217937,36.899857,,,,
0201DNK,,Danamark Flats,ND,-1.21821,36.900913,,,,
0211SSN,,Seasons,D,-1.218672,36.902619,,,,
0201SSN,,Seasons ,ND ,-1.218747,36.90285,,,,
0211STM,,sTIMMER,D,-1.223906,36.908177,,,,
0201MRT,,Martanet,ND,-1.223037,36.91183,,,,
0211HNT,,Huntas,ND,-1.227542,36.917967,,,,
0201SUN,,Sunton,ND,-1.228819,36.919796,,,,
0211SUN,,Sunton,D,-1.22906,36.920145,,,,
0201KMT,,Kwa miti,ND,-1.229538,36.920874,,,,
0201GRG,,Garage,ND,-1.231222,36.924549,,,,
0201MJM,,Maji mazuri,ND,-1.233066,36.928599,,,,
0201MLM,,Kwa mlima,ND,-1.232755,36.927902,,,,
0211MLM,,Kwa mlima,D,-1.233088,36.928642,,,,
0211STG,,Kwa mlima, D,-1.233882,36.930429,,,,
0210SMW,,Kwa Mlima,D,-1.233817,36.930379,,,,
0200BRK,,Brook field,ND,-1.232359,36.926861,,,,
0200KOB,,Kobil Petro,ND,-1.232031,36.92611,,,,
0200MTI,,Kwa miti,ND,-1.231538,36.924968,,,,
0200GRG,,Kwa Garage,ND,-1.231264,36.924453,,,,
0210SUN,,Suntos,D,-1.228867,36.919778,,,,
0200HUN,,Huntas,ND,-1.227583,36.917981,,,,
0210HUN,,Huntas stage,D,-1.227159,36.917404,,,,
0200FRS,,St Francis,ND,-1.226196,36.916057,,,,
0200MAT,,Martanet,ND,-1.223112,36.911889,,,,
0200CRN,,Stimmer Corner,ND,-1.224013,36.908204,,,,
0210PPS,,Police post,D,-1.219433,36.903631,,,,
0200TDS,,Tides,ND,-1.218752,36.902593,,,,
0210MET,,Metro,D,-1.217658,36.898562,,,,
0200MET,,Metro ,ND,-1.21784,36.899251,,,,
0200NES,,nESTHER,ND,-1.217567,36.898027,,,,
0210BUL,,Bull,D,-1.217492,36.897673,,,,
0200BUL,,Bull and budh,ND,-1.217508,36.897464,,,,
0210NVS,,Naivas,D,-1.218634,36.895833,,,,
0200RGC,,Regional,ND,-1.220023,36.894127,,,,
0210RSB,,Rosyabu,ND,-1.220318,36.891129,,,,
0210STD,,Stadium,D,-1.221149,36.890238,,,,
0200STD,,Stadium,ND,-1.221498,36.88989,,,,
0200HML,,Homeland in,ND,-1.234187,36.874215,,,,
0210ALS,,All sops,D,-1.245918,36.8666807,,,,
0210DRV,,Drive in,D,-1.248201,36.863979,,,,
0210KCA,,KCA,D,-1.251848,36.860455,,,,
0210SUR,,survey,D,-1.256648,36.855305,,,,
0210MTG,,Muthaiga,D,-1.259936,36.844346,,,,
0210PNG,,Pangani,D,-1.266179,36.835124,,,,
0210KAR,,Kariokor,D,-1.27927,36.833639,,,,
0210MMI,,Bus station,ND,-1.286735,36.830417,,,,
