stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
0311EST,,eastleigh terminal,D,-1.272078,36.848782,,,,
0301SNT,,st teresa,ND,-1.266468,36.847688,,,,
0301ALB,,albadr,ND,-1.266168,36.849023,,,,
0301MAP,,mathare worship,ND,-1.265889,36.85133,,,,
0301BHS,,BH,ND,-1.26582,36.857434,,,,
0311AGP,,Agip,D,-1.263902,36.860826,,,,
0311TEN,,number 10,D,-1.262975,36.863945,,,,
0311THY,,thayo,D,-1.26234,36.865956,,,,
0311CHF,,kwa chief,D,-1.261979,36.86722,,,,
0301BAS,,base,ND,-1.261639,36.871653,,,,
0301FLT,,flats,ND,-1.261766,36.873998,,,,
0311JSG,,johnsaga,D,-1.261954,36.873257,,,,
0301RND,,rounder,ND,-1.26236,36.87915,,,,
0311SOK,,soko bus stop,D,-1.262113,36.881741,,,,
0311BAO,,kwa mbao,D,-1.261781,36.884434,,,,
0311RIS,,wamwaris,D,-1.261041,36.887765,,,,
0311SEN,,senior,D,-1.260065,36.890618,,,,
0311TOT,,total,D,-1.258112,36.893429,,,,
0301ACC,,AIC church,ND,-1.256619,36.89799,,,,
0311TON,,Tononoka,D,-1.257539,36.90247,,,,
0311JOD,,joada,D,-1.256726,36.907904,,,,
0301MSB,,Maili saba,ND,-1.254436,36.911444,,,,
0301JUN,,Junction-komarock rd n kangundo,ND,-1.259587,36.912356,,,,
0311PSE,,phase 4,D,-1.266779,36.906209,,,,
0301ROD,,rounda,ND,-1.264301,36.908252,,,,
0301KAN,,Kanisani,ND,-1.26901,36.91362,,,,
0310KAN,,Kanisani,ND,-1.26901,36.91362,,,,
0400KON,,Kona,ND,-1.26865,36.92063,,,,
0400DSL,,Diesel,ND,-1.26988,36.92002,,,,
0410KCF,,kwa chief,D,-1.27186,36.91872,,,,
0400SBA,,Sabasaba,ND,-1.27306,36.91822,,,,
0400MRA,,Maria,ND,-1.27431,36.91784,,,,
0400RST,,Raster,ND,-1.27537,36.91743,,,,
0400PMR,,Prime rose,ND,-1.27635,36.91676,,,,
0400NYD,,Nyando,ND,-1.27736,36.91589,,,,
0400KDO,,Kwa DO,ND,-1.27458,36.91056,,,,
0410KNS,,kanisani,D,-1.26901,36.913514,,,,
0300GHT,,gate 8,ND,-1.26878,36.912987,,,,
0300GER,,gertrudes,ND,-1.26675,36.911144,,,,
0310GTR,,gate 3 a,ND,-1.266197,36.910637,,,,
0300R0D,,rounder,ND,-1.264304,36.908472,,,,
0310PSE,,phase 4 stage,D,-1.266817,36.906195,,,,
0300KNG,,kangundo rd,ND,-1.265449,36.90454,,,,
0310JUN,,junction bus stop,D,-1.259552,36.912367,,,,
0300OLE,,Ole suyean guest hs,ND,-1.257796,36.911965,,,,
0300MSB,,maili saba,ND,-1.254447,36.911404,,,,
0310MSB,,maili saba d,D,-1.254506,36.910782,,,,
0310MBO,,kwa mbao,D,-1.254916,36.909958,,,,
0310OGP,,ogopa stage,D,-1.256158,36.90881,,,,
0310SKA,,saika,D,-1.256804,36.907785,,,,
0310MPP,,mowlem police post,D,-1.25667,36.905902,,,,
0310TON,,tononoka,D,-1.257512,36.90233,,,,
0310ACC,,AIC,D,-1.256659,36.897995,,,,
0310TOT,,total,D,-1.258177,36.893397,,,,
0310SEN,,senior,D,-1.260172,36.890758,,,,
0310RIS,,wamwaris,D,-1.261084,36.888065,,,,
0300MUT,,mutarakwa rd,ND,-1.26148,36.886445,,,,
0310BAO,,kwa mbao,D,-1.261877,36.883988,,,,
0300RND,,raunda,ND,-1.262478,36.878913,,,,
0310FLT,,flats,D,-1.261717,36.868798,,,,
0300BAS,,base,ND,-1.262131,36.86737,,,,
0310CHF,,kwa chief,D,-1.262392,36.866339,,,,
0310TEN,,N 10,D,-1.263947,36.861146,,,,
0310FRC,,moi airforces stage,D,-1.265835,36.858775,,,,
0310JAY,,jay community,D,-1.265996,36.852864,,,,
0310SNT,,senty stop,D,-1.266554,36.84766,,,,
0310EST,,eastleigh terminal,D,-1.27225,36.848948,,,,
