shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
4019C11,-1.286327,36.826637,1001,
4019C11,-1.286187,36.826923,1002,
4019C11,-1.286187,36.826923,1003,
4019C11,-1.287716,36.82769,1004,
4019C11,-1.28777,36.827763,1005,
4019C11,-1.28786,36.827766,1006,
4019C11,-1.288712,36.828175,1007,
4019C11,-1.288712,36.828175,1008,
4019C11,-1.288673,36.828384,1009,
4019C11,-1.287919,36.829922,1010,
4019C11,-1.287799,36.830124,1011,
4019C11,-1.28763,36.830193,1012,
4019C11,-1.28767,36.830349,1013,
4019C11,-1.287628,36.830513,1014,
4019C11,-1.287284,36.831181,1015,
4019C11,-1.286949,36.831459,1016,
4019C11,-1.28577,36.832111,1017,
4019C11,-1.28577,36.832111,1018,
4019C11,-1.285566,36.83213,1019,
4019C11,-1.28544,36.832298,1020,
4019C11,-1.285494,36.832516,1021,
4019C11,-1.28541,36.833794,1022,
4019C11,-1.285532,36.833961,1023,
4019C11,-1.286025,36.834091,1024,
4019C11,-1.286163,36.83424,1025,
4019C11,-1.286944,36.836292,1026,
4019C11,-1.287382,36.837189,1027,
4019C11,-1.287733,36.838051,1028,
4019C11,-1.288545,36.839382,1029,
4019C11,-1.289299,36.840874,1030,
4019C11,-1.289551,36.841198,1031,
4019C11,-1.289966,36.8414,1032,
4019C11,-1.290339,36.841377,1033,
4019C11,-1.291266,36.841187,1034,
4019C11,-1.29162,36.841282,1035,
4019C11,-1.29162,36.841282,1036,
4019C11,-1.291892,36.841541,1037,
4019C11,-1.291999,36.841782,1038,
4019C11,-1.293454,36.848656,1039,
4019C11,-1.294088,36.851238,1040,
4019C11,-1.2941,36.852112,1041,
4019C11,-1.294497,36.852978,1042,
4019C11,-1.294927,36.854965,1043,
4019C11,-1.294982,36.855766,1044,
4019C11,-1.295235,36.856407,1045,
4019C11,-1.297852,36.869064,1046,
4019C11,-1.297882,36.869644,1047,
4019C11,-1.297166,36.874924,1048,
4019C11,-1.296243,36.880966,1049,
4019C11,-1.296043,36.882679,1050,
4019C11,-1.296101,36.883011,1051,
4019C11,-1.296581,36.884201,1052,
4019C11,-1.297557,36.886238,1053,
4019C11,-1.297556,36.88649,1054,
4019C11,-1.297556,36.88649,1055,
4019C11,-1.29749,36.88665,1056,
4019C11,-1.297557,36.886868,1057,
4019C11,-1.297689,36.886967,1058,
4019C11,-1.298039,36.8871,1059,
4019C11,-1.299712,36.887264,1060,
4019C11,-1.301162,36.887577,1061,
4019C11,-1.301162,36.887577,1062,
4019C11,-1.300909,36.888069,1063,
4019C11,-1.299312,36.89016,1064,
4019C11,-1.299312,36.89016,1065,
4019C11,-1.299017,36.891785,1066,
4019C11,-1.29891,36.892113,1067,
4019C11,-1.298249,36.893059,1068,
4019C11,-1.297105,36.894436,1069,
4019C11,-1.296826,36.894875,1070,
4019C11,-1.296515,36.895184,1071,
4019C11,-1.296276,36.895329,1072,
4019C11,-1.29515,36.895779,1073,
4019C11,-1.294886,36.895939,1074,
4019C11,-1.294686,36.896133,1075,
4019C11,-1.292837,36.898521,1076,
4019C11,-1.292728,36.898754,1077,
4019C11,-1.292663,36.899277,1078,
4019C11,-1.292506,36.899754,1079,
4019C11,-1.291566,36.901005,1080,
4019C11,-1.291086,36.901463,1081,
4019C11,-1.289679,36.902115,1082,
4019C11,-1.28797,36.904381,1083,
4019C11,-1.287733,36.90456,1084,
4019C11,-1.287733,36.90456,1085,
4019C11,-1.287329,36.904636,1086,
4019C11,-1.285181,36.903847,1087,
4019C11,-1.283067,36.902687,1088,
4019C11,-1.283067,36.902687,1089,
4019C11,-1.283076,36.902569,1090,
4019C11,-1.28301,36.902489,1091,
4019C11,-1.28288,36.90247,1092,
4019C11,-1.282787,36.902534,1093,
4019C11,-1.28278,36.902683,1094,
4019C11,-1.28285,36.902756,1095,
4019C11,-1.28162,36.905056,1096,
4019C11,-1.281312,36.905403,1097,
4019C11,-1.279831,36.906162,1098,
4019C11,-1.278454,36.907711,1099,
4019C11,-1.278123,36.908009,1100,
4019C11,-1.27784,36.908165,1101,
4019C11,-1.276367,36.908707,1102,
4019C11,-1.274681,36.9105,1103,
4019C11,-1.274346,36.910679,1104,
4019C11,-1.272991,36.911068,1105,
4019C11,-1.272991,36.911068,1106,
4019C11,-1.27206,36.910065,1107,
4019C11,-1.269056,36.9076,1108,
4019C11,-1.268328,36.905609,1109,
4019C11,-1.268328,36.905609,1110,
4019C11,-1.266803,36.906235,1111,
4019C11,-1.26513,36.907738,1112,
4019C11,-1.264363,36.908348,1113,
4019C11,-1.264363,36.908348,1114,
4019C11,-1.264373,36.908466,1115,
4019C11,-1.264373,36.908466,1116,
4019C11,-1.264241,36.908501,1117,
4019C11,-1.264241,36.908501,1118,
4019C11,-1.262594,36.910118,1119,
4019C11,-1.261843,36.911224,1120,
4019C11,-1.26181,36.911564,1121,
4019C11,-1.261903,36.912083,1122,
4019C11,-1.262044,36.912506,1123,
4019C11,-1.262297,36.912781,1124,
4019C11,-1.262868,36.91325,1125,
4019C11,-1.263915,36.914341,1126,
4019C11,-1.264435,36.915314,1127,
4019C11,-1.264913,36.91663,1128,
4019C11,-1.264913,36.91663,1129,
4019C11,-1.265173,36.916538,1130,
4019C11,-1.265173,36.916538,2001,
4019C11,-1.266425,36.91608,2002,
4019C11,-1.266836,36.915752,2003,
4019C11,-1.268855,36.913723,2004,
4019C11,-1.269082,36.913597,2005,
4019C11,-1.270626,36.91309,2006,
4019C11,-1.272733,36.911236,2007,
4019C11,-1.272991,36.911068,2008,
4019C11,-1.274346,36.910679,2009,
4019C11,-1.274681,36.9105,2010,
4019C11,-1.276367,36.908707,2011,
4019C11,-1.278008,36.908081,2012,
4019C11,-1.278454,36.907711,2013,
4019C11,-1.279009,36.907078,2014,
4019C11,-1.279009,36.907078,2015,
4019C11,-1.279831,36.906162,2016,
4019C11,-1.281063,36.905548,2017,
4019C11,-1.281497,36.905231,2018,
4019C11,-1.282013,36.904354,2019,
4019C11,-1.28285,36.902756,2020,
4019C11,-1.28285,36.902756,2021,
4019C11,-1.282968,36.902771,2022,
4019C11,-1.283067,36.902687,2023,
4019C11,-1.285181,36.903847,2024,
4019C11,-1.287329,36.904636,2025,
4019C11,-1.287615,36.90469,2026,
4019C11,-1.287615,36.90469,2027,
4019C11,-1.287693,36.904785,2028,
4019C11,-1.287822,36.904743,2029,
4019C11,-1.287956,36.904396,2030,
4019C11,-1.289679,36.902115,2031,
4019C11,-1.291086,36.901463,2032,
4019C11,-1.291566,36.901005,2033,
4019C11,-1.292506,36.899754,2034,
4019C11,-1.292663,36.899277,2035,
4019C11,-1.292728,36.898754,2036,
4019C11,-1.292837,36.898521,2037,
4019C11,-1.294686,36.896133,2038,
4019C11,-1.294886,36.895939,2039,
4019C11,-1.29515,36.895779,2040,
4019C11,-1.296276,36.895329,2041,
4019C11,-1.296515,36.895184,2042,
4019C11,-1.296826,36.894875,2043,
4019C11,-1.296826,36.894875,2044,
4019C11,-1.297105,36.894436,2045,
4019C11,-1.298249,36.893059,2046,
4019C11,-1.29891,36.892113,2047,
4019C11,-1.299017,36.891785,2048,
4019C11,-1.299312,36.89016,2049,
4019C11,-1.300909,36.888069,2050,
4019C11,-1.301162,36.887577,2051,
4019C11,-1.301162,36.887577,2052,
4019C11,-1.299712,36.887264,2053,
4019C11,-1.298701,36.887188,2054,
4019C11,-1.298262,36.887054,2055,
4019C11,-1.298101,36.886803,2056,
4019C11,-1.298101,36.886803,2057,
4019C11,-1.298131,36.886711,2058,
4019C11,-1.298088,36.886543,2059,
4019C11,-1.297634,36.886093,2060,
4019C11,-1.296681,36.884178,2061,
4019C11,-1.296203,36.88303,2062,
4019C11,-1.296146,36.882664,2063,
4019C11,-1.296357,36.880936,2064,
4019C11,-1.297298,36.87492,2065,
4019C11,-1.297999,36.869648,2066,
4019C11,-1.297972,36.869041,2067,
4019C11,-1.295384,36.856445,2068,
4019C11,-1.295314,36.855961,2069,
4019C11,-1.295328,36.855576,2070,
4019C11,-1.295162,36.855198,2071,
4019C11,-1.294322,36.851715,2072,
4019C11,-1.294295,36.851349,2073,
4019C11,-1.292142,36.841774,2074,
4019C11,-1.292119,36.841454,2075,
