stop_id	stop_code	stop_name	stop_desc	stop_lat	stop_lon	zone_id	stop_url	location_type	parent_station
0711KRY		Karen Dispensary	D	-1.320582	36.705787				
0701NDL		Nyumbani Diagnostic Lab	ND	-1.313178	36.699728				
0701NYI		Nyumbani	ND	-1.31258	36.699218				
0701KDF		Kenya Defense	ND	-1.308581	36.69592				
0701PPT		Pepo Lane/St.Odillas	ND	-1.305029	36.693086				
0701DBO		Don Bosco	ND	-1.304255	36.692517				
0701SHS		St.Hannahs School	ND	-1.302587	36.691129				
0701AIU		Africa International University	ND	-1.301827	36.689733				
0701RHP		Rhino/Rhinopark Road	ND	-1.301905	36.684969				
0701SHK		St.Hannah's Girls/Kenya Assemblies of God	ND	-1.301169	36.68259				
0701KRD		Karinde PCEA junction	ND	-1.299046	36.681759				
0701FRK		Free Pentecostal Church/Karen End	ND	-1.29787	36.68225				
0701DCT		Deliverance Church/Dagoretti Market	ND	-1.293618	36.683659				
0701DGT		Dagoretti Market	ND	-1.287804	36.686281				
0700DGR		Dagoretti Market	ND	-1.287485	36.686424				
0700DCR		Deliverance Church/Dagoretti Market	ND	-1.29428	36.683553				
0700HVE		Hopevision Academy/Karen End Flats	ND	-1.296535	36.682916				
0700KEH		Karen End Shops	ND	-1.298079	36.682247				
0700FMK		Free Methodist Church/Karinde	ND	-1.301165	36.682693				
0700RPR		Rhinopark Road/Rhino/Resurrection Gardens	ND	-1.301811	36.685164				
0700AIV		Africa International University	ND	-1.301765	36.689762				
0710SHO		St.Hannah's School	D	-1.302533	36.691254				
0700DBS		Don Bosco	ND	-1.303983	36.692302				
0700KDN		Kenya Defense	ND	-1.30835	36.695855				
0700NYA		Nyumbani	ND	-1.312344	36.699102				
0700NYM		Nyumbani Diagnostic Lab	ND	-1.313362	36.699977				
0710KTR		Karen Shopping Centre/Karen	D	-1.321163	36.706431				
