shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
7000111,-1.320547,36.70583,1001,
7000111,-1.314646,36.700974,1002,
7000111,-1.31349,36.699959,1003,
7000111,-1.31349,36.699959,1004,
7000111,-1.311739,36.698589,1005,
7000111,-1.30577,36.693638,1006,
7000111,-1.304887,36.693001,1007,
7000111,-1.302137,36.690826,1008,
7000111,-1.301926,36.690395,1009,
7000111,-1.301805,36.689846,1010,
7000111,-1.30175,36.689243,1011,
7000111,-1.301869,36.685642,1012,
7000111,-1.301831,36.684959,1013,
7000111,-1.301584,36.683769,1014,
7000111,-1.301269,36.682835,1015,
7000111,-1.30106,36.682507,1016,
7000111,-1.300602,36.682076,1017,
7000111,-1.300207,36.681877,1018,
7000111,-1.299771,36.681778,1019,
7000111,-1.299386,36.681744,1020,
7000111,-1.299093,36.681786,1021,
7000111,-1.297947,36.682224,1022,
7000111,-1.296219,36.683037,1023,
7000111,-1.295639,36.68325,1024,
7000111,-1.290165,36.684395,1025,
7000111,-1.289787,36.684605,1026,
7000111,-1.289669,36.684727,1027,
7000111,-1.289383,36.685143,1028,
7000111,-1.289104,36.685684,1029,
7000111,-1.288742,36.686108,1030,
7000111,-1.288418,36.686253,1031,
7000111,-1.287814,36.686325,1032,
7000111,-1.287484,36.68642,2001,
7000111,-1.2879,36.686306,2002,
7000111,-1.288418,36.686253,2003,
7000111,-1.288742,36.686108,2004,
7000111,-1.289104,36.685684,2005,
7000111,-1.289383,36.685143,2006,
7000111,-1.289669,36.684727,2007,
7000111,-1.289787,36.684605,2008,
7000111,-1.290165,36.684395,2009,
7000111,-1.295639,36.68325,2010,
7000111,-1.296219,36.683037,2011,
7000111,-1.297947,36.682224,2012,
7000111,-1.299093,36.681786,2013,
7000111,-1.299386,36.681744,2014,
7000111,-1.299771,36.681778,2015,
7000111,-1.300207,36.681877,2016,
7000111,-1.300602,36.682076,2017,
7000111,-1.30106,36.682507,2018,
7000111,-1.301269,36.682835,2019,
7000111,-1.301584,36.683769,2020,
7000111,-1.301831,36.684959,2021,
7000111,-1.301869,36.685642,2022,
7000111,-1.30175,36.689243,2023,
7000111,-1.301805,36.689846,2024,
7000111,-1.301926,36.690395,2025,
7000111,-1.302137,36.690826,2026,
7000111,-1.304887,36.693001,2027,
7000111,-1.30577,36.693638,2028,
7000111,-1.311739,36.698589,2029,
7000111,-1.31349,36.699959,2030,
7000111,-1.314646,36.700974,2031,
7000111,-1.321202,36.706383,2032,
