stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
0211APT,,Terminal,D,-1.245364,36.867826,,,,
0201DAW,,dawa pharmacutical,ND,-1.247043,36.873225,,,,
0201KBM,,Kariobangi market stage,ND,-1.255538,36.878823,,,,
0201SHP,,Shell petrol station,ND,-1.256536,36.878871,,,,
0211RND,,Terminal tusker,D,-1.262301,36.879,,,,
0210RND,,Terminal tusker,D,-1.262301,36.879,,,,
0200SHP,,Shell petrol station,ND,-1.256525,36.878807,,,,
0210KBM,,Kariobangi market stage,D,-1.255533,36.878748,,,,
0200KBM,,Kariobangi market stage,ND,-1.255259,36.878742,,,,
0200FHA,,Faith home academ,ND,-1.25305,36.878651,,,,
0200BDJ,,Baba dogo Junction,ND,-1.247161,36.874858,,,,
0210NVS,,Naivas,D,-1.243809,36.877718,,,,
0210APT,,Terminal,D,-1.245364,36.867826,,,,
