shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
2203011,-1.245598,36.867943,1001,
2203011,-1.245935,36.868286,1002,
2203011,-1.246526,36.869045,1003,
2203011,-1.246884,36.869743,1004,
2203011,-1.247034,36.870159,1005,
2203011,-1.247184,36.871143,1006,
2203011,-1.247139,36.874859,1007,
2203011,-1.247268,36.875595,1008,
2203011,-1.247381,36.875954,1009,
2203011,-1.247877,36.876896,1010,
2203011,-1.248328,36.877438,1011,
2203011,-1.24872,36.877789,1012,
2203011,-1.249553,36.878277,1013,
2203011,-1.250332,36.878529,1014,
2203011,-1.250735,36.878597,1015,
2203011,-1.262229,36.879036,1016,
2203011,-1.262414,36.87896,2001,
2203011,-1.262401,36.879044,2002,
2203011,-1.262401,36.879044,2003,
2203011,-1.250735,36.878597,2004,
2203011,-1.250332,36.878529,2005,
2203011,-1.249553,36.878277,2006,
2203011,-1.24872,36.877789,2007,
2203011,-1.248328,36.877438,2008,
2203011,-1.247877,36.876896,2009,
2203011,-1.247504,36.876247,2010,
2203011,-1.247268,36.875595,2011,
2203011,-1.247139,36.874859,2012,
2203011,-1.247184,36.871143,2013,
2203011,-1.247034,36.870159,2014,
2203011,-1.246884,36.869743,2015,
2203011,-1.246526,36.869045,2016,
2203011,-1.245343,36.867619,2017,
