stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
0811ODE,,Odeon Terminus,,-1.282757,36.825048,,,,
0801MUS,,Museum,,-1.274128,36.811825,,,,
0801CHR,,Chiromo,,-1.270823, 36.807229,,,,
0811WST,,Westlands,,-1.2628,36.80031,,,,
0801STM,,St. Marks,,-1.26132,36.79749,,,,
0801LIO,,Lions Place,,-1.26109,36.79608,,,,
0801BRK,,Brookside,,-1.26025,36.79245,,,,
0801SAF,,AACC/Safaricom/Church Road,,-1.25982,36.78687,,,,
0801AGA,,Aga Khan High School,,-1.25934,36.78281,,,,
0811ABC,,ABC Place Stage,,-1.25897,36.7786,,,,
0801ABE,,ABC Place Entrance,,-1.25919,36.77746,,,,
0801JGJ,,James Gichuru Junction,,-1.25946,36.77551,,,,
0801KAR,,KARI,,-1.25974,36.77392,,,,
0801NSH,,Nairobi School,,-1.26035,36.77108,,,,
0801DEL,,Deloitte,,-1.26309,36.76439,,,,
0801AFL,,AFRALTI,,-1.26366,36.7613,,,,
0811KND,,Kianda School,,-1.26395,36.75863,,,,
0801SDM,,Sodom,,-1.26425,36.75426,,,,
0801PKN,,Posta Kangemi,,-1.26437,36.75044,,,,
0801TKN,,Total Petrol Station Kangemi,,-1.26447,36.74961,,,,
0811KGT,,Kangemi terminus,,-1.26498,36.74953,,,,
0800HES,,Heshima Supermarket,,-1.26403,36.75139,,,,
0800CCK,,CCK,,-1.26386,36.7578,,,,
0810NSH,,Nairobi School Bus Stop,,-1.26017,36.77119,,,,
0810KAR,,KARI/James Gichuru Bus Stop,,-1.25987,36.77262,,,,
0800KBB,,Kabete Barracks/Njuguna's/APDK,,-1.25889,36.77816,,,,
0800WDC,,Westlands DC,,-1.2596,36.7866,,,,
0810WPS,,Church Road/Westlands Primary School,,-1.26015,36.7912,,,,
0800LIO,,Lion's Place,,-1.26021,36.79458,,,,
0810STM,,St. Marks Church,,-1.26104,36.79726,,,,
0800GPR,,Gama Pinto Road,,-1.26187,36.79974,,,,
0810WST,,Westlands Stage,,-1.26549,36.80277,,,,
0800EDS,,Eden Square,,-1.26919,36.8064,,,,
0800CHR,,Chiromo,,-1.270322,36.807561,,,,
0800MUS,,Museum,,-1.274128,36.811825,,,,
0810MCP,,Main Campus,D,-1.281029,36.816244,,,,
0810ODE,,Odeon Terminus,D,-1.282757,36.825048,,,,
