stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
0411AMB,,Ambassadeur,D,-1.28614,36.82652,,,,
0411CST,,City Stadium Stage,D,-1.29237,36.84373,,,,
0411SMY,,Shauri Moyo,D,-1.29288,36.846,,,,
0411MZW,,Maziwa,D,-1.2936,36.8492,,,,
0401RKN,,Rikana,UD,-1.294013,36.851153,,,,
0401MKB,,Mt Kenya Bar Shauri Moyo,UD,-1.291703,36.855431,,,,
0401MPS,,Morisson Primary School,UD,-1.289819,36.859823,,,,
0401BPS,,Bahati Primary School KAG Bahati,UD,-1.288722,36.86233,,,,
0401KST,,Kimathi/Section 3 Junction,UD,-1.28848,36.863025,,,,
0411DLP,,Dr. Livingstone Primary School,D,-1.287236,36.865176,,,,
0411JSC,,Jerusalem Shopping Centre,D,-1.285251,36.867947,,,,
0401USC,,Uhuru Shopping Centre,UD,-1.283149,36.869973,,,,
0401UPS,,Uhuru Primary School,UD,-1.282416,36.870807,,,,
0401HUJ,,Harambee Uhuru Junction,UD,-1.28188,36.871372,,,,
0401KBU,,Kiambiu,UD,-1.280591,36.871026,,,,
0401KCT,,Kobil Calvary Temple,UD,-1.27887,36.872215,,,,
0401NBP,,Neighbours Buruburu Phase 1,UD,-1.277615,36.875755,,,,
0401BPR,,Buruburu 1 Primary School,UD,-1.275435, 36.877440,,,,
0411BP1,,Phase 1 stage,D,-1.272672,36.877445,,,,
0411SOS,,SOS,D,-1.271622,36.878287,,,,
0401MWS,,Outer Mwisho,UD,-1.271684,36.879309,,,,
0401PNR,,Pioneer Estate,UD,-1.271557,36.880591,,,,
0401CVT,,Civil Servants Total Petrol Station,UD,-1.269612,36.880758,,,,
0401CVS,,Civil Servants Southend Bar,UD,-1.269417,36.881248,,,,
0401FNN,,Friends Inn,UD,-1.265392,36.885949,,,,
0401KSE,,Kariobangi South Estate/Deliverance Church,UD,-1.262589,36.887016,,,,
0400KSE,,Kariobangi South Estate/Deliverance Church,UD,-1.262606,36.887021,,,,
0400DSP,,Dayspring,UD,-1.263539,36.887485,,,,
0400FSX,,56,UD,-1.264858,36.886968,,,,
0400FNN,,Friends Inn,UD,-1.265346,36.886123,,,,
0400KSP,,Kariobangi South Primary School,UD,-1.26761,36.88542,,,,
0400CSV,,Civil Servants,UD,-1.269526,36.882858,,,,
0400TTP,,Total Petrol Station,UD,-1.269566,36.880842,,,,
0400PES,,Pioneer Estate,UD,-1.271602,36.880644,,,,
0400TMW,,Outer Mwisho,UD,-1.271725,36.879305,,,,
0400PST,,Phase 1 Stage,UD,-1.272407,36.877518,,,,
0400PSM,,Phase 1 Monument,UD,-1.274204,36.877514,,,,
0400BPS,,Buruburu 1 Primary School,UD,-1.275405,36.877489,,,,
0400BRB,,Buruburu Roundabout,UD,-1.277372,36.87734,,,,
0400BNB,,Neighbours Phase 1,UD,-1.27771,36.875698,,,,
0400BKB,,Kiambiu,UD,-1.278592,36.872755,,,,
0400UJN,,Harambee Uhuru Junction,UD,-1.282092,36.871429,,,,
0410USP,,Uhuru Shops,D,-1.28325,36.870013,,,,
0400USS,,Uhuru Secondary School,UD,-1.283791,36.869433,,,,
0400UFD,,Uhuru Fields,UD,-1.285159,36.868103,,,,
0400JSC,,Jerusalem Shopping Centre,UD,-1.2861,36.867097,,,,
0410DLP,,Dr. Livingstone Primary School,D,-1.287124,36.865397,,,,
0400KAG,,KAG Bahati,UD,-1.288915,36.862257,,,,
0410BHS,,Bahati Stage,D,-1.289257,36.861512,,,,
0410NPB,,Ngorofani PCEA Bahati,D,-1.289988,36.859837,,,,
0400BHC,,Bahati Clinic,UD,-1.290332,36.858991,,,,
0400BDC,,DC Bahati Office,UD,-1.291113,36.857319,,,,
0400MKG,,Makongeni,UD,-1.29314,36.84594,,,,
0400MZW,,Maziwa,UD,-1.29368,36.84869,,,,
0410KLL,,Kaloleni,D,-1.29304,36.84563,,,,
0410CST,,City Stadium Stage,D,-1.29239,36.84268,,,,
0400NCC,,Nacico ,UD,-1.28892,36.8398,,,,
0400CTB,,Country bus,UD,-1.28663,36.83529,,,,
0410SLA,,Salvation army,D,-1.28533,36.83103,,,,
0410BST,,Bus station,D,-1.28691,36.82898,,,,
0410KNC,,kencom,D,-1.28589,36.82429,,,,
