stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
0511NKG,,Nakumatt Galleria,D,-1.342757,36.766115,,,,
0501NPC,,NPC Karen,ND,-1.341765,36.759372,,,,
0511CAT,,CUEA | Catholic University,D,-1.341533,36.75747,,,,
0501KNA,,Kenol/Nairobi Academy,ND,-1.340951,36.753609,,,,
0501AGC,,Africa Gospel Church,ND,-1.34019,36.74827,,,,
0501KSS,,Karen South Secondary,ND,-1.3398,36.74556,,,,
0501MLK,,Mega Link,ND,-1.33959,36.744,,,,
0501KCR,,Karen C Secondary School,ND,-1.33938,36.74283,,,,
0501KET,,Total Karen,ND,-1.33895,36.73976,,,,
0501FAR,,Fair Acres Road,ND,-1.33871,36.73824,,,,
0501HLC,,Hillcrest,ND,-1.33855,36.73695,,,,
0501HLR,,Hillcrest Road,ND,-1.33831,36.73539,,,,
0501KSP,,KSPCA/Marist Lane,ND,-1.33793,36.73273,,,,
0501DBC,,Don Bosco Church,ND,-1.33725,36.72787,,,,
0511KNH,,Karen hospital,D,-1.33697,36.72577,,,,
0501NDG,,Ndege Road,ND,-1.33655,36.72249,,,,
0501ZZL,,Mazzoldi House,ND,-1.33638,36.71988,,,,
0501KRL,,Karen Road-Lang'ata Road Junctio,ND,-1.33314,36.71624,,,,
0500KRL,,Karen-Lang'ata Road Junction,ND,-1.33321,36.71632,,,,
0510KNH,,Karen Hospital,D,-1.33695,36.72591,,,,
0500DBC,,Don Bosco,ND,-1.33724,36.72778,,,,
0500KSP,,Marist Lane/KSPCA,ND,-1.3378,36.73183,,,,
0510HLC,,Hillcrest,D,-1.33809,36.73392,,,,
0500HLL,,Hillcrest Lane,ND,-1.33832,36.73564,,,,
0500ACC,,African Conservatories Centre/Fa,ND,-1.33866,36.73803,,,,
0500TTK,,Total Karen,ND,-1.33892,36.73972,,,,
0500KCY,,Karen C Primary School,ND,-1.33932,36.7426,,,,
0500MSU,,Mosque,ND,-1.33998,36.74725,,,,
0500NBA,,Nairobi Academy,ND,-1.340475,36.750709,,,,
0500MKY,,Kobil/Mokoyeti Road West,ND,-1.34093,36.754073,,,,
0500CUV,,CUEA,ND,-1.34149,36.757784,,,,
0500MPK,,NPC Karen,ND,-1.341643,36.759041,,,,
0500BMA,,Bomas,ND,-1.342646,36.765796,,,,
