shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
5002421,-1.342678,36.766125,1001,
5002421,-1.336532,36.722881,1002,
5002421,-1.336332,36.720024,1003,
5002421,-1.336201,36.719154,1004,
5002421,-1.335978,36.718693,1005,
5002421,-1.335437,36.718147,1006,
5002421,-1.322606,36.707565,1007,
5002421,-1.322606,36.707565,1008,
5002421,-1.322379,36.707325,1009,
5002421,-1.322379,36.707325,1010,
5002421,-1.322307,36.707211,1011,
5002421,-1.322244,36.707195,1012,
5002421,-1.322169,36.707256,1013,
5002421,-1.322152,36.707657,1014,
5002421,-1.322064,36.707893,1015,
5002421,-1.322064,36.707893,2001,
5002421,-1.322152,36.707657,2002,
5002421,-1.322152,36.707657,2003,
5002421,-1.322315,36.707432,2004,
5002421,-1.322315,36.707432,2005,
5002421,-1.322606,36.707565,2006,
5002421,-1.335437,36.718147,2007,
5002421,-1.335978,36.718693,2008,
5002421,-1.336201,36.719154,2009,
5002421,-1.336332,36.720024,2010,
5002421,-1.336532,36.722881,2011,
5002421,-1.342633,36.765797,2012,
