stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
0211NGT,,ngara,D,-1.274465,36.823897,,,,
0211PIO,,KIE/Pioneer,D,-1.271566,36.82825,,,,
0201PNG,,Pangani,ND,-1.266785,36.834315,,,,
0211MTG,,Muthaiga,D,-1.259818,36.843621,,,,
0211NYS,,NYS stage,D,-1.256155,36.855219,,,,
0211KCA,,KCA,D,-1.252175,36.859441,,,,
0211DRV,,Drive in,D,-1.248373,36.863078,,,,
0201ASP,,All sops,ND,-1.245284,36.866941,,,,
0211DRN,,Drive in,D,-1.24788,36.864343,,,,
0201MSQ,,Mosque,ND,-1.252661,36.865157,,,,
0211MAT,,mathare north terminal,D,-1.252119,36.867298,,,,
0210MAT,,mathare terminal,D,-1.252119,36.867298,,,,
0210KCA,,KCA,D,-1.251848,36.860455,,,,
0210SUR,,survey,D,-1.256648,36.855305,,,,
0210MTG,,Muthaiga,D,-1.259936,36.844346,,,,
0210NGT,,Ngara,D,-1.274465,36.823897,,,,
