stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
0711RWY,,Railways,D,-1.290475,36.82801,,,,
0711NAT,,Nairobi Area Police Traffic Headquarters,D,-1.296463,36.808161,,,,
0711KNT,,Kenyatta National Hospital,D,-1.297568,36.804868,,,,
0711MCP,,Memosa/Coptic,D,-1.298912,36.798084,,,,
0711UCN,,Uchumi Hyper Ngong Road/ Ngong Hills Hotel,D,-1.299527,36.792314,,,,
0711NKP,,Nakumatt Prestige,D,-1.299708,36.787362,,,,
0711MTL,,Motherland,D,-1.299889,36.783829,,,,
0711AAD,,Adams Arcade,D,-1.300068,36.781184,,,,
0701PSA,,Posta,UD,-1.300362,36.774018,,,,
0711PST,,Posta Stage,D,-1.30048,36.771887,,,,
0711IMP,,Impala,D,-1.300448,36.7692,,,,
0711JKR,,Jamuhuri/Kibera Station Road,D,-1.300063,36.767103,,,,
0711NKJ,,Nakumatt Junction,D,-1.299205,36.763019,,,,
0701DCS,,Dagoretti Corner Stage,UD,-1.296688,36.756316,,,,
0701DCR,,Deliverance Church Riruta,UD,-1.292742,36.751647,,,,
0701KJI,,Kinyanjui,UD,-1.291616,36.747588,,,,
0711SGO,,Sugoini,D,-1.290401,36.745675,,,,
0711MLK,,Mlangosoko,D,-1.288554,36.743012,,,,
0701BPP,,BP,UD,-1.287695,36.741786,,,,
0701PBG,,Precious Blood Girls' School,UD,-1.284792,36.737882,,,,
0701KRE,,KRep/Equity,UD,-1.284773,36.737551,,,,
0711KNG,,Kwa Ng'ang'a,D,-1.284074,36.729192,,,,
0701BMK,,Beth Mugo High School Kaberia,UD,-1.283395,36.726863,,,,
0711MTE,,Mithonge,D,-1.282224,36.723135,,,,
0701WTK,,Waithaka,UD,-1.279621,36.712344,,,,
0701MUT,,Mugiriti,UD,-1.281313,36.703454,,,,
0701GCU,,Gachui,UD,-1.281828,36.696257,,,,
0711RSS,,Ruthimitu Secondary School,D,-1.281587,36.695619,,,,
0701KPC,,Kanisani/PCEA,UD,-1.285458,36.687271,,,,
0701DGM,,Dagoretti Market,UD,-1.283091,36.689559,,,,
0711DMM,,Dagoretti Market Mwisho,D,-1.286346,36.686902,,,,
0710DMK,,Dagoretti Market,D,-1.286286,36.686726,,,,
0700AMD,,All Mart Dagoretti Market,UD,-1.285458,36.687271,,,,
0700SPC,,Shell Dagoretti Police Station,UD,-1.280904,36.69038,,,,
0700KPG,,Kanisani PCEA Gathimwa,UD,-1.28136,36.691763,,,,
0700GCP,,Gachui/Ruthimitu Chief's Camp,UD,-1.281721,36.695991,,,,
0700MRT,,Murigiti,UD,-1.282518,36.699162,,,,
0700WTA,,Waithaka,UD,-1.279987,36.71129,,,,
0700MTM,,Muthama,UD,-1.280641,36.718732,,,,
0700NPS,,Nembu Primary School,UD,-1.281202,36.720097,,,,
0710MIH,,Mihonge,D,-1.282169,36.72293,,,,
0700BMY,,Beth Mugo Secondary School,UD,-1.283394,36.726846,,,,
0710KWN,,Kwa Ng'ang'a,D,-1.284009,36.728874,,,,
0700AIC,,AIC Riruta,UD,-1.283999,36.735204,,,,
0700KEQ,,KRep/Equity,UD,-1.28474,36.737735,,,,
0700PBG,,Precious Blood Girls' School,UD,-1.285904,36.73926,,,,
0710DCD,,Dagoretti CDF/APs' Camp,D,-1.286467,36.740158,,,,
0700BPS,,BP,UD,-1.287522,36.74159,,,,
0700MSK,,Mlangosoko,UD,-1.28866,36.743186,,,,
0710SIN,,Sugoini,D,-1.290394,36.745712,,,,
0710KYJ,,Kinyanjui,D,-1.291539,36.747569,,,,
0700DCT,,Deliverance Church Riruta,UD,-1.29266,36.751563,,,,
0700RIR,,Riara,UD,-1.295857,36.755917,,,,
0710KJS,,Kaberia Junction Stage,D,-1.29703,36.756553,,,,
0700TBK,,Tea Board/Dagoretti Corner,UD,-1.298052,36.757968,,,,
0700KDC,,Kenol Dagoretti Corner,UD,-1.29843,36.759874,,,,
0710NKT,,Nakumatt Junction,D,-1.299031,36.762577,,,,
0710BBT,,88MPH/Brew Bistro,D,-1.299571,36.76512,,,,
0710IMJ,,Impala/Makini/Jamuhuri,D,-1.300436,36.76897,,,,
0710POD,,Posta/Ole Odume Road,D,-1.300327,36.774047,,,,
0710ADC,,Adams Arcade,D,-1.300006,36.780041,,,,
0710KRD,,Kirichwa Road Junction,D,-1.299879,36.782118,,,,
0710TTL,,Total Ngong Road,D,-1.299607,36.788665,,,,
0700BMC,,Bishop Maigua Centre,D,-1.29905,36.796961,,,,
0710CCT,,China Centre,D,-1.298608,36.798992,,,,
0710CME,,Coptic /Memosa,D,-1.297604,36.804312,,,,
0710KNL,,Kenyatta National Hospital,D,-1.297021,36.806934,,,,
0710TNA,,3rd Ngong Avenue,D,-1.295123,36.81021,,,,
0700NHF,,NHIF,D,-1.29449,36.812269,,,,
0710AGH,,Agip Haile Selassie,D,-1.291307,36.823225,,,,
0710RLA,,Railways,D,-1.289443,36.827767,,,,
