stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
0610KEN,,KenCom,D,-1.285563,36.825297,,,,
0611GPO,,GPO,D,-1.285969,36.818707,,,,
0611SRN,,Serena,D,-1.288756,36.813043,,,,
0611COM,,community,D,-1.292303,36.812936,,,,
0601OLB,,old mutual,ND,-1.29862,36.813096,,,,
0711KNS,,kenyatta hospital,D,-1.300734,36.808817,,,,
0711NAT,,Nairobi Area Police Traffic Headquarters,D,-1.296463,36.808161,,,,
0711KNT,,Kenyatta National Hospital,D,-1.297568,36.804868,,,,
0711MCP,,Memosa/Coptic,D,-1.298912,36.798084,,,,
0701UCN,,Uchumi/National Oil,ND,-1.29971,36.792688,,,,
0701ROS,,Rose Of Sharon,ND,-1.301224,36.792779,,,,
0701PKA,,Peak Academy,ND,-1.301329,36.79094,,,,
0701NSC,,Nursing Council,ND,-1.301691,36.790328,,,,
0701KBG,,Kabarnet Gardens,ND,-1.302784,36.789113,,,,
0701MGJ,,Moi Girls' School Junction,ND,-1.303583,36.78813,,,,
0701ADC,,Kwa DC,ND,-1.305922,36.787509,,,,
0701MKA,,Makina/Kibera Law Courts,ND,-1.307308,36.782543,,,,
0701NJR,,Kwa Njiru(Petrol Station),ND,-1.308446,36.781577,,,,
0701SSR,,San Siro,ND,-1.30913,36.780745,,,,
0701KAR,,Karanja,ND,-1.309714,36.780324,,,,
0701FJE,,Fort Jesus,ND,-1.310756,36.779389,,,,
0701OLY,,Olympic Primary School,ND,-1.31168,36.778158,,,,
0711OLI,,Olympic Primary School Stage,D,-1.31156,36.776869,,,,
0701EQY,,Equity Ayani,ND,-1.311096,36.77577,,,,
0711AYN,,Ayani,D,-1.307925,36.772739,,,,
0710AYN,,Ayani,D,-1.307906,36.772817,,,,
0700EAY,,Equity Ayani,ND,-1.311068,36.775885,,,,
0710OLS,,Olympic Primary School,ND,-1.311585,36.778173,,,,
0700OLM,,Olympic Primary School,ND,-1.311405,36.778461,,,,
0700FJS,,Fort Jesus,ND,-1.310753,36.779341,,,,
0700KRA,,Karanja,ND,-1.309832,36.7802,,,,
0700TON,,Toi/Kwa Njiru,ND,-1.308551,36.781389,,,,
0700MOG,,Moi Girls,ND,-1.303361,36.787901,,,,
0710TTL,,Total Ngong Road,D,-1.299607,36.788665,,,,
0700BMC,,Bishop Maigua Centre,D,-1.29905,36.796961,,,,
0710CCT,,China Centre,D,-1.298608,36.798992,,,,
0710CME,,Coptic /Memosa,D,-1.297604,36.804312,,,,
0710KNL,,Kenyatta National Hospital,D,-1.297021,36.806934,,,,
0710KNS,,Kenyatta National Hospital,D,-1.300727,36.808843,,,,
0700KCQ,,KCB/Equity,ND,-1.301328,36.812437,,,,
0700BRM,,Britam,ND,-1.298057,36.813424,,,,
0710TNA,,3rd Ngong Avenue,D,-1.295123,36.81021,,,,
0610COM,,community,D,-1.292222,36.812888,,,,
0610SER,,Serena,D,-1.288257,36.813668,,,,
0610POS,,Posta/Koinange St.,D,-1.285949,36.818207,,,,
0610KEN,,KenCom,D,-1.285563,36.825297,,,,
