stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
0211DDT,,Terminal OTC,D,-1.284877,36.831024,,,,
0211KMJ,,19/60 stage,D,-1.285344,36.832273,,,,
0201KRK,,Kariokor,ND,-1.279431,36.833293,,,,
0311PGG,,Pangani Girls,D,-1.26989,36.838241,,,,
0301MBP,,mamba petro station,ND,-1.268941,36.841927,,,,
0301MLG,,mlango,ND,-1.267348,36.843678,,,,
0301SNT,,st teresa,ND,-1.266468,36.847688,,,,
0301ALB,,albadr,ND,-1.266168,36.849023,,,,
0301MAP,,mathare worship,ND,-1.265889,36.85133,,,,
0301BHS,,BH,ND,-1.265873,36.85743,,,,
0311AGP,,Agip,D,-1.263902,36.860826,,,,
0311TEN,,number 10,D,-1.263009,36.863945,,,,
0311THY,,thayo,D,-1.26234,36.865956,,,,
0311CHF,,kwa chief,D,-1.261979,36.86722,,,,
0301BAS,,base,ND,-1.261639,36.871653,,,,
0301FLT,,flats,ND,-1.261766,36.873998,,,,
0311JSG,,johnsaga,D,-1.261954,36.873257,,,,
0301RND,,rounder,ND,-1.26236,36.87915,,,,
0311SOK,,soko bus stop,D,-1.262113,36.881741,,,,
0311BAO,,kwa mbao,D,-1.261797,36.88445,,,,
0311RIS,,wamwaris,D,-1.261081,36.887801,,,,
0311SEN,,senior,D,-1.260132,36.890638,,,,
0311TOT,,total,D,-1.258169,36.893431,,,,
0301AIC,,AIC church,ND,-1.25663,36.897972,,,,
0311NNE,,marigo nne,D,-1.254787,36.899631,,,,
0311DIZ,,kwa mandazi,D,-1.254192,36.90031,,,,
0311FTY,,41 stage,D,-1.251773,36.90316,,,,
0311CIN,,cinema,D,-1.250572,36.905081,,,,
0311BET,,bethany,D,-1.250111,36.905767,,,,
0311JUA,,jua cali,D,-1.248276,36.908139,,,,
0311JER,,new jeruslaem,D,-1.24612,36.908321,,,,
0311DDS,,Dandora terminal,D,-1.245059,36.90846,,,,
0310DDS,,Dandora terminal,D,-1.245059,36.90846,,,,
0300FTY,,Stage 41,ND,-1.249049,36.90123,,,,
0300DSC,,dadora sec,ND,-1.251044,36.898828,,,,
0310EQT,,equity bus stop,D,-1.252438,36.897528,,,,
0300BPS,,bp filling statioon,ND,-1.254669,36.894599,,,,
0310DUN,,Dunia bust stop,D,-1.255699,36.893,,,,
0310TOT,,total,D,-1.258177,36.893397,,,,
0310SEN,,senior,D,-1.260172,36.890758,,,,
0310RIS,,wamwaris,D,-1.261084,36.888065,,,,
0300MUT,,mutarakwa rd,ND,-1.26148,36.886445,,,,
0310BAO,,kwa mbao,D,-1.261877,36.883988,,,,
0300RND,,raunda,ND,-1.262478,36.878913,,,,
0310FLT,,flats,D,-1.261717,36.868798,,,,
0300BAS,,base,ND,-1.262131,36.86737,,,,
0310CHF,,kwa chief,D,-1.262392,36.866339,,,,
0310TEN,,N 10,D,-1.263947,36.861146,,,,
0310FRC,,moi airforces stage,D,-1.265835,36.858775,,,,
0310JAY,,jay community,D,-1.265996,36.852864,,,,
0310SNT,,senty stop,D,-1.266554,36.84766,,,,
0300MLG,,mlango stop,ND,-1.267466,36.843658,,,,
0310PGG,,pangani gals,D,-1.270448,36.836899,,,,
0210KRK,,Kariokor,D,-1.279297,36.833566,,,,
0210DDT,,otc,D,-1.284877,36.831024,,,,
