stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
0411DON,,Doni,D,-1.29804,36.88708,,,,
0401CLT,,Caltex,UD,-1.300826,36.887514,,,,
0401KWR,,Kware,UD,-1.307549,36.889996,,,,
0401TMI,,Tumaini,UD,-1.309334,36.890975,,,,
0401MLD,,Meatland,UD,-1.310881,36.891997,,,,
0401STG,,Stage Mpya,UD,-1.312419,36.892929,,,,
0401FDA,,Fedha,UD,-1.314621,36.894288,,,,
0401PPL,,Pipeline,UD,-1.317528,36.896065,,,,
0401CMT,,Chemist,UD,-1.31923,36.897193,,,,
0401SPN,,Spinners,UD,-1.320049,36.897686,,,,
0401RDA,,Rounda,UD,-1.322971,36.899447,,,,
0401TRN,,Transami,UD,-1.325301,36.897708,,,,
0401KTN,,Kitindo,UD,-1.326587,36.895879,,,,
0401KBL,,Kobil,UD,-1.328658,36.892363,,,,
0400CBN,,Carbanas,UD,-1.330018,36.890475,,,,
0400KBL,,Kobil,UD,-1.328278,36.892562,,,,
0400KTN,,Kitindo,UD,-1.326522,36.895331,,,,
0400TRN,,Transami,UD,-1.325403,36.897198,,,,
0400RDA,,Rounda/Taj,UD,-1.322794,36.899198,,,,
0400CNT,,Connection,UD,-1.321225,36.89818,,,,
0400CMT,,Chemist,UD,-1.319159,36.896993,,,,
0400PPL,,Pipeline,UD,-1.317316,36.89582,,,,
0400FDA,,Fedha,UD,-1.314552,36.894116,,,,
0400AP1,,Avenue Park 1,UD,-1.313665,36.893571,,,,
0400STG,,Stage Mpya,UD,-1.312481,36.892883,,,,
0400AP2,,Avenue Park 2,UD,-1.311383,36.892134,,,,
0400TSA,,Tassia,UD,-1.310417,36.891554,,,,
0400TMI,,Tumaini,UD,-1.309504,36.890988,,,,
0400KWR,,Kware,UD,-1.307618,36.889935,,,,
0400CLT,,Caltex,DD,-1.30213,36.88775,,,,
0400DON,,Doni,DD,-1.29895,36.88713,,,,
