stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
0511CMC,,Commercial,D,-1.283947,36.826437,,,,
0511NYY,,Nyayo,UD,-1.30579,36.827136,,,,
0511IFC,,The office,D,-1.309533,36.828803,,,,
0511CPC,,Capital Centre,D,-1.316765,36.833987,,,,
0511BLV,,Belleview,D,-1.319354,36.838339,,,,
0511PST,,Park side Towers,D,-1.324879,36.847687,,,,
0511PNR,,Panari,D,-1.329531,36.855793,,,,
0501SDG,,Standard Group,ND,-1.330994,36.859842,,,,
0511SMR,,sameer,D,-1.330708,36.863853,,,,
0501GMS,,GM ,ND,-1.329676,36.870983,,,,
0501IMR,,Imara,ND,-1.328381,36.881282,,,,
0511CAB,,Carbanas,ND,-1.332484,36.88952,,,,
0400KBL,,Kobil,UD,-1.328278,36.892562,,,,
0400KTN,,Kitindo,UD,-1.326522,36.895331,,,,
0400TRN,,Transami,UD,-1.325403,36.897198,,,,
0400RDA,,Rounda/Taj,UD,-1.322794,36.899198,,,,
0400CNT,,Connection,UD,-1.321225,36.89818,,,,
0400CMT,,Chemist,UD,-1.319159,36.896993,,,,
0400PPL,,Pipeline,UD,-1.317316,36.89582,,,,
0400FDA,,Fedha,UD,-1.314552,36.894116,,,,
0400AP1,,Avenue Park 1,UD,-1.313665,36.893571,,,,
0400STG,,Stage Mpya,UD,-1.312481,36.892883,,,,
0400AP2,,Avenue Park 2,UD,-1.311383,36.892134,,,,
0400TSA,,Tassia,UD,-1.310417,36.891554,,,,
0400TMI,,Tumaini,UD,-1.309504,36.890988,,,,
0400KWR,,Kware,UD,-1.307618,36.889935,,,,
0400CLT,,Caltex,DD,-1.30213,36.88775,,,,
0400DON,,Doni,DD,-1.29895,36.88713,,,,
0410DNR,,Doni roundabout,D,-1.29726,36.88532,,,,,,,,,,,,,
0410TMH,,Tom mboya hall,D,-1.29694,36.87756,,,,,,,,,,,,,
0410HMZ,,Hamza,D,-1.297333,36.87488,,,,,,,,,,,,,
0400TJR,,Total Jogoo Road,ND,-1.298008,36.869484,,,,,,,,,,,,,
0410MKD,,Makadara,D,-1.29657,36.86223,,,,,,,,,,,,,
0400UJR,,Uchumi Jogoo Road,ND,-1.29618,36.86031,,,,,,,,,,,,,
0410PST,,Posta,D,-1.29565,36.85747,,,,,,,,,,,,,
0410CAR,,Church Army,D,-1.29475,36.85326,,,,,,,,,,,,,
0400MKG,,Makongeni,ND,-1.29314,36.84594,,,,,,,,,,,,,
0400MZW,,Maziwa,ND,-1.29368,36.84869,,,,,,,,,,,,,
0410KLL,,Kaloleni,D,-1.293696,36.848653,,,,,,,,,,,,,
0410CST,,City Stadium Stage,D,-1.29239,36.84268,,,,,,,,,,,,,
0400NCC,,Nacico ,N/D,-1.28892,36.8398,,,,,,,,,,,,,
0400CTB,,Country bus,N/D,-1.28666,36.835242,,,,,,,,,,,,,
0410SLA,,Salvation army,D,-1.28515,36.83094,,,,,,,,,,,,,
0410CMC,,Commercial,D,-1.283244,36.826878,,,,


