stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
0511CML,,Commercial Imara,D,-1.284306,36.826257,,,,
0511NYY,,Nyayo,UD,-1.30579,36.827136,,,,
0511IFC,,The office,D,-1.309533,36.828803,,,,
0511CPC,,Capital Centre,D,-1.316765,36.833987,,,,
0511BLV,,Belleview,D,-1.319354,36.838339,,,,
0511PST,,Park side Towers,D,-1.324879,36.847687,,,,
0511PNR,,Panari,D,-1.329531,36.855793,,,,
0501SDG,,Standard Group,ND,-1.330994,36.859842,,,,
0511SMR,,sameer,D,-1.330708,36.863853,,,,
0501GMS,,GM ,ND,-1.329676,36.870983,,,,
0510IMD,,Imara Daima,D,-1.3252,36.880808,,,,
0500MZW,,Maziwa,UD,-1.324799,36.888658,,,,
0500MZW,,Maziwa,UD,-1.324799,36.888658,,,,
0500IMD,,Imara Daima,UD,-1.32504,36.881211,,,,
0510GMS,,GM ,D,-1.330225,36.870702,,,,
0500SMR,,Sameer,UD,-1.331001,36.865082,,,,
0500PNR,,Panari,UD,-1.330143,36.855826,,,,
0510ATL,,Airtel,D,-1.325894,36.848591,,,,
0500SHL,,Shell,UD,-1.3216,36.841329,,,,
0510BLV,,Belleview,D,-1.319388,36.837713,,,,
0500NYY,,Nyayo,UD,-1.305704,36.826707,,,,
0510MBR,,Makaburini,D,-1.298529,36.823593,,,,
0710AGH,,Agip,D,-1.291106,36.82344,,,,
0511CML,,Commercial Imara,D,-1.284306,36.826257,,,,
