stop_id,stop_code ,stop_name,Description,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
0600STP,,st peters,ND,-1.287135,36.830235,,,,
0711KNH,,kenyatta/nairobi hospital,D,-1.29752,36.80323,,,,
0711KEJ,,kenyatta junction,D,-1.296239,36.808823,,,,
0711KNS,,kenyatta hospital,D,-1.300734,36.808817,,,,
0711KEM,,kenyatta market,D,-1.307506,36.802754,,,,
0711SUN,,sunview estate,D,-1.306038,36.801389,,,,
0711NEW,,newa estate,D,-1.308006,36.799441,,,,
0711GCP,,golf course phase 2,D,-1.309261,36.798458,,,,
0711NGM,,ngummo market,D,-1.309884,36.798881,,,,
0710NGM,,ngummo market,D,-1.309884,36.798881,,,,
0601HIG,,highway,ND,-1.311264,36.800064,,,,
0601PCE,,PCEAjunior,ND,-1.311597,36.80081,,,,
0601HCO,,highway cottage,ND,-1.310585,36.802031,,,,
0710KEM,,kenyatta market,D,-1.307506,36.802754,,,,
0601FLY,,flyover kenyatta market,ND,-1.306358,36.803224,,,,
0600MOS,,mosque,ND,-1.303038,36.802441,,,,
0600MBA,,mbagathi flats,ND,-1.301077,36.802553,,,,
0601STP,,st peters,ND,-1.287135,36.830235,,,,
