stop_id	stop_code	stop_name	stop_desc	stop_lat	stop_lon	zone_id	stop_url	location_type	parent_station
0611NGM	Stage Ngumo	-1.307589	36.802816						
0611HGH	Highrise	-1.314068	36.807615						
0610STH	Total/Strathmore	-1.313747	36.812359						
0611MDK	Madaraka	-1.307973	36.819125						
0601NWT	Nairobi West 	-1.307686	36.822276						
0601MSQ	Mosque	-1.312576	36.823929						
0601SHP	SouthB shopping centre	-1.313348	36.82768						
0601OLM	Our Lady of Mercy	-1.311644	36.833907						
0601STB	South B stage	-1.311586	36.835363						
0600STB	South B stage	-1.311685	36.83535						
0600OLM	Our Lady of Mercy	-1.311649	36.833684						
0610SHP	South B shopping centre	-1.313469	36.827745						
0610MDK	Madaraka	-1.307941	36.819338						
0600TML	T-Mall	-1.310557	36.817776						
0600STH	Blue Sky Estate	-1.312849	36.815248						
0600HGH	Highrise	-1.314678	36.808044						
0610MHS	Memorial Hospital	-1.31107	36.805647						
0600NGM	Ngumo Stage	-1.307734	36.802924						
0600MAG	Magiwa Estate	-1.311504	36.801597						
