shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
4003311,-1.288862,36.835979,1001,
4003311,-1.289228,36.836796,1002,
4003311,-1.290381,36.838093,1003,
4003311,-1.290918,36.838863,1004,
4003311,-1.291386,36.839375,1005,
4003311,-1.291736,36.840755,1006,
4003311,-1.291736,36.840755,1007,
4003311,-1.291548,36.840862,1008,
4003311,-1.291495,36.841095,1009,
4003311,-1.291564,36.841232,1010,
4003311,-1.291714,36.841328,1011,
4003311,-1.291892,36.841541,1012,
4003311,-1.291999,36.841782,1013,
4003311,-1.293454,36.848656,1014,
4003311,-1.294088,36.851238,1015,
4003311,-1.2941,36.852112,1016,
4003311,-1.294497,36.852978,1017,
4003311,-1.294927,36.854965,1018,
4003311,-1.294982,36.855766,1019,
4003311,-1.295235,36.856407,1020,
4003311,-1.297852,36.869064,1021,
4003311,-1.297882,36.869644,1022,
4003311,-1.297166,36.874924,1023,
4003311,-1.296243,36.880966,1024,
4003311,-1.296043,36.882679,1025,
4003311,-1.296101,36.883011,1026,
4003311,-1.296581,36.884201,1027,
4003311,-1.297557,36.886238,1028,
4003311,-1.297556,36.88649,1029,
4003311,-1.297556,36.88649,1030,
4003311,-1.29749,36.88665,1031,
4003311,-1.297557,36.886868,1032,
4003311,-1.297689,36.886967,1033,
4003311,-1.298039,36.8871,1034,
4003311,-1.298544,36.88718,1035,
4003311,-1.2993,36.887207,1036,
4003311,-1.300389,36.887383,1037,
4003311,-1.302787,36.888035,1038,
4003311,-1.304833,36.888702,1039,
4003311,-1.307538,36.889942,1040,
4003311,-1.309442,36.891026,1041,
4003311,-1.323179,36.899544,1042,
4003311,-1.323345,36.899975,1043,
4003311,-1.323345,36.899975,1044,
4003311,-1.323408,36.9002,1045,
4003311,-1.323598,36.900356,1046,
4003311,-1.323859,36.900364,1047,
4003311,-1.324075,36.900204,1048,
4003311,-1.324142,36.899975,1049,
4003311,-1.324065,36.89975,1050,
4003311,-1.323888,36.899612,1051,
4003311,-1.323612,36.899605,1052,
4003311,-1.323612,36.899605,2001,
4003311,-1.323179,36.899544,2002,
4003311,-1.321917,36.898796,2003,
4003311,-1.309442,36.891026,2004,
4003311,-1.307538,36.889942,2005,
4003311,-1.305655,36.889046,2006,
4003311,-1.304398,36.888535,2007,
4003311,-1.301738,36.887726,2008,
4003311,-1.300389,36.887383,2009,
4003311,-1.2993,36.887207,2010,
4003311,-1.298701,36.887188,2011,
4003311,-1.29834,36.887089,2012,
4003311,-1.298202,36.887001,2013,
4003311,-1.298101,36.886803,2014,
4003311,-1.298101,36.886803,2015,
4003311,-1.298131,36.886711,2016,
4003311,-1.298088,36.886543,2017,
4003311,-1.297634,36.886093,2018,
4003311,-1.296681,36.884178,2019,
4003311,-1.296203,36.88303,2020,
4003311,-1.296146,36.882664,2021,
4003311,-1.296357,36.880936,2022,
4003311,-1.297298,36.87492,2023,
4003311,-1.297999,36.869648,2024,
4003311,-1.297972,36.869041,2025,
4003311,-1.295384,36.856445,2026,
4003311,-1.295314,36.855961,2027,
4003311,-1.295328,36.855576,2028,
4003311,-1.295162,36.855198,2029,
4003311,-1.294322,36.851715,2030,
4003311,-1.294295,36.851349,2031,
4003311,-1.292142,36.841774,2032,
4003311,-1.292119,36.841454,2033,
4003311,-1.292194,36.841251,2034,
4003311,-1.292194,36.841251,2035,
4003311,-1.292304,36.841057,2036,
4003311,-1.292255,36.840885,2037,
4003311,-1.292022,36.840733,2038,
4003311,-1.291736,36.840755,2039,
4003311,-1.291386,36.839375,2040,
4003311,-1.290918,36.838863,2041,
4003311,-1.290381,36.838093,2042,
4003311,-1.289228,36.836796,2043,
4003311,-1.289122,36.836601,2044,
4003311,-1.288843,36.835907,2045,
4003311,-1.288663,36.834846,2046,
4003311,-1.288666,36.834171,2047,
4003311,-1.288468,36.833927,2048,
4003311,-1.288468,36.833927,2049,
4003311,-1.288436,36.833805,2050,
