stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
0511CMC,,Commercial,D,-1.2854,36.825802,,,,
0511NYY,,Nyayo,UD,-1.30579,36.827136,,,,
0511IFC,,The office,D,-1.309533,36.828803,,,,
0511CPC,,Capital Centre,D,-1.316765,36.833987,,,,
0511BLV,,Belleview,D,-1.319354,36.838339,,,,
0511PST,,Park side Towers,D,-1.324879,36.847687,,,,
0511PNR,,Panari,D,-1.329531,36.855793,,,,
0501SDG,,Standard Group,ND,-1.330994,36.859842,,,,
0511SMR,,sameer,D,-1.330708,36.863853,,,,
0501GMS,,GM ,ND,-1.329676,36.870983,,,,
0501IMR,,Imara,ND,-1.328381,36.881282,,,,
0511CAB,,Carbanas,ND,-1.332484,36.88952,,,,
0400KBL,,Kobil,UD,-1.328278,36.892562,,,,
0400KTN,,Kitindo,UD,-1.326522,36.895331,,,,
0400TRN,,Transami,UD,-1.325403,36.897198,,,,
0511RDA,,Round abt,D,-1.323091,36.900837,,,,
0511NBK,,Nyayo Barracks,D,-1.312685,36.923157,,,,
0501BRK,,Baracks,ND,-1.311577,36.925461,,,,
0511CHN,,China,D,-1.29351,36.943505,,,,
0511GSU,,G.S.U,D,-1.289458,36.949353,,,,
0511MHG,,Mihang'o,D,-1.287924,36.951816,,,,
0511ADP,,A.P,D,-1.284949,36.956518,,,,
0511KCF,,Kwa Chief,D,-1.282876,36.959833,,,,
0501AMN,,Amani,ND,-1.280458,36.964564,,,,
0511BND,,Benedicta,D,-1.278746,36.96798,,,,
0501KSN,,Kwa stone,ND,-1.286664,36.973706,,,,
0511SPM,,Shopping Mall,D,-1.287374,36.973999,,,,
0501ELD,,Elshadai,D,-1.287591,36.979692,,,,
0511GTR,,Githunguri,D,-1.286566,36.982478,,,,
0510GTR,,Githunguri,D,-1.286566,36.982478,,,,
0500ELD,,Elshadai,ND,-1.289385,36.97466,,,,
0510SKY,,Skyline,D,-1.284278,36.972475,,,,
0510AMN,,Amani,D,-1.280986,36.963754,,,,
0510ADP,,A.P,D,-1.285025,36.956587,,,,
0510GSU,,GSU,D,-1.289601,36.949425,,,,
0510BRK,,Baracks,D,-1.313313,36.923192,,,,
0510TSK,,Tuskys,D,-1.317696,36.918819,,,,
0510AVT,,Aviation,D,-1.319394,36.907426,,,,
0510RBT,,Rounda about,D,-1.324335,36.89936,,,,
0401TRN,,Transami,UD,-1.325301,36.897708,,,,
0401KTN,,Kitindo,UD,-1.326587,36.895879,,,,
0401KBL,,Kobil,UD,-1.328658,36.892363,,,,
0500CAB,,Cabarnas,ND,-1.331474,36.88769,,,,
0510GMS,,GM ,D,-1.330225,36.870702,,,,
0500SMR,,Sameer,UD,-1.331001,36.865082,,,,
0500PNR,,Panari,UD,-1.330143,36.855826,,,,
0510ATL,,Airtel,D,-1.325894,36.848591,,,,
0500SHL,,Shell,UD,-1.3216,36.841329,,,,
0510BLV,,Belleview,D,-1.319388,36.837713,,,,
0500NYY,,Nyayo,UD,-1.305704,36.826707,,,,
0510MBR,,Makaburini,D,-1.298529,36.823593,,,,
6050GPO,,GPO,D,-1.28604,36.818211,,,,
0500AMB,,Ambassauder,D,-1.2854,36.825802,,,,
