stop_id,stop_code ,stop_name,Description,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,,,,,,,,,
0411AMB,,Ambassadeur,D,-1.286253,36.8266,,,,,,,,,,,,,
0411CST,,City Stadium Stage,D,-1.29237,36.84373,,,,,,,,,,,,,
0411SMY,,Shauri Moyo,D,-1.29288,36.846,,,,,,,,,,,,,
0411MZW,,Maziwa,D,-1.2936,36.8492,,,,,,,,,,,,,
0401RKN,,Rikana,ND,-1.294013,36.851153,,,,,,,,,,,,,
0411CAR,,Church Army,D,-1.29454,36.85315,,,,,,,,,,,,,
0411PST,,Posta,D,-1.29528,36.85678,,,,,,,,,,,,,
0401UJR,,Uchumi Jogoo Road,ND,-1.29604,36.860503,,,,,,,,,,,,,
0411HMZ,,Hamza,D,-1.29698,36.87566,,,,,,,,,,,,,
0411TMH,,Tom mboya hall,D,-1.29661,36.87832,,,,,,,,,,,,,
0411DNI,,Donholm,D,-1.29804,36.88708,,,,,,,,,,,,,
04O1CLT,,Caltex,N/D,-1.30084,36.88806,,,,,,,,,,,,,
0401KSD,,Kisumu Ndogo,N/D,-1.29924,36.89012,,,,,,,,,,,,,
0411KSD,,Kisumu Ndogo,D,-1.29909,36.89083,,,,,,,,,,,,,
0411SVN,,savanna,D,-1.29752,36.89387,,,,,,,,,,,,,
0401SVN,,savanna,N/D,-1.2971,36.89441,,,,,,,,,,,,,
0401GNF,,Green field,N/D,-1.29451,36.89626,,,,,,,,,,,,,
0411GNF,,Green field,D,-1.29434,36.89648,,,,,,,,,,,,,
0401HRS,,Harambee sacco,N/D,-1.29262,36.89927,,,,,,,,,,,,,
0411PH5,,Phase 5,D,-1.29185,36.90056,,,,,,,,,,,,,
0401TGS,,Tuskys green span,N/D,-1.29024,36.90175,,,,,,,,,,,,,
0411TGS,,Tuskys green span,D,-1.28955,36.90217,,,,,,,,,,,,,
0400JCN,,Jacaranda,N/D,-1.28765,36.90476,,,,,,,,,,,,,
0410PH8,,Phase 8,D,-1.28871,36.90342,,,,,,,,,,,,,
0400TSK,,Tuskys,N/D,-1.290194,36.901926,,,,,,,,,,,,,
0400PH5,,Phase 5,N/D,-1.29205,36.90041,,,,,,,,,,,,,
0410PS5,,Phase 5,D,-1.29244,36.89991,,,,,,,,,,,,,
0400HRS,,Harambee sacco,N/D,-1.292715,36.89918,,,,,,,,,,,,,
0401EPA,,Epren academy,D,-1.29547,36.89568,,,,,,,,,,,,,
0400EPA,,Epren academy,N/D,-1.29582,36.89553,,,,,,,,,,,,,
0400TMN,,Tumaini,N/D,-1.29728,36.89428,,,,,,,,,,,,,
0400SVN,,savanna,N/D,-1.29775,36.89367,,,,,,,,,,,,,
0400MRS,,Mara savanna,N/D,-1.298668,36.892513,,,,,,,,,,,,,
0400KSD,,Kisumu Ndogo,N/D,-1.299397,36.890125,,,,,,,,,,,,,
0410KSD,,Kisumu Ndogo,D,-1.299596,36.889769,,,,,,,,,,,,,
0400CLT,,Caltex ,N/D,-1.300963,36.888118,,,,,,,,,,,,
0410DON,,Doni,D,-1.29895,36.88713,,,,,,,,,,,,,
0410DNR,,Doni roundabout,D,-1.29726,36.88532,,,,,,,,,,,,,
0410TMH,,Tom mboya hall,D,-1.29694,36.87756,,,,,,,,,,,,,
0410HMZ,,Hamza,D,-1.297333,36.87488,,,,,,,,,,,,,
0400TJR,,Total Jogoo Road,ND,-1.298008,36.869484,,,,,,,,,,,,,
0410MKD,,Makadara,D,-1.29657,36.86223,,,,,,,,,,,,,
0400UJR,,Uchumi Jogoo Road,ND,-1.29618,36.86031,,,,,,,,,,,,,
0410PST,,Posta,D,-1.29565,36.85747,,,,,,,,,,,,,
0410CAR,,Church Army,D,-1.29475,36.85326,,,,,,,,,,,,,
0400MKG,,Makongeni,ND,-1.29314,36.84594,,,,,,,,,,,,,
0400MZW,,Maziwa,ND,-1.29368,36.84869,,,,,,,,,,,,,
0410KLL,,Kaloleni,D,-1.293696,36.848653,,,,,,,,,,,,,
0410CST,,City Stadium Stage,D,-1.29239,36.84268,,,,,,,,,,,,,
0400NCC,,Nacico ,N/D,-1.28892,36.8398,,,,,,,,,,,,,
0400CTB,,Country bus,N/D,-1.28666,36.835242,,,,,,,,,,,,,
0410SLA,,Salvation army,D,-1.28515,36.83094,,,,,,,,,,,,,
0410BST,,Bus station,D,-1.28691,36.82898,,,,,,,,,,,,,
0410KNC,,kencom,D,-1.28585,36.824518,,,,,,,,,,,,,

