stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
0311SOK,,Soko,D,-1.262113,36.881741,,,,
0311BAO,,Kwa mbao,D,-1.261781,36.884434,,,,
0311RIS,,Wamwaris,D,-1.261041,36.887765,,,,
0311SEN,,Senior,D,-1.260065,36.890618,,,,
0311TOT,,Total,D,-1.258112,36.893429,,,,
0301ACC,,AIC church,ND,-1.256619,36.89799,,,,
0311TON,,Tononoka,D,-1.257539,36.90247,,,,
0311JOD,,Joada,D,-1.256726,36.907904,,,,
0301MSB,,Maili saba,ND,-1.254436,36.911444,,,,
0311SKA,,Saika,D,-1.258541,36.912205,,,,
0401SKJ,,Saika Junction,ND,-1.259517,36.912551,,,,
0411SKA,,Saika ,D,-1.258658,36.916291,,,,
0401KYJ,,kayole Junction,ND,-1.257342,36.922846,,,,
0401TWS,,Twisters,ND,-1.25627,36.926635,,,,
0411NJR,,Njiru,ND,-1.250485,36.940001,,,,
0401CHK,,Chokaa,ND,-1.250724,36.952748,,,,
0401TKY,,Tuskys,ND,-1.262146,36.976114,,,,
0411BPS,,By pass,D,-1.263937,36.982226,,,,
0401WKM,,Welkim,ND,-1.26668,36.989375,,,,
0401DNE,,Dune,ND,-1.270022,36.994872,,,,
0401QKM,,QuickMart,ND,-1.271251,36.996771,,,,
0400QKM,,Quick mart,ND,-1.271166,36.996647,,,,
0400DNE,,Dune,ND,-1.269948,36.994619,,,,
0400WKM,,WelKim,ND,-1.266918,36.989741,,,,
0410BPS,,By pass,D,-1.264259,36.983082,,,,
0410TKY,,Tuskys,D,-1.262244,36.976393,,,,
0400CHK,,Chokaa,ND,-1.25085,36.952872,,,,
0410NJR,,Njiru,ND,-1.250577,36.939914,,,,
0400KYJ,,Jayole Junction,ND,-1.257457,36.922733,,,,
0310JUN,,Junction bus stop,D,-1.259357,36.91229,,,,
0300OLE,,Ole suyean guest hs,ND,-1.257796,36.911965,,,,
0300MSB,,Maili saba,ND,-1.254447,36.911404,,,,
0310MSB,,Maili saba d,D,-1.254506,36.910782,,,,
0310MBO,,Kwa mbao,D,-1.254916,36.909958,,,,
0310OGP,,Ogopa stage,D,-1.256158,36.90881,,,,
0310SKA,,Joada,D,-1.256804,36.907785,,,,
0310MPP,,Mowlem police post,D,-1.25667,36.905902,,,,
0310TON,,Tononoka,D,-1.257512,36.90233,,,,
0310ACC,,AIC,D,-1.256659,36.897995,,,,
0310TOT,,Total,D,-1.258177,36.893397,,,,
0310SEN,,Senior,D,-1.260172,36.890758,,,,
0310RIS,,Wamwaris,D,-1.261084,36.888065,,,,
0300MUT,,Mutarakwa rd,ND,-1.26148,36.886445,,,,
0310BAO,,Kwa mbao,D,-1.261877,36.883988,,,,
0301RND,,Rounder,ND,-1.26236,36.87915,,,,
