shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
3373811,-1.262134,36.881744,1001,
3373811,-1.261816,36.884445,1002,
3373811,-1.261653,36.885345,1003,
3373811,-1.260949,36.888386,1004,
3373811,-1.260671,36.889301,1005,
3373811,-1.260345,36.890232,1006,
3373811,-1.260064,36.890785,1007,
3373811,-1.258193,36.893421,1008,
3373811,-1.25694,36.897091,1009,
3373811,-1.256514,36.898506,1010,
3373811,-1.2564,36.899281,1011,
3373811,-1.25642,36.899574,1012,
3373811,-1.256674,36.900528,1013,
3373811,-1.25707,36.901619,1014,
3373811,-1.257587,36.902515,1015,
3373811,-1.257666,36.90276,1016,
3373811,-1.25764,36.902996,1017,
3373811,-1.256659,36.905628,1018,
3373811,-1.256636,36.905972,1019,
3373811,-1.256793,36.907791,1020,
3373811,-1.256249,36.908691,1021,
3373811,-1.254901,36.909946,1022,
3373811,-1.254594,36.910339,1023,
3373811,-1.254501,36.910576,1024,
3373811,-1.254443,36.911224,1025,
3373811,-1.254447,36.91143,1026,
3373811,-1.254683,36.911533,1027,
3373811,-1.257762,36.911976,1028,
3373811,-1.259573,36.91238,1029,
3373811,-1.259573,36.91238,1030,
3373811,-1.259279,36.913322,1031,
3373811,-1.2589,36.914848,1032,
3373811,-1.25805,36.919613,1033,
3373811,-1.257357,36.922832,1034,
3373811,-1.256397,36.926311,1035,
3373811,-1.255809,36.928066,1036,
3373811,-1.25471,36.930969,1037,
3373811,-1.253978,36.932594,1038,
3373811,-1.24982,36.941341,1039,
3373811,-1.249243,36.942829,1040,
3373811,-1.24893,36.944016,1041,
3373811,-1.248818,36.944672,1042,
3373811,-1.248715,36.945904,1043,
3373811,-1.248725,36.946877,1044,
3373811,-1.248832,36.947845,1045,
3373811,-1.249045,36.948914,1046,
3373811,-1.249355,36.949982,1047,
3373811,-1.249711,36.950829,1048,
3373811,-1.250825,36.952923,1049,
3373811,-1.25142,36.954216,1050,
3373811,-1.251441,36.954482,1051,
3373811,-1.251741,36.955168,1052,
3373811,-1.251784,36.955597,1053,
3373811,-1.251956,36.956155,1054,
3373811,-1.252127,36.956627,1055,
3373811,-1.252256,36.957099,1056,
3373811,-1.252427,36.957829,1057,
3373811,-1.252599,36.958344,1058,
3373811,-1.254418,36.965382,1059,
3373811,-1.254826,36.966583,1060,
3373811,-1.255145,36.967293,1061,
3373811,-1.255377,36.96777,1062,
3373811,-1.256081,36.968861,1063,
3373811,-1.257068,36.970051,1064,
3373811,-1.258041,36.970978,1065,
3373811,-1.259818,36.972321,1066,
3373811,-1.260423,36.972954,1067,
3373811,-1.261292,36.974121,1068,
3373811,-1.261937,36.975433,1069,
3373811,-1.264876,36.985443,1070,
3373811,-1.265648,36.987503,1071,
3373811,-1.266512,36.989166,1072,
3373811,-1.271198,36.996803,1073,
3373811,-1.27112,36.996674,2001,
3373811,-1.266512,36.989166,2002,
3373811,-1.265648,36.987503,2003,
3373811,-1.264876,36.985443,2004,
3373811,-1.261937,36.975433,2005,
3373811,-1.261292,36.974121,2006,
3373811,-1.260423,36.972954,2007,
3373811,-1.259818,36.972321,2008,
3373811,-1.258041,36.970978,2009,
3373811,-1.257068,36.970051,2010,
3373811,-1.256081,36.968861,2011,
3373811,-1.255377,36.96777,2012,
3373811,-1.255145,36.967293,2013,
3373811,-1.254826,36.966583,2014,
3373811,-1.254418,36.965382,2015,
3373811,-1.252598,36.958344,2016,
3373811,-1.252599,36.958344,2017,
3373811,-1.252427,36.957829,2018,
3373811,-1.252256,36.957099,2019,
3373811,-1.252127,36.956627,2020,
3373811,-1.251956,36.956155,2021,
3373811,-1.251784,36.955597,2022,
3373811,-1.251741,36.955168,2023,
3373811,-1.251441,36.954482,2024,
3373811,-1.25151,36.954456,2025,
3373811,-1.250825,36.952923,2026,
3373811,-1.249711,36.950829,2027,
3373811,-1.249355,36.949982,2028,
3373811,-1.249045,36.948914,2029,
3373811,-1.248832,36.947845,2030,
3373811,-1.248725,36.946877,2031,
3373811,-1.248715,36.945904,2032,
3373811,-1.248818,36.944672,2033,
3373811,-1.24893,36.944016,2034,
3373811,-1.249243,36.942829,2035,
3373811,-1.24982,36.941341,2036,
3373811,-1.253978,36.932594,2037,
3373811,-1.25471,36.930969,2038,
3373811,-1.255809,36.928066,2039,
3373811,-1.256397,36.926311,2040,
3373811,-1.257357,36.922832,2041,
3373811,-1.25805,36.919613,2042,
3373811,-1.2589,36.914848,2043,
3373811,-1.259279,36.913322,2044,
3373811,-1.259573,36.91238,2045,
3373811,-1.259573,36.91238,2046,
3373811,-1.257762,36.911976,2047,
3373811,-1.254683,36.911533,2048,
3373811,-1.254447,36.91143,2049,
3373811,-1.254443,36.911224,2050,
3373811,-1.254501,36.910576,2051,
3373811,-1.254594,36.910339,2052,
3373811,-1.254901,36.909946,2053,
3373811,-1.256249,36.908691,2054,
3373811,-1.256793,36.907791,2055,
3373811,-1.256636,36.905972,2056,
3373811,-1.256659,36.905628,2057,
3373811,-1.25764,36.902996,2058,
3373811,-1.257666,36.90276,2059,
3373811,-1.257587,36.902515,2060,
3373811,-1.25707,36.901619,2061,
3373811,-1.256674,36.900528,2062,
3373811,-1.25642,36.899574,2063,
3373811,-1.2564,36.899281,2064,
3373811,-1.256514,36.898506,2065,
3373811,-1.25694,36.897091,2066,
3373811,-1.258193,36.893421,2067,
3373811,-1.260064,36.890785,2068,
3373811,-1.260345,36.890232,2069,
3373811,-1.26086,36.888687,2070,
3373811,-1.261416,36.886402,2071,
3373811,-1.261816,36.884445,2072,
3373811,-1.262185,36.881405,2073,
3373811,-1.26239,36.879154,2074,
