stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,,,,,
0300GKM,,Gikomba,UD,-1.283813,36.840364,,,,,,,,,
0300ZWN,,Ziwani,UD,-1.279611,36.837176,,,,,,,,,
0300KRE,,Kariokor Estate,UD,-1.278406,36.835811,,,,,,,,,
0300KAR,,Kariokor DC,UD,-1.277703,36.834997,,,,,,,,,
0300NGE,,New Ngara Estate,UD,-1.27975,36.831313,,,,,,,,,
0300EQT,,Equity,UD,-1.278382,36.830223,,,,,,,,,
0300PST,,Posta,D,-1.276744,36.827354,,,,,,,,,
0310NGR,,Ngara ,D,-1.275723,36.824481,,,,,,,,,
0311NGR,,Ngara ,D,-1.275796,36.824732,,,,,,,,,
0300PST,,Posta,D,-1.276317,36.826705,,,,,,,,,
0301TOT,,Total,UD,-1.277857,36.829923,,,,,,,,,
0301NGE,,New Ngara Estate,UD,-1.27906,36.830823,,,,,,,,,
0301KAR,,Kariokor  ,UD,-1.279447,36.833176,,,,,,,,,
0311KAR,,Kariokor,D,-1.278042,36.833852,,,,,,,,,
0301KDC,,Kwa Dc/ID,D,-1.277806,36.835454,,,,,,,,,
0301AIC,,AIC Ziwani,UD,-1.2796,36.837297,,,,,,,,,
0301GKM,,Gikomba,ND,-1.284125,36.840499,,,,,,,,,
