stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
0701DCS,,Dagoretti Corner Stage,UD,-1.298409,36.75943,,,,
0701DCR,,Deliverance Church Riruta,UD,-1.292742,36.751647,,,,
0701KJI,,Kinyanjui,UD,-1.291616,36.747588,,,,
0711SGO,,Sugoini,D,-1.290401,36.745675,,,,
0711MLK,,Mlangosoko,D,-1.288554,36.743012,,,,
0701BPP,,BP,UD,-1.287695,36.741786,,,,
0701PBG,,Precious Blood Girls' School,UD,-1.284792,36.737882,,,,
0701REU,,KRep/Equity,UD,-1.284519,36.737751,,,,
0701NVI,,Naivasha/Naivasha Road Flat,UD,-1.282624,36.737052,,,,
0701SJC,,St.John College Riruta,UD,-1.281713,36.736867,,,,
0701NDW,,Ndwaru,UD,-1.279007,36.735903,,,,
0701RSF,,Riverside Flats,UD,-1.277609,36.735855,,,,
0701GDB,,Gachangi/Darajani/Baptist Church,UD,-1.273125,36.732513,,,,
0711GTD,,Gathondeki,D,-1.271824,36.729725,,,,
0701SMR,,Summer-Rock,UD,-1.2707,36.728392,,,,
0701LRI,,ILRI,UD,-1.26695,36.723189,,,,
0701THR,,Uthiru,UD,-1.264088,36.719912,,,,
0701WGT,,Kwa Mchanga/TOTAL,UD,-1.262886,36.71848,,,,
0701UTP,,Uthiru Pentecostal,UD,-1.261392,36.71691,,,,
0700URB,,Uthiru Roundabout,UD,-1.26445,36.721303,,,,
0700SJK,,St.Joseph's Kabete,UD,-1.265614,36.721817,,,,
0700IRI,,ILRI,UD,-1.266884,36.72319,,,,
0700SMK,,Summer-Rock,UD,-1.270807,36.728575,,,,
0710GKI,,Gathondeki,D,-1.2717,36.729698,,,,
0700NDU,,Ndwaru,UD,-1.279189,36.735985,,,,
0700SJL,,St.John College,UD,-1.280979,36.736715,,,,
0700MUL,,Muslim,UD,-1.28199,36.737025,,,,
0700EUI,,KRep/Equity,UD,-1.283577,36.737352,,,,
0700PBG,,Precious Blood Girls' School,UD,-1.285904,36.73926,,,,
0710DCD,,Dagoretti CDF/APs' Camp,D,-1.286467,36.740158,,,,
0700BPS,,BP,UD,-1.287522,36.74159,,,,
0700MSK,,Mlangosoko,UD,-1.28866,36.743186,,,,
0710SIN,,Sugoini,D,-1.290394,36.745712,,,,
0710KYJ,,Kinyanjui,D,-1.291539,36.747569,,,,
0700DCT,,Deliverance Church Riruta,UD,-1.29266,36.751563,,,,
0700RIR,,Riara,UD,-1.295857,36.755917,,,,
0710KJS,,Kaberia Junction Stage,D,-1.29703,36.756553,,,,
0700TBK,,Tea Board/Dagoretti Corner,UD,-1.298052,36.757968,,,,
0700KDC,,Kenol Dagoretti Corner,UD,-1.29843,36.759874,,,,
