shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
700311,-1.29851,36.760155,1001,
7000311,-1.29798,36.757702,1002,
7000311,-1.297669,36.757084,1003,
7000311,-1.297237,36.756676,1004,
7000311,-1.295534,36.755699,1005,
7000311,-1.295071,36.755348,1006,
7000311,-1.294338,36.754581,1007,
7000311,-1.293252,36.753262,1008,
7000311,-1.292943,36.752506,1009,
7000311,-1.291563,36.747562,1010,
7000311,-1.291408,36.747257,1011,
7000311,-1.285411,36.738632,1012,
7000311,-1.285084,36.738266,1013,
7000311,-1.284392,36.737713,1014,
7000311,-1.28405,36.737518,1015,
7000311,-1.283465,36.737297,1016,
7000311,-1.281086,36.736729,1017,
7000311,-1.280244,36.736267,1018,
7000311,-1.279492,36.735962,1019,
7000311,-1.279211,36.735912,1020,
7000311,-1.277681,36.73587,1021,
7000311,-1.277198,36.735725,1022,
7000311,-1.276546,36.735054,1023,
7000311,-1.275987,36.73418,1024,
7000311,-1.275708,36.733864,1025,
7000311,-1.27379,36.732918,1026,
7000311,-1.272947,36.732407,1027,
7000311,-1.272823,36.732231,1028,
7000311,-1.272655,36.731773,1029,
7000311,-1.27234,36.730618,1030,
7000311,-1.272101,36.730148,1031,
7000311,-1.270117,36.727718,1032,
7000311,-1.268123,36.724609,1033,
7000311,-1.266804,36.723137,1034,
7000311,-1.266139,36.722267,1035,
7000311,-1.265632,36.721752,1036,
7000311,-1.265445,36.72131,1037,
7000311,-1.265445,36.72131,1038,
7000311,-1.265427,36.72113,1039,
7000311,-1.265337,36.720963,1040,
7000311,-1.26518,36.720852,1041,
7000311,-1.264984,36.720814,1042,
7000311,-1.264611,36.720535,1043,
7000311,-1.261661,36.717155,1044,
7000311,-1.261386,36.716919,1045,
7000311,-1.261386,36.716919,2001,
7000311,-1.261661,36.717155,2002,
7000311,-1.264611,36.720535,2003,
7000311,-1.26467,36.720947,2004,
7000311,-1.26467,36.720947,2005,
7000311,-1.264561,36.721199,2006,
7000311,-1.264573,36.72139,2007,
7000311,-1.264648,36.721527,2008,
7000311,-1.264943,36.721691,2009,
7000311,-1.265196,36.721676,2010,
7000311,-1.265632,36.721752,2011,
7000311,-1.26583,36.72192,2012,
7000311,-1.266804,36.723137,2013,
7000311,-1.267758,36.724152,2014,
7000311,-1.268383,36.724964,2015,
7000311,-1.270117,36.727718,2016,
7000311,-1.271794,36.729725,2017,
7000311,-1.272243,36.730377,2018,
7000311,-1.272438,36.7309,2019,
7000311,-1.272655,36.731773,2020,
7000311,-1.272823,36.732231,2021,
7000311,-1.272947,36.732407,2022,
7000311,-1.27379,36.732918,2023,
7000311,-1.275708,36.733864,2024,
7000311,-1.275987,36.73418,2025,
7000311,-1.276546,36.735054,2026,
7000311,-1.277198,36.735725,2027,
7000311,-1.277681,36.73587,2028,
7000311,-1.279211,36.735912,2029,
7000311,-1.279492,36.735962,2030,
7000311,-1.280244,36.736267,2031,
7000311,-1.281086,36.736729,2032,
7000311,-1.283465,36.737297,2033,
7000311,-1.28405,36.737518,2034,
7000311,-1.284392,36.737713,2035,
7000311,-1.285084,36.738266,2036,
7000311,-1.285411,36.738632,2037,
7000311,-1.291408,36.747257,2038,
7000311,-1.291563,36.747562,2039,
7000311,-1.292943,36.752506,2040,
7000311,-1.293252,36.753262,2041,
7000311,-1.294338,36.754581,2042,
7000311,-1.295071,36.755348,2043,
7000311,-1.295534,36.755699,2044,
7000311,-1.297237,36.756676,2045,
7000311,-1.297669,36.757084,2046,
7000311,-1.29798,36.757702,2047,
7000311,-1.29851,36.760155,2048,
