stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
0211NGS,,Bus station,D,-1.28724,36.829359,,,,
0211KMJ,,19/60 stage,D,-1.28691,36.83122,,,,
0201KRK,,Kariokor,ND,-1.279431,36.833293,,,,
0201PNG,,Pangani,ND,-1.266785,36.834315,,,,
0211MTG,,Muthaiga,D,-1.259818,36.843621,,,,
0211NYS,,NYS stage,D,-1.256155,36.855219,,,,
0211KCA,,KCA,D,-1.252175,36.859441,,,,
0211DRV,,Drive in,D,-1.248373,36.863078,,,,
0201ALS,,Allsops,ND,-1.244367,36.86667,,,,
0211ALS,,Allsops,D,-1.244064,36.867212,,,,
0201SHL,,Shell,ND,-1.234871,36.873397,,,,
0211NGB,,Ngumba terminal,D,-1.233753,36.884501,,,,
0210NGB,,Termianl,D,-1.233753,36.884501,,,,
0200SHL,,Shell,ND,-1.235088,36.873169,,,,
0200HML,,Homeland in,ND,-1.2330499,36.8765169,,,,
0210ALS,,All sops,D,-1.245918,36.8666807,,,,
0210DRV,,Drive in,D,-1.248201,36.863979,,,,
0210KCA,,KCA,D,-1.251848,36.860455,,,,
0210SUR,,survey,D,-1.256648,36.855305,,,,
0210MTG,,Muthaiga,D,-1.259936,36.844346,,,,
0210PNG,,Pangani,D,-1.266179,36.835124,,,,
0210KRK,,Kariokor,D,-1.279297,36.833566,,,,
0210NGS,,Bus station,D,-1.28724,36.829359,,,,
